,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,2558,2027.6,2174.3,1930.6,1705.0,,1696.1,1119.4,-530.4,-383.7,-627.4,-853.0,,-861.9,-1438.6,True,False,False,,False,False
Alaska,58,41.7,34.4,17.4,,,15.3,21.9,-16.3,-23.6,-40.6,,,-42.7,-36.1,False,False,,,False,False
Arizona,5705,4989.0,10054.1,4173.0,2731.0,,4022.4,4077.5,-716.0,4349.1,-1532.0,-2974.0,,-1682.6,-1627.5,False,False,False,,False,False
Arkansas,1407,804.4,1179.3,770.9,810.0,,494.3,348.2,-602.6,-227.7,-636.1,-597.0,,-912.7,-1058.8,True,False,True,,False,False
California,16115,11710.4,15537.2,9900.0,7116.0,,10126.2,7277.1,-4404.6,-577.8,-6215.0,-8999.0,,-5988.8,-8837.9,True,False,False,,False,False
Colorado,2060,2077.9,1984.6,2117.9,1841.0,,1856.9,2347.4,17.9,-75.4,57.9,-219.0,,-203.1,287.4,False,False,False,,False,False
Connecticut,4513,5092.0,4506.7,4601.9,4419.0,,4540.6,4467.3,579.0,-6.3,88.9,-94.0,,27.6,-45.7,True,True,True,,True,True
Delaware,645,1504.7,549.7,575.7,625.0,,566.8,770.7,859.7,-95.3,-69.3,-20.0,,-78.2,125.7,True,True,True,,True,True
District of Columbia,629,785.6,592.1,626.2,681.0,,628.1,574.6,156.6,-36.9,-2.8,52.0,,-0.9,-54.4,True,True,True,,True,True
Florida,14628,6994.1,35569.6,13749.9,6806.0,,7237.2,31625.0,-7633.9,20941.6,-878.1,-7822.0,,-7390.8,16997.0,False,True,False,,True,False
Georgia,7133,4648.7,5804.3,5246.6,4420.0,,4255.4,4439.9,-2484.3,-1328.7,-1886.4,-2713.0,,-2877.6,-2693.1,True,True,False,,False,False
Hawaii,153,31.9,82.3,63.5,,,19.1,33.8,-121.1,-70.7,-89.5,,,-133.9,-119.2,True,True,,,False,True
Idaho,480,118.7,612.6,117.0,151.0,,103.7,612.5,-361.3,132.6,-363.0,-329.0,,-376.3,132.5,True,False,True,,False,True
Illinois,9023,10227.6,7448.0,8636.6,8781.0,,7679.2,7359.8,1204.6,-1575.0,-386.4,-242.0,,-1343.8,-1663.2,False,True,True,,False,False
Indiana,3669,3713.7,3071.7,2981.9,2934.0,,2860.3,3132.8,44.7,-597.3,-687.1,-735.0,,-808.7,-536.2,False,False,False,,False,False
Iowa,1381,983.1,1178.9,829.1,910.0,,890.7,900.2,-397.9,-202.1,-551.9,-471.0,,-490.3,-480.8,True,False,False,,False,False
Kansas,690,435.3,486.1,430.5,294.0,,300.1,659.3,-254.7,-203.9,-259.5,-396.0,,-389.9,-30.7,True,False,False,,False,True
Kentucky,1205,1001.4,815.0,782.3,832.0,,849.6,909.4,-203.6,-390.0,-422.7,-373.0,,-355.4,-295.6,False,False,False,,False,False
Louisiana,5545,4501.6,4537.8,4266.2,3782.0,,3376.0,6504.3,-1043.4,-1007.2,-1278.8,-1763.0,,-2169.0,959.3,True,False,False,,False,True
