,mean_rank
CMU-TimeSeries,12.0
COVIDhub-ensemble,12.7
UMass-MechBayes,13.5
SteveMcConnell-CovidComplete,13.8
JCB-PRM,14.0
YYG-ParamSearch,14.2
OliverWyman-Navigator,14.5
Covid19Sim-Simulator,14.6
LNQ-ens1,15.4
Karlen-pypm,15.7
UCLA-SuEIR,15.8
USC-SI_kJalpha,16.1
CEID-Walk,16.8
COVIDhub-baseline,17.5
MIT_CritData-GBCF,18.3
NotreDame-mobility,18.3
Columbia_UNC-SurvCon,18.4
MOBS-GLEAM_COVID,18.6
UCSD_NEU-DeepGLEAM,18.8
GT-DeepCOVID,19.0
LANL-GrowthRate,19.2
DDS-NBDS,19.6
UA-EpiCovDA,20.1
CovidAnalytics-DELPHI,20.3
IowaStateLW-STEM,20.5
JHU_IDD-CovidSP,21.0
CU-select,21.0
MITCovAlliance-SIR,21.1
USACE-ERDC_SEIR,22.6
IHME-CurveFit,23.4
UMich-RidgeTfReg,23.5
epiforecasts-ensemble1,24.3
Google_Harvard-CPF,24.6
JHUAPL-Bucky,24.8
PSI-DRAFT,24.9
WalmartLabsML-LogForecasting,26.6
RobertWalraven-ESG,27.4
