,total_deaths_2020-08-16,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
STH-3PU,170184,209640.0,209526,39588.0,39342,246.0,0.6%
YYG-ParamSearch,170184,209750.6,209526,39698.6,39342,356.6,0.9%
Columbia_UNC-SurvCon,170184,208126.0,209526,38074.0,39342,-1268.0,-3.2%
UCLA-SuEIR,170184,207733.1,209526,37681.1,39342,-1660.9,-4.2%
IowaStateLW-STEM,170184,205125.0,209526,35073.0,39342,-4269.0,-10.9%
CovidAnalytics-DELPHI,170184,203750.0,209526,33698.0,39342,-5644.0,-14.3%
USC-SI_kJalpha,170184,201097.0,209526,31045.0,39342,-8297.0,-21.1%
Baseline,170184,218833.7,209526,48781.7,39342,9439.7,24.0%
USACE-ERDC_SEIR,170184,221166.5,209526,51114.5,39342,11772.5,29.9%
LANL-GrowthRate,170184,193791.5,209526,23739.5,39342,-15602.5,-39.7%
Auquan-SEIR,170184,192310.0,209526,22258.0,39342,-17084.0,-43.4%
RobertWalraven-ESG,170184,190493.4,209526,20441.4,39342,-18900.6,-48.0%
Covid19Sim-Simulator,170184,190265.7,209526,20213.7,39342,-19128.3,-48.6%
MITCovAlliance-SIR,170184,185433.1,209526,15381.1,39342,-23960.9,-60.9%
