,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7133,7707.1,7500.8,7141.0,7580.0,7274.0,6795.0,7274.0,7255.1,7186.0,7911.6,6476.8,8890.3,7338.9,,7883.5,7018.0,7196.0,7292.7,6991.7,7282.3,7149.0,7392.9,7354.4,7077.0,7309.8,,6823.4,7216.0,9216.0,,7742.7,6816.7,,7363.0,7938.0,7174.0,,7328.8,7216.0,7234.4,7198.2,7340.0,6683.3,7375.3,7421.0,574.1,367.8,8.0,447.0,141.0,-338.0,141.0,122.1,53.0,778.6,-656.2,1757.3,205.9,,750.5,-115.0,63.0,159.7,-141.3,149.3,16.0,259.9,221.4,-56.0,176.8,,-309.6,83.0,2083.0,,609.7,-316.3,,230.0,805.0,41.0,,195.8,83.0,101.4,65.2,207.0,-449.7,242.3,288.0,True,True,True,True,True,True,True,True,False,False,False,True,,False,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,,True,False,True,,True,True,True,True,True,True,True,True
Hawaii,153,169.9,172.6,159.0,172.0,164.0,159.0,154.0,187.2,140.0,176.9,,,303.2,,110.0,,170.8,174.5,233.5,171.7,128.2,144.4,112.0,161.7,241.6,,126.5,181.0,238.5,,,138.2,,162.0,164.0,173.9,,220.6,141.0,133.2,128.2,179.0,107.0,168.4,163.0,16.9,19.6,6.0,19.0,11.0,6.0,1.0,34.2,-13.0,23.9,,,150.2,,-43.0,,17.8,21.5,80.5,18.7,-24.8,-8.6,-41.0,8.7,88.6,,-26.5,28.0,85.5,,,-14.8,,9.0,11.0,20.9,,67.6,-12.0,-19.8,-24.8,26.0,-46.0,15.4,10.0,False,True,False,True,True,True,False,True,False,,,False,,False,,False,False,False,False,False,True,False,True,False,,False,False,False,,,True,,True,True,False,,False,True,False,False,False,False,True,True
Idaho,480,485.3,495.3,437.0,488.0,493.0,403.0,496.0,487.9,477.0,596.4,487.3,,547.0,,699.6,515.0,488.5,494.1,602.0,504.0,475.5,471.9,737.1,531.1,490.0,,480.7,469.2,520.0,,,400.3,,495.0,502.0,478.0,,472.8,449.0,481.1,447.8,461.0,443.4,493.7,476.0,5.3,15.3,-43.0,8.0,13.0,-77.0,16.0,7.9,-3.0,116.4,7.3,,67.0,,219.6,35.0,8.5,14.1,122.0,24.0,-4.5,-8.1,257.1,51.1,10.0,,0.7,-10.8,40.0,,,-79.7,,15.0,22.0,-2.0,,-7.2,-31.0,1.1,-32.2,-19.0,-36.6,13.7,-4.0,False,False,False,False,False,False,False,True,False,False,,False,,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,,,False,,False,False,True,,False,False,True,False,False,False,False,True
Illinois,9023,9014.9,9057.9,9113.0,9059.0,9058.0,9804.0,9139.0,9072.2,8963.0,8784.6,8802.5,,9203.5,,9019.0,8808.0,9054.6,11671.6,8989.1,9007.2,8771.2,9132.2,8698.7,8934.4,9439.0,12636.0,8883.6,8969.1,9177.0,,8782.6,8578.8,,9013.0,9306.0,9053.0,,9463.5,9099.0,9345.7,10601.6,9126.0,8439.0,8893.5,8376.0,-8.1,34.9,90.0,36.0,35.0,781.0,116.0,49.2,-60.0,-238.4,-220.5,,180.5,,-4.0,-215.0,31.6,2648.6,-33.9,-15.8,-251.8,109.2,-324.3,-88.6,416.0,3613.0,-139.4,-53.9,154.0,,-240.4,-444.2,,-10.0,283.0,30.0,,440.5,76.0,322.7,1578.6,103.0,-584.0,-129.5,-647.0,False,False,False,False,False,False,False,False,False,False,,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False
Indiana,3669,3645.6,3651.4,3686.0,3671.5,3672.0,3781.0,3702.0,3622.1,3769.0,3603.9,3688.6,,3770.8,,3733.1,3644.0,3730.0,4338.9,3903.6,3726.7,3562.0,3627.8,3708.8,3630.7,3612.5,5853.5,3754.2,3667.0,3724.0,,3594.5,3466.1,,3657.0,3666.0,3648.8,,3672.2,3687.0,3832.1,4289.0,3669.0,3330.2,3591.7,3511.0,-23.4,-17.6,17.0,2.5,3.0,112.0,33.0,-46.9,100.0,-65.1,19.6,,101.8,,64.1,-25.0,61.0,669.9,234.6,57.7,-107.0,-41.2,39.8,-38.3,-56.5,2184.5,85.2,-2.0,55.0,,-74.5,-202.9,,-12.0,-3.0,-20.2,,3.2,18.0,163.1,620.0,0.0,-338.8,-77.3,-158.0,True,True,True,True,False,False,False,False,False,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,True,True,True,,True,True,False,False,True,False,False,False
Iowa,1381,1375.3,1418.3,1388.0,1420.0,1427.0,1454.0,2188.0,1567.6,1481.0,1401.3,1374.9,,1445.8,,1695.4,1445.0,1570.9,1685.6,1424.7,1720.1,1287.5,1405.4,1367.3,1446.6,1431.3,,1429.0,1501.7,1532.5,,1401.9,1257.0,,1477.0,1474.0,1391.2,,1434.7,1372.0,1377.8,1566.8,1452.0,1277.7,1438.8,1342.0,-5.7,37.3,7.0,39.0,46.0,73.0,807.0,186.6,100.0,20.3,-6.1,,64.8,,314.4,64.0,189.9,304.6,43.7,339.1,-93.5,24.4,-13.7,65.6,50.3,,48.0,120.7,151.5,,20.9,-124.0,,96.0,93.0,10.2,,53.7,-9.0,-3.2,185.8,71.0,-103.3,57.8,-39.0,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,True,False,False,False,False,False
Kansas,698,604.4,605.0,618.0,604.0,598.0,721.0,680.0,634.3,608.0,575.1,578.3,,690.8,,590.0,570.0,600.9,779.9,687.7,600.2,530.1,601.3,582.7,751.6,627.3,,579.6,625.7,513.0,,,511.2,,596.0,608.0,610.0,,588.9,576.0,548.3,638.0,597.0,529.9,575.3,515.0,-93.6,-93.0,-80.0,-94.0,-100.0,23.0,-18.0,-63.7,-90.0,-122.9,-119.7,,-7.2,,-108.0,-128.0,-97.1,81.9,-10.3,-97.8,-167.9,-96.7,-115.3,53.6,-70.7,,-118.4,-72.3,-185.0,,,-186.8,,-102.0,-90.0,-88.0,,-109.1,-122.0,-149.7,-60.0,-101.0,-168.1,-122.7,-183.0,True,True,False,False,True,True,True,True,False,False,,True,,False,False,False,True,True,False,False,False,False,True,True,,False,True,False,,,False,,False,True,True,,False,False,False,True,False,False,False,False
Kentucky,1205,1254.4,1301.9,1215.0,1281.1,1256.0,1278.0,1430.0,1290.2,1224.0,1204.7,1301.1,,1242.0,,1308.4,1134.0,1242.1,1497.1,1291.8,1275.7,1148.4,1231.1,1170.1,1293.7,1282.3,2300.0,1210.5,1322.0,1663.0,,,1119.5,,1239.0,1268.0,1310.1,,1223.9,1207.0,1154.6,1346.6,1283.0,1099.9,1198.6,1142.0,49.4,96.9,10.0,76.1,51.0,73.0,225.0,85.2,19.0,-0.3,96.1,,37.0,,103.4,-71.0,37.1,292.1,86.8,70.7,-56.6,26.1,-34.9,88.7,77.3,1095.0,5.5,117.0,458.0,,,-85.5,,34.0,63.0,105.1,,18.9,2.0,-50.4,141.6,78.0,-105.1,-6.4,-63.0,False,True,False,False,False,False,False,True,True,False,,True,,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,,,False,,True,False,False,,True,True,False,False,False,False,True,False
Louisiana,5545,5717.9,5629.3,5414.0,5559.7,5574.0,5413.0,5729.0,5451.4,5538.0,5694.3,5979.3,,5417.8,,5978.6,5515.0,5495.6,5576.7,5317.2,5344.2,5659.6,5531.5,5750.4,5452.7,5627.1,,5377.2,5475.0,5374.0,,5611.7,5407.1,,5586.0,6251.0,5553.1,,5715.9,5572.0,5607.2,5727.3,5390.0,5322.0,5573.9,5301.0,172.9,84.3,-131.0,14.7,29.0,-132.0,184.0,-93.6,-7.0,149.3,434.3,,-127.2,,433.6,-30.0,-49.4,31.7,-227.8,-200.8,114.6,-13.5,205.4,-92.3,82.1,,-167.8,-70.0,-171.0,,66.7,-137.9,,41.0,706.0,8.1,,170.9,27.0,62.2,182.3,-155.0,-223.0,28.9,-244.0,True,True,True,True,True,False,True,True,True,False,,True,,False,True,True,True,False,False,True,True,False,True,True,,True,True,True,,True,True,,True,False,True,,True,True,True,False,True,False,True,False
Maine,142,141.7,141.8,140.0,142.6,144.0,135.0,156.0,142.5,139.0,146.8,149.7,,147.0,,148.4,158.0,146.0,155.7,160.9,145.9,143.6,134.3,151.2,163.2,139.5,,137.4,144.0,139.0,,,136.3,,142.0,147.0,139.8,,150.5,143.0,152.9,155.6,145.0,141.2,141.7,,-0.3,-0.2,-2.0,0.6,2.0,-7.0,14.0,0.5,-3.0,4.8,7.7,,5.0,,6.4,16.0,4.0,13.7,18.9,3.9,1.6,-7.7,9.2,21.2,-2.5,,-4.6,2.0,-3.0,,,-5.7,,0.0,5.0,-2.2,,8.5,1.0,10.9,13.6,3.0,-0.8,-0.3,,True,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,,False,False,False,False,False,False,False,
