,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Maryland,3957,3980.3,3989.1,4015.0,3999.9,3972.0,4204.0,3954.0,3985.3,3845.0,3955.2,4035.1,,4111.4,,4082.3,3935.0,3993.7,4377.1,3983.6,3948.6,3947.2,3983.8,3947.2,3932.5,3986.4,,4011.6,4025.4,3987.5,,3971.5,3936.7,,3983.0,4008.0,3939.6,,3949.0,3997.0,4150.7,4404.4,4019.0,3906.9,3983.6,3893.0,23.3,32.1,58.0,42.9,15.0,247.0,-3.0,28.3,-112.0,-1.8,78.1,,154.4,,125.3,-22.0,36.7,420.1,26.6,-8.4,-9.8,26.8,-9.8,-24.5,29.4,,54.6,68.4,30.5,,14.5,-20.3,,26.0,51.0,-17.4,,-8.0,40.0,193.7,447.4,62.0,-50.1,26.6,-64.0,False,False,False,True,False,True,False,False,True,False,,False,,False,True,False,False,False,True,True,False,True,False,False,,False,False,False,,True,True,,False,False,True,,True,False,False,False,False,False,False,False
Massachusetts,9507,9418.1,9445.5,9319.0,9474.7,9405.0,9405.0,9281.0,10703.9,9237.0,9369.8,9496.4,,9298.5,,9708.9,9229.0,9547.8,9118.7,9417.3,9485.7,9318.2,9365.1,9290.5,9527.8,9361.3,,9301.9,9466.7,9440.0,,9491.4,9334.1,,9400.0,9500.0,9269.3,,9419.4,9454.0,,9544.2,9221.0,9293.4,9359.5,9082.0,-88.9,-61.5,-188.0,-32.3,-102.0,-102.0,-226.0,1196.9,-270.0,-137.2,-10.6,,-208.5,,201.9,-278.0,40.8,-388.3,-89.7,-21.3,-188.8,-141.9,-216.5,20.8,-145.7,,-205.1,-40.3,-67.0,,-15.6,-172.9,,-107.0,-7.0,-237.7,,-87.6,-53.0,,37.2,-286.0,-213.6,-147.5,-425.0,True,False,True,False,False,False,False,False,False,True,,False,,False,False,True,False,False,True,False,False,False,True,False,,False,True,True,,True,False,,False,True,False,,True,True,,True,False,False,False,False
Michigan,7124,7029.7,7183.0,7110.0,7191.3,7120.0,7393.0,7333.0,7127.7,7076.0,7009.7,7198.4,,7381.8,,7202.8,7149.0,7131.5,7720.3,7361.9,7131.4,6933.2,7037.2,7057.1,7110.6,7059.4,8991.0,6930.9,7033.9,6941.0,,6964.3,7157.2,,7120.0,7042.0,7066.3,,6994.1,7012.0,7271.9,7886.3,7116.0,6883.3,7030.3,6978.0,-94.3,59.0,-14.0,67.3,-4.0,269.0,209.0,3.7,-48.0,-114.3,74.4,,257.8,,78.8,25.0,7.5,596.3,237.9,7.4,-190.8,-86.8,-66.9,-13.4,-64.6,1867.0,-193.1,-90.1,-183.0,,-159.7,33.2,,-4.0,-82.0,-57.7,,-129.9,-112.0,147.9,762.3,-8.0,-240.7,-93.7,-146.0,True,True,True,True,False,False,True,True,False,True,,False,,True,True,True,False,False,True,False,True,True,True,True,False,False,True,False,,False,True,,True,True,True,,False,False,False,False,True,False,True,False
Minnesota,2126,2078.7,2092.1,2132.0,2063.6,2117.0,2267.0,2357.0,2116.6,1942.0,2106.7,2081.8,,2163.5,,2281.0,2057.0,2151.6,2567.5,2137.0,2140.0,2066.0,2074.5,2019.3,2128.7,2088.3,3609.0,2275.3,2069.4,2249.0,,2087.7,2038.0,,2102.0,2152.0,2063.7,,2187.9,2095.0,2180.7,2436.7,2102.0,1942.3,2092.6,2162.0,-47.3,-33.9,6.0,-62.4,-9.0,141.0,231.0,-9.4,-184.0,-19.3,-44.2,,37.5,,155.0,-69.0,25.6,441.5,11.0,14.0,-60.0,-51.5,-106.7,2.7,-37.7,1483.0,149.3,-56.6,123.0,,-38.3,-88.0,,-24.0,26.0,-62.3,,61.9,-31.0,54.7,310.7,-24.0,-183.7,-33.4,36.0,True,True,False,True,False,False,True,False,True,True,,True,,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,,True,False,,True,True,False,,False,True,False,False,True,False,True,True
Mississippi,3011,3135.6,3077.9,2980.0,3137.1,3079.0,2767.0,3147.0,3128.3,2997.0,3190.1,2908.7,,3087.3,,3374.3,3166.0,3094.1,3079.2,2946.1,3013.4,2978.8,2985.2,3098.3,3019.5,3117.4,,3170.9,2999.7,3085.0,,3342.2,2845.5,,3087.0,3143.0,2973.3,,2974.4,3006.0,3086.9,3094.2,3060.0,2926.5,2985.6,2993.0,124.6,66.9,-31.0,126.1,68.0,-244.0,136.0,117.3,-14.0,179.1,-102.3,,76.3,,363.3,155.0,83.1,68.2,-64.9,2.4,-32.2,-25.8,87.3,8.5,106.4,,159.9,-11.3,74.0,,331.2,-165.5,,76.0,132.0,-37.7,,-36.6,-5.0,75.9,83.2,49.0,-84.5,-25.4,-18.0,True,True,False,True,False,False,True,True,False,True,,True,,False,False,True,True,True,True,True,True,True,True,True,,False,True,True,,False,False,,True,False,True,,True,True,True,True,True,True,True,True
Missouri,2177,2271.3,2232.4,2193.0,2228.1,2078.0,2349.0,2137.0,2270.0,2061.0,2001.2,2172.3,,1901.3,,1866.2,1883.0,2002.4,2399.9,2175.1,1975.7,2036.8,2257.7,2086.7,1971.4,2073.1,,2140.9,2250.0,2404.5,,1800.8,1958.7,,2039.0,2322.0,2077.5,,2138.8,1997.0,1936.9,2331.6,2311.0,1738.4,2017.6,1935.0,94.3,55.4,16.0,51.1,-99.0,172.0,-40.0,93.0,-116.0,-175.8,-4.7,,-275.7,,-310.8,-294.0,-174.6,222.9,-1.9,-201.3,-140.2,80.7,-90.3,-205.6,-103.9,,-36.1,73.0,227.5,,-376.2,-218.3,,-138.0,145.0,-99.5,,-38.2,-180.0,-240.1,154.6,134.0,-438.6,-159.4,-242.0,True,True,True,False,False,True,True,False,False,True,,False,,False,False,False,False,True,False,False,True,True,False,False,,True,True,False,,False,False,,False,False,False,,True,False,False,False,False,False,False,False
Montana,186,167.1,161.6,167.0,164.0,165.0,120.0,222.0,179.4,150.0,194.2,155.2,,215.5,,147.1,190.0,164.7,187.7,193.7,166.5,158.9,155.8,192.9,248.6,177.6,,170.2,184.4,147.0,,,138.2,,167.0,205.0,151.6,,140.8,174.0,145.4,166.0,174.0,140.3,161.2,144.0,-18.9,-24.4,-19.0,-22.0,-21.0,-66.0,36.0,-6.6,-36.0,8.2,-30.8,,29.5,,-38.9,4.0,-21.3,1.7,7.7,-19.5,-27.1,-30.2,6.9,62.6,-8.4,,-15.8,-1.6,-39.0,,,-47.8,,-19.0,19.0,-34.4,,-45.2,-12.0,-40.6,-20.0,-12.0,-45.7,-24.8,-42.0,False,False,False,False,False,False,True,False,True,False,,False,,False,True,False,True,True,False,False,False,True,False,True,,True,True,False,,,False,,False,False,False,,False,True,False,False,True,False,False,False
Nebraska,497,450.3,452.3,464.0,452.0,465.0,466.0,489.0,478.2,429.0,474.5,452.4,,534.6,,457.7,472.0,474.2,526.6,536.1,480.2,433.1,439.7,478.4,622.8,455.0,,474.1,452.4,474.0,,,436.1,,463.0,473.0,443.0,,442.8,452.0,465.5,485.5,456.0,436.5,458.4,425.0,-46.7,-44.7,-33.0,-45.0,-32.0,-31.0,-8.0,-18.8,-68.0,-22.5,-44.6,,37.6,,-39.3,-25.0,-22.8,29.6,39.1,-16.8,-63.9,-57.3,-18.6,125.8,-42.0,,-22.9,-44.6,-23.0,,,-60.9,,-34.0,-24.0,-54.0,,-54.2,-45.0,-31.5,-11.5,-41.0,-60.5,-38.6,-72.0,True,True,True,True,True,True,True,False,True,True,,True,,True,True,True,True,True,True,False,False,True,False,True,,True,True,True,,,False,,True,True,False,,False,True,True,True,True,False,True,False
Nevada,1620,1724.6,1729.0,1603.0,1732.1,1653.0,1638.0,1635.0,1614.2,1642.0,1787.1,1569.5,,1734.3,,1733.3,1688.0,1654.4,1606.7,1681.9,1670.2,1613.2,1604.0,1784.6,1783.7,1576.6,,1671.9,1642.1,1487.0,,1779.9,1467.0,,1656.0,1657.0,1693.7,,1613.8,1614.0,1687.1,1622.8,1616.0,1598.4,1671.6,1618.0,104.6,109.0,-17.0,112.1,33.0,18.0,15.0,-5.8,22.0,167.1,-50.5,,114.3,,113.3,68.0,34.4,-13.3,61.9,50.2,-6.8,-16.0,164.6,163.7,-43.4,,51.9,22.1,-133.0,,159.9,-153.0,,36.0,37.0,73.7,,-6.2,-6.0,67.1,2.8,-4.0,-21.6,51.6,-2.0,False,True,False,True,True,True,True,True,False,True,,False,,False,True,True,True,True,True,True,True,False,False,True,,True,True,False,,False,False,,True,True,True,,True,True,True,True,True,True,True,True
New Hampshire,442,436.9,436.3,435.0,440.9,446.0,432.0,440.0,444.1,436.0,447.2,445.6,,451.3,,447.5,442.0,444.3,459.3,463.1,438.4,447.0,433.4,441.7,445.7,456.3,,455.2,444.6,452.0,,,474.6,,439.0,450.0,441.5,,459.6,445.0,492.2,473.1,437.0,444.0,445.9,,-5.1,-5.7,-7.0,-1.1,4.0,-10.0,-2.0,2.1,-6.0,5.2,3.6,,9.3,,5.5,0.0,2.3,17.3,21.1,-3.6,5.0,-8.6,-0.3,3.7,14.3,,13.2,2.6,10.0,,,32.6,,-3.0,8.0,-0.5,,17.6,3.0,50.2,31.1,-5.0,2.0,3.9,,False,False,True,True,False,True,True,False,False,True,,False,,False,True,True,False,False,True,True,False,True,True,False,,False,True,False,,,False,,True,False,True,,False,True,False,False,True,True,True,
New Jersey,16135,16189.6,16237.6,16147.0,16337.8,16212.0,16430.0,16074.0,16083.1,16006.0,16073.1,16260.4,,16332.3,,16046.2,16212.0,16086.3,16362.1,16170.0,16207.9,16091.0,16162.9,16390.3,16071.3,16240.9,,16134.5,16140.1,16053.0,,16010.5,16131.9,,16146.0,16251.0,16212.9,,16161.1,16222.0,17835.1,16758.2,16181.0,16279.9,16093.7,16208.0,54.6,102.6,12.0,202.8,77.0,295.0,-61.0,-51.9,-129.0,-61.9,125.4,,197.3,,-88.8,77.0,-48.7,227.1,35.0,72.9,-44.0,27.9,255.3,-63.7,105.9,,-0.5,5.1,-82.0,,-124.5,-3.1,,11.0,116.0,77.9,,26.1,87.0,1700.1,623.2,46.0,144.9,-41.3,73.0,False,True,False,False,False,False,True,False,False,False,,False,,False,False,True,False,True,False,True,True,False,False,False,,True,True,False,,False,True,,True,False,False,,True,False,False,False,True,False,True,False
New Mexico,890,930.3,928.4,877.0,924.0,900.0,833.0,983.0,894.5,867.0,908.2,897.9,,924.0,,916.3,925.0,873.2,888.6,933.9,867.7,869.7,880.7,968.6,886.5,877.9,,882.4,908.4,908.0,,,841.7,,891.0,939.0,905.8,,868.4,876.0,931.4,907.1,903.0,874.4,889.4,841.0,40.3,38.4,-13.0,34.0,10.0,-57.0,93.0,4.5,-23.0,18.2,7.9,,34.0,,26.3,35.0,-16.8,-1.4,43.9,-22.3,-20.3,-9.3,78.6,-3.5,-12.1,,-7.6,18.4,18.0,,,-48.3,,1.0,49.0,15.8,,-21.6,-14.0,41.4,17.1,13.0,-15.6,-0.6,-49.0,True,True,True,True,False,False,True,True,True,True,,True,,True,True,True,True,False,True,True,True,False,True,True,,True,True,True,,,False,,True,False,True,,True,True,False,True,True,True,True,False
New York,33375,33287.9,33386.0,33300.0,33607.0,33231.0,33485.0,33465.0,33359.4,32992.0,33117.4,33165.2,,32978.4,,33308.4,33210.0,33180.0,33822.5,33209.7,33226.1,33158.9,33209.8,33907.6,33617.3,33569.7,,33249.3,33213.8,33215.0,,33178.5,33111.7,,33129.0,33209.0,33253.0,,33493.0,33231.0,36505.5,34359.5,33438.0,33110.0,33201.2,32928.0,-87.1,11.0,-75.0,232.0,-144.0,110.0,90.0,-15.6,-383.0,-257.6,-209.8,,-396.6,,-66.6,-165.0,-195.0,447.5,-165.3,-148.9,-216.1,-165.2,532.6,242.3,194.7,,-125.7,-161.2,-160.0,,-196.5,-263.3,,-246.0,-166.0,-122.0,,118.0,-144.0,3130.5,984.5,63.0,-265.0,-173.8,-447.0,True,True,False,False,False,False,True,False,False,False,,False,,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,True,False,False,False
North Carolina,3629,3653.7,3685.1,3596.0,3713.2,3560.0,3604.0,4432.0,3762.5,3519.0,3459.1,3611.6,,3414.0,,3688.9,3489.0,3536.1,3724.7,3692.4,3509.8,3296.2,3544.6,3474.6,3470.9,3630.2,,3296.6,3601.0,3363.0,,3464.0,3184.7,,3605.0,3740.0,3667.7,,3619.9,3469.0,3433.3,3535.2,3761.0,3247.8,3490.5,3348.0,24.7,56.1,-33.0,84.2,-69.0,-25.0,803.0,133.5,-110.0,-169.9,-17.4,,-215.0,,59.9,-140.0,-92.9,95.7,63.4,-119.2,-332.8,-84.4,-154.4,-158.1,1.2,,-332.4,-28.0,-266.0,,-165.0,-444.3,,-24.0,111.0,38.7,,-9.1,-160.0,-195.7,-93.8,132.0,-381.2,-138.5,-281.0,False,False,False,False,False,False,False,False,False,True,,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,True,False,False,,True,False,False,False,False,False,False,False
North Dakota,271,210.0,209.7,213.0,211.0,211.0,219.0,272.0,226.7,158.0,212.7,,,247.5,,193.2,189.0,227.8,270.5,220.3,235.3,202.1,204.9,200.0,283.5,200.0,,233.2,234.1,225.0,,,181.1,,194.0,202.0,224.7,,189.9,244.0,183.3,251.6,231.0,174.7,206.5,184.0,-61.0,-61.3,-58.0,-60.0,-60.0,-52.0,1.0,-44.3,-113.0,-58.3,,,-23.5,,-77.8,-82.0,-43.2,-0.5,-50.7,-35.7,-68.9,-66.1,-71.0,12.5,-71.0,,-37.8,-36.9,-46.0,,,-89.9,,-77.0,-69.0,-46.3,,-81.1,-27.0,-87.7,-19.4,-40.0,-96.3,-64.5,-87.0,False,True,True,True,True,True,True,False,True,,,True,,False,False,True,True,True,True,False,False,False,True,False,,True,True,True,,,False,,False,False,True,,False,True,False,True,True,False,False,False
Ohio,4925,4760.4,4565.2,4708.0,4329.7,4840.0,5040.0,5112.0,4817.7,4818.0,4764.0,4846.5,,4810.5,,4952.0,4846.0,4857.4,5369.9,5099.7,4795.9,4622.7,4843.2,4913.9,4680.3,4874.8,9593.0,4578.8,4839.6,4988.0,,4756.2,4604.3,,4835.0,4860.0,4483.7,,4861.3,4809.0,4912.0,5272.5,4845.0,4618.8,4662.5,4626.0,-164.6,-359.8,-217.0,-595.3,-85.0,115.0,187.0,-107.3,-107.0,-161.0,-78.5,,-114.5,,27.0,-79.0,-67.6,444.9,174.7,-129.1,-302.3,-81.8,-11.1,-244.7,-50.2,4668.0,-346.2,-85.4,63.0,,-168.8,-320.7,,-90.0,-65.0,-441.3,,-63.7,-116.0,-13.0,347.5,-80.0,-306.2,-262.5,-299.0,False,False,False,True,True,False,True,True,True,True,,True,,True,True,True,False,False,True,False,True,True,False,True,False,False,True,True,,False,False,,True,True,False,,True,True,True,False,True,False,False,False
Oklahoma,1051,1061.3,1068.8,1057.0,1062.0,1079.0,1265.0,1191.0,1109.8,1068.0,1125.4,994.3,,1101.1,,1285.6,1106.0,1106.5,1285.0,1242.4,1085.9,1029.0,1078.6,1141.3,1112.5,1116.5,,1073.9,1074.0,1140.0,,,958.2,,1084.0,1105.0,1002.5,,1166.1,1064.0,1020.5,1157.7,1095.0,965.4,1059.5,1028.0,10.3,17.8,6.0,11.0,28.0,214.0,140.0,58.8,17.0,74.4,-56.7,,50.1,,234.6,55.0,55.5,234.0,191.4,34.9,-22.0,27.6,90.3,61.5,65.5,,22.9,23.0,89.0,,,-92.8,,33.0,54.0,-48.5,,115.1,13.0,-30.5,106.7,44.0,-85.6,8.5,-23.0,False,True,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,True,False
Oregon,571,569.7,588.8,558.0,584.0,583.0,550.0,574.0,576.7,571.0,608.2,592.7,,607.8,,637.3,559.0,581.0,620.3,747.2,586.8,561.3,560.8,615.6,602.8,539.9,,581.7,569.9,597.0,,,513.7,,583.0,590.0,558.6,,516.3,568.0,566.7,588.9,576.0,543.6,570.1,560.0,-1.3,17.8,-13.0,13.0,12.0,-21.0,3.0,5.7,0.0,37.2,21.7,,36.8,,66.3,-12.0,10.0,49.3,176.2,15.8,-9.7,-10.2,44.6,31.8,-31.1,,10.7,-1.1,26.0,,,-57.3,,12.0,19.0,-12.4,,-54.7,-3.0,-4.3,17.9,5.0,-27.4,-0.9,-11.0,False,False,False,False,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,False,,False,False,False,False,False,False,True,False
Pennsylvania,8180,8104.9,8118.0,8081.0,8143.2,8148.0,8417.0,8252.0,8068.4,7963.0,8022.0,8205.2,,8153.3,,8139.6,7988.0,8176.4,8635.6,8528.5,8130.9,8064.4,8062.2,8081.9,8147.7,8250.0,,8248.5,8160.5,9067.0,,8064.8,7865.1,,8098.0,8158.0,8033.3,,8181.7,8135.0,8629.0,8918.2,8251.0,7971.5,8060.5,8033.0,-75.1,-62.0,-99.0,-36.8,-32.0,237.0,72.0,-111.6,-217.0,-158.0,25.2,,-26.7,,-40.4,-192.0,-3.6,455.6,348.5,-49.1,-115.6,-117.8,-98.1,-32.3,70.0,,68.5,-19.5,887.0,,-115.2,-314.9,,-82.0,-22.0,-146.7,,1.7,-45.0,449.0,738.2,71.0,-208.5,-119.5,-147.0,True,False,True,True,False,True,False,False,False,True,,True,,True,False,True,False,False,True,False,False,False,True,True,,True,True,False,,False,False,,False,True,False,,True,True,False,False,True,False,False,False
Rhode Island,1118,1089.7,1090.8,,1096.8,1091.0,1076.0,1105.0,1107.4,1058.0,1089.5,1097.0,,1164.9,,1153.8,1084.0,1096.0,1127.3,1123.1,1116.6,1063.9,1078.2,1209.5,1076.9,1079.0,,1113.2,1081.4,1229.0,,1080.8,1121.8,,1091.0,1084.0,1085.0,,1062.0,1075.0,1193.6,1158.3,1081.0,0.0,1090.7,1084.0,-14.3,-13.2,,-7.2,-13.0,-28.0,1.0,3.4,-46.0,-14.5,-7.0,,60.9,,49.8,-20.0,-8.0,23.3,19.1,12.6,-40.1,-25.8,105.5,-27.1,-25.0,,9.2,-22.6,125.0,,-23.2,17.8,,-13.0,-20.0,-19.0,,-42.0,-29.0,89.6,54.3,-23.0,-1104.0,-13.3,-20.0,True,,True,True,False,True,True,False,False,True,,False,,False,False,True,False,False,True,False,False,False,False,False,,True,False,False,,False,False,,True,False,False,,False,False,False,False,False,False,True,False
South Carolina,3442,3573.6,3589.5,3424.0,3593.2,3520.0,3654.0,4553.0,3621.5,3520.0,3595.0,3370.9,,3680.6,,3661.0,3385.0,3533.6,3686.3,3387.3,3404.3,3407.0,3461.6,3515.6,3343.0,3387.4,,3385.9,3614.8,3398.0,,3774.1,3148.2,,3594.0,3685.0,3467.2,,3312.1,3524.0,3514.2,3456.5,3793.0,3283.3,3418.5,2995.0,131.6,147.5,-18.0,151.2,78.0,212.0,1111.0,179.5,78.0,153.0,-71.1,,238.6,,219.0,-57.0,91.6,244.3,-54.7,-37.7,-35.0,19.6,73.6,-99.0,-54.6,,-56.1,172.8,-44.0,,332.1,-293.8,,152.0,243.0,25.2,,-129.9,82.0,72.2,14.5,351.0,-158.7,-23.5,-447.0,False,True,False,True,False,False,False,True,False,True,,False,,False,True,True,False,True,True,True,True,True,True,True,,True,False,True,,False,False,,False,False,True,,True,True,True,True,False,False,True,False
South Dakota,248,196.1,198.6,215.0,197.0,216.0,254.0,355.0,238.1,182.0,211.6,229.9,,262.7,,200.4,214.0,259.4,292.8,208.4,244.3,198.1,201.3,248.4,323.2,200.3,,230.1,200.1,201.0,,,183.8,,224.0,223.0,215.8,,325.0,235.0,204.9,259.5,238.0,190.5,211.2,186.0,-51.9,-49.4,-33.0,-51.0,-32.0,6.0,107.0,-9.9,-66.0,-36.4,-18.1,,14.7,,-47.6,-34.0,11.4,44.8,-39.6,-3.7,-49.9,-46.7,0.4,75.2,-47.7,,-17.9,-47.9,-47.0,,,-64.2,,-24.0,-25.0,-32.2,,77.0,-13.0,-43.1,11.5,-10.0,-57.5,-36.8,-62.0,True,True,True,True,True,False,True,False,True,True,,True,,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,,False,,True,True,True,,False,True,True,True,True,False,True,False
Tennessee,2560,2320.1,2380.5,2417.0,2410.1,2349.0,2419.0,2594.0,2359.4,2324.0,2457.3,,,2268.3,,2776.6,2346.0,2370.9,2351.2,2531.3,2329.7,2324.2,2367.5,2537.9,2336.0,2367.1,,2692.2,2372.2,2326.0,,2606.2,2084.7,,2386.0,2365.0,2366.5,,2288.4,2270.0,2322.9,2304.5,2316.0,2123.6,2324.1,2319.0,-239.9,-179.5,-143.0,-149.9,-211.0,-141.0,34.0,-200.6,-236.0,-102.7,,,-291.7,,216.6,-214.0,-189.1,-208.8,-28.7,-230.3,-235.8,-192.5,-22.1,-224.0,-192.9,,132.2,-187.8,-234.0,,46.2,-475.3,,-174.0,-195.0,-193.5,,-271.6,-290.0,-237.1,-255.5,-244.0,-436.4,-235.9,-241.0,True,True,True,True,True,True,True,True,True,,,False,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,True,True,,False,False,True,False,False,False,True,False
Texas,16363,17399.3,17453.7,16313.0,17451.2,16543.0,16490.0,16493.0,16079.6,17089.0,16832.9,15765.7,,15927.7,,17322.8,17030.0,16587.3,16510.7,16600.2,16736.2,15428.4,16448.3,18004.5,16622.5,15726.5,,16923.0,16561.5,16512.5,,18178.9,15706.5,15533.0,16704.0,17778.0,16791.1,,15622.1,16093.0,16557.1,16082.8,16435.0,15585.7,16387.7,15749.0,1138.3,1192.7,52.0,1190.2,282.0,229.0,232.0,-181.4,828.0,571.9,-495.3,,-333.3,,1061.8,769.0,326.3,249.7,339.2,475.2,-832.6,187.3,1743.5,361.5,-534.5,,662.0,300.5,251.5,,1917.9,-554.5,-728.0,443.0,1517.0,530.1,,-638.9,-168.0,296.1,-178.2,174.0,-675.3,126.7,-512.0,False,True,False,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,False,True,True,True,False,True,,True,True,True,True,True,True,True,True
Utah,476,479.9,478.8,498.0,472.0,493.0,501.0,508.0,530.0,466.0,508.5,482.1,,397.2,,564.6,526.0,493.6,489.0,564.3,508.1,481.2,478.4,491.5,451.1,505.1,,529.2,489.8,468.0,,,451.3,,479.0,508.0,486.1,,481.3,504.0,493.0,492.0,475.0,388.7,495.5,435.0,3.9,2.8,22.0,-4.0,17.0,25.0,32.0,54.0,-10.0,32.5,6.1,,-78.8,,88.6,50.0,17.6,13.0,88.3,32.1,5.2,2.4,15.5,-24.9,29.1,,53.2,13.8,-8.0,,,-24.7,,3.0,32.0,10.1,,5.3,28.0,17.0,16.0,-1.0,-87.3,19.5,-41.0,True,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,,True,False,False,,False,False,False,False,True,False,False,False
Vermont,58,58.0,58.5,58.0,60.0,60.0,59.0,56.0,59.4,59.0,60.4,60.0,,71.4,,58.4,58.0,59.0,67.6,67.8,59.4,58.5,58.0,61.4,80.0,59.0,,59.8,58.6,60.0,,,58.0,,60.0,61.0,58.2,,65.4,59.0,61.3,63.9,58.0,58.0,61.3,,0.0,0.5,0.0,2.0,2.0,1.0,-2.0,1.4,1.0,2.4,2.0,,13.4,,0.4,0.0,1.0,9.6,9.8,1.4,0.5,0.0,3.4,22.0,1.0,,1.8,0.6,2.0,,,0.0,,2.0,3.0,0.2,,7.4,1.0,3.3,5.9,0.0,-0.0,3.3,,False,True,False,False,False,False,False,False,False,False,,False,,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,,True,,False,False,False,,False,False,False,False,True,False,False,
