,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1007,1013.7,818.2,1145.0,776.1,702.0,934.4,,1002.0,784.0,945.2,1100.4,1105.1,6.7,-188.8,138.0,-230.9,-305.0,-72.6,,-5.0,-223.0,-61.8,93.4,98.1,False,False,False,False,False,,True,False,False,False,False
Alaska,16,10.0,11.4,9.0,10.4,,13.9,,10.0,,11.1,9.6,11.1,-6.0,-4.6,-7.0,-5.6,,-2.1,,-6.0,,-4.9,-6.4,-4.9,True,False,True,,True,,False,,True,False,True
Arizona,1817,1421.9,1056.3,1666.0,1720.0,1383.0,1687.8,,1711.0,1427.0,1546.2,1664.5,1745.8,-395.1,-760.7,-151.0,-97.0,-434.0,-129.2,,-106.0,-390.0,-270.8,-152.5,-71.2,False,True,True,False,True,,True,True,True,True,True
Arkansas,286,215.6,208.7,156.0,310.7,258.0,233.2,,216.0,165.0,220.2,236.7,226.3,-70.4,-77.3,-130.0,24.7,-28.0,-52.8,,-70.0,-121.0,-65.8,-49.3,-59.7,False,False,True,True,True,,True,False,True,True,True
California,6334,6207.1,5170.1,6351.0,8843.2,6581.0,5732.3,,6306.0,5153.0,6648.3,7340.9,6344.4,-126.9,-1163.9,17.0,2509.2,247.0,-601.7,,-28.0,-1181.0,314.3,1006.9,10.4,False,True,False,False,False,,True,False,False,False,True
Colorado,1701,1993.9,1585.6,1756.0,2658.0,1908.0,2004.8,,1979.0,1835.0,2082.0,1729.4,2178.5,292.9,-115.4,55.0,957.0,207.0,303.8,,278.0,134.0,381.0,28.4,477.5,True,True,False,True,False,,True,True,False,True,False
Connecticut,4335,5163.1,4328.2,4384.0,4233.8,4338.0,4328.8,,4598.0,4208.0,4796.5,4084.2,4640.4,828.1,-6.8,49.0,-101.2,3.0,-6.2,,263.0,-127.0,461.5,-250.8,305.4,True,True,True,True,True,,True,True,True,True,True
Delaware,512,560.3,407.5,469.0,409.2,451.0,438.8,,585.0,428.0,472.7,424.1,540.1,48.3,-104.5,-43.0,-102.8,-61.0,-73.2,,73.0,-84.0,-39.3,-87.9,28.1,False,True,False,False,False,,False,False,True,False,True
District of Columbia,557,631.1,508.5,594.0,586.4,675.0,565.5,,570.0,566.0,717.8,533.9,599.6,74.1,-48.5,37.0,29.4,118.0,8.5,,13.0,9.0,160.8,-23.1,42.6,True,True,True,False,True,,True,True,False,True,True
Florida,3702,3490.4,2758.9,2988.0,3268.6,3252.0,3278.7,,3733.0,3061.0,3844.1,3029.1,3672.9,-211.6,-943.1,-714.0,-433.4,-450.0,-423.3,,31.0,-641.0,142.1,-672.9,-29.1,False,False,False,False,False,,True,False,True,False,True
Georgia,2857,3150.7,2333.5,2500.0,2616.4,2559.0,2651.2,,2887.0,2545.0,2623.8,2413.0,3325.8,293.7,-523.5,-357.0,-240.6,-298.0,-205.8,,30.0,-312.0,-233.2,-444.0,468.8,False,False,True,False,True,,True,False,True,False,False
Hawaii,19,17.0,17.7,17.0,17.5,,18.5,,17.0,74.0,18.5,17.7,19.3,-2.0,-1.3,-2.0,-1.5,,-0.5,,-2.0,55.0,-0.5,-1.3,0.3,True,False,True,,True,,False,False,True,True,True
Idaho,93,96.6,96.8,89.0,96.2,84.0,112.9,,86.0,179.0,91.6,84.5,92.9,3.6,3.8,-4.0,3.2,-9.0,19.9,,-7.0,86.0,-1.4,-8.5,-0.1,False,False,True,False,False,,False,False,True,False,True
Illinois,7014,7983.7,6339.7,7057.0,6303.3,7520.0,6691.7,7684.5,9130.0,7121.0,7733.3,6454.1,7200.9,969.7,-674.3,43.0,-710.7,506.0,-322.3,670.5,2116.0,107.0,719.3,-559.9,186.9,True,True,True,True,True,True,False,True,True,True,True
Indiana,2687,2901.4,2376.9,2625.0,2315.8,2805.0,2798.4,3226.5,2922.5,2513.0,2593.1,2457.7,3028.1,214.4,-310.1,-62.0,-371.2,118.0,111.4,539.5,235.5,-174.0,-93.9,-229.3,341.1,False,True,False,True,True,False,False,True,True,False,False
Iowa,721,918.7,652.6,750.0,948.9,676.0,865.3,,982.0,1188.0,770.1,602.6,1059.6,197.7,-68.4,29.0,227.9,-45.0,144.3,,261.0,467.0,49.1,-118.4,338.6,True,True,False,True,True,,False,False,True,True,False
Kansas,283,263.6,266.4,262.0,226.4,301.0,237.6,,254.0,249.0,285.4,229.6,273.3,-19.4,-16.6,-21.0,-56.6,18.0,-45.4,,-29.0,-34.0,2.4,-53.4,-9.7,True,False,False,True,False,,False,False,True,False,True
