,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,1007,1202.3,886.5,1287.6,724.2,1316.9,195.3,-120.5,280.6,-282.8,309.9,False,False,False
Alaska,16,17.9,14.8,5.0,14.1,14.7,1.9,-1.2,-11.0,-1.9,-1.3,False,False,True
Arizona,1817,1903.1,1369.7,2251.7,1067.0,2570.4,86.1,-447.3,434.7,-750.0,753.4,False,False,False
Arkansas,286,208.9,162.9,189.1,233.6,273.8,-77.1,-123.1,-96.9,-52.4,-12.2,False,True,True
California,6334,6644.6,5111.8,5635.9,6332.0,5435.0,310.6,-1222.2,-698.1,-2.0,-899.0,False,True,False
Colorado,1701,1984.6,1589.1,1625.5,1728.9,2204.0,283.6,-111.9,-75.5,27.9,503.0,True,True,False
Connecticut,4335,7139.1,5511.3,4512.0,4330.0,4903.5,2804.1,1176.3,177.0,-5.0,568.5,True,True,True
Delaware,512,566.7,431.8,402.7,434.7,583.4,54.7,-80.2,-109.3,-77.3,71.4,False,False,False
District of Columbia,557,888.7,668.0,533.7,552.1,748.5,331.7,111.0,-23.3,-4.9,191.5,True,True,True
Florida,3702,4408.1,3359.7,4672.8,2644.2,4064.8,706.1,-342.3,970.8,-1057.8,362.8,False,False,True
Georgia,2857,3150.3,2469.7,3352.2,2675.9,3160.4,293.3,-387.3,495.2,-181.1,303.4,False,True,False
Hawaii,19,17.0,17.0,19.0,24.5,29.9,-2.0,-2.0,0.0,5.5,10.9,True,False,False
Idaho,93,90.6,81.4,75.1,107.5,95.8,-2.4,-11.6,-17.9,14.5,2.8,False,False,False
Illinois,7014,9597.4,7181.8,7154.5,6426.0,10421.3,2583.4,167.8,140.5,-588.0,3407.3,True,True,False
Indiana,2687,4462.3,3309.6,3788.8,2635.9,5443.8,1775.3,622.6,1101.8,-51.1,2756.8,True,True,False
Iowa,721,901.4,653.1,805.5,1659.4,1551.6,180.4,-67.9,84.5,938.4,830.6,True,False,False
Kansas,283,409.7,317.7,373.5,757.4,356.9,126.7,34.7,90.5,474.4,73.9,True,False,True
Kentucky,585,704.7,548.4,660.0,671.7,609.2,119.7,-36.6,75.0,86.7,24.2,True,True,True
Louisiana,3278,4438.9,3598.9,3211.1,3396.3,3588.5,1160.9,320.9,-66.9,118.3,310.5,True,True,True
Maine,107,119.0,97.5,90.9,119.6,127.6,12.0,-9.5,-16.1,12.6,20.6,False,False,False
Maryland,3236,4496.1,3383.3,2560.6,2943.2,3560.6,1260.1,147.3,-675.4,-292.8,324.6,True,True,True
Massachusetts,8172,12639.7,9650.8,7508.7,7357.2,9003.2,4467.7,1478.8,-663.3,-814.8,831.2,True,True,True
