,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1007,920.0,746.6,645.0,990.6,,1229.0,819.0,914.0,900.4,1141.6,-87.0,-260.4,-362.0,-16.4,,222.0,-188.0,-93.0,-106.6,134.6,False,False,True,,False,False,False,False,False
Alaska,16,10.0,11.2,,10.5,,10.0,,11.2,11.6,12.0,-6.0,-4.8,,-5.5,,-6.0,,-4.8,-4.4,-4.0,True,,True,,False,,True,True,True
Arizona,1817,1509.7,1490.6,1372.0,1271.8,,1200.0,1901.0,1542.5,1482.1,2099.7,-307.3,-326.4,-445.0,-545.2,,-617.0,84.0,-274.5,-334.9,282.7,False,False,False,,False,True,True,False,True
Arkansas,286,221.4,187.5,310.0,234.7,,246.0,199.0,238.8,221.9,192.1,-64.6,-98.5,24.0,-51.3,,-40.0,-87.0,-47.2,-64.1,-93.9,False,True,True,,True,False,True,True,False
California,6334,6764.6,4922.9,6058.0,5651.2,,7375.0,5981.0,5925.6,6697.0,6473.6,429.6,-1412.1,-277.0,-683.8,,1040.0,-354.0,-409.4,362.0,138.6,False,True,False,,False,True,True,True,True
Colorado,1701,2017.3,1602.1,1968.0,1956.7,,2366.5,3090.0,2129.0,1793.6,2394.3,316.3,-98.9,267.0,255.7,,665.5,1389.0,428.0,92.6,693.3,True,True,True,,False,False,False,True,False
Connecticut,4335,5362.3,4385.4,4185.0,4757.5,,4819.5,4665.0,4812.8,4026.1,4670.8,1027.3,50.4,-150.0,422.5,,484.5,330.0,477.8,-308.9,335.8,True,True,True,,True,True,True,True,True
Delaware,512,536.9,402.9,432.0,517.0,,626.0,650.0,454.2,402.9,589.0,24.9,-109.1,-80.0,5.0,,114.0,138.0,-57.8,-109.1,77.0,False,False,True,,False,False,False,False,False
District of Columbia,557,719.0,509.9,644.0,649.2,,664.0,625.0,770.7,554.2,637.5,162.0,-47.1,87.0,92.2,,107.0,68.0,213.7,-2.8,80.5,True,True,True,,True,True,False,True,True
Florida,3702,3783.3,2619.0,2953.0,3287.2,,3698.5,3664.0,3556.6,2676.2,3890.8,81.3,-1083.0,-749.0,-414.8,,-3.5,-38.0,-145.4,-1025.8,188.8,False,False,False,,True,True,False,False,False
Georgia,2857,3098.0,2185.7,2413.0,2721.9,,2902.0,2627.0,2337.0,2056.9,3246.8,241.0,-671.3,-444.0,-135.1,,45.0,-230.0,-520.0,-800.1,389.8,False,False,True,,True,True,False,False,False
Hawaii,19,17.0,18.0,,18.1,,17.0,1228.0,19.0,18.9,22.5,-2.0,-1.0,,-0.9,,-2.0,1209.0,-0.0,-0.1,3.5,True,,True,,False,False,True,True,False
Idaho,93,114.1,94.2,85.0,110.6,,80.0,,93.8,88.9,96.3,21.1,1.2,-8.0,17.6,,-13.0,,0.8,-4.1,3.3,True,True,True,,True,,True,True,True
Illinois,7014,8833.0,6588.6,7376.0,8014.4,4851.0,7290.5,10028.0,7997.3,6809.1,9208.9,1819.0,-425.4,362.0,1000.4,-2163.0,276.5,3014.0,983.3,-204.9,2194.9,True,True,True,False,True,False,True,True,False
Indiana,2687,3293.9,2433.6,2746.0,2925.2,1753.0,3709.0,3378.0,2567.4,2646.4,3826.6,606.9,-253.4,59.0,238.2,-934.0,1022.0,691.0,-119.6,-40.6,1139.6,True,True,True,False,False,False,True,True,False
Iowa,721,1071.0,568.2,625.0,893.6,,1001.5,1120.0,765.7,541.0,1299.6,350.0,-152.8,-96.0,172.6,,280.5,399.0,44.7,-180.0,578.6,True,True,True,,True,False,True,True,False
Kansas,283,263.6,284.1,330.0,241.8,,266.0,307.0,325.3,223.7,273.2,-19.4,1.1,47.0,-41.2,,-17.0,24.0,42.3,-59.3,-9.8,True,False,False,,True,False,False,False,True
Kentucky,585,724.9,461.1,476.0,473.0,232.0,552.0,,628.0,683.3,612.8,139.9,-123.9,-109.0,-112.0,-353.0,-33.0,,43.0,98.3,27.8,True,True,True,False,True,,True,True,True
Louisiana,3278,3862.4,2987.0,3375.0,3529.5,,3386.0,3444.0,3170.1,2901.5,3429.1,584.4,-291.0,97.0,251.5,,108.0,166.0,-107.9,-376.5,151.1,True,True,True,,True,True,True,True,True
Maine,107,124.9,103.8,163.0,148.6,,90.0,,95.9,132.4,101.2,17.9,-3.2,56.0,41.6,,-17.0,,-11.1,25.4,-5.8,True,False,False,,True,,True,False,True
Maryland,3236,3946.3,3168.3,3402.0,3307.8,,3364.5,5222.0,3614.5,3632.4,3776.9,710.3,-67.7,166.0,71.8,,128.5,1986.0,378.5,396.4,540.9,True,True,True,,True,False,True,True,True
Massachusetts,8172,9739.9,7494.7,8312.0,8299.3,,8328.0,8304.0,8626.8,6980.5,8520.7,1567.9,-677.3,140.0,127.3,,156.0,132.0,454.8,-1191.5,348.7,True,True,True,,True,True,True,True,True
Michigan,6218,7201.9,5798.0,6031.0,6441.3,11487.5,5525.5,5913.0,6209.9,5795.2,6255.9,1221.9,-182.0,51.0,461.3,5507.5,-454.5,-67.0,229.9,-184.8,275.9,True,True,True,False,True,True,True,True,True
Minnesota,1503,1739.0,1580.8,2587.0,1723.2,2545.5,1662.0,2526.0,1633.5,1305.7,1870.3,236.0,77.8,1084.0,220.2,1042.5,159.0,1023.0,130.5,-197.3,367.3,True,False,True,False,True,False,True,True,False
Mississippi,1107,1234.1,1057.0,833.0,1144.6,,1310.0,1438.0,934.4,897.9,1613.6,127.1,-50.0,-274.0,37.6,,203.0,331.0,-172.6,-209.1,506.6,True,False,True,,False,False,False,False,False
Missouri,1050,1189.7,786.1,1017.0,1024.1,,1514.0,1294.0,1218.4,862.2,1492.7,221.7,-181.9,49.0,56.1,,546.0,326.0,250.4,-105.8,524.7,True,True,True,,False,False,False,True,False
Montana,23,16.0,16.9,16.0,18.0,,20.0,206.0,20.0,17.5,19.2,-7.0,-6.1,-7.0,-5.0,,-3.0,183.0,-3.0,-5.5,-3.8,True,False,True,,True,False,True,True,True
Nebraska,284,287.6,290.9,368.0,219.4,,302.0,,312.5,165.9,376.3,3.6,6.9,84.0,-64.6,,18.0,,28.5,-118.1,92.3,False,False,False,,False,,False,False,False
Nevada,530,555.7,437.2,578.0,658.9,,588.0,,519.1,517.4,577.8,25.7,-92.8,48.0,128.9,,58.0,,-10.9,-12.6,47.8,False,False,False,,False,,True,True,False
New Hampshire,379,425.7,221.0,306.0,389.6,,465.0,494.0,381.0,331.5,524.8,46.7,-158.0,-73.0,10.6,,86.0,115.0,2.0,-47.5,145.8,False,False,True,,False,False,True,False,False
New Jersey,15189,15677.3,12349.0,13112.0,13512.2,,13834.0,15780.0,13599.7,11630.1,13975.2,2277.3,-1051.0,-288.0,112.2,,434.0,2380.0,199.7,-1769.9,575.2,True,True,True,,True,False,True,True,True
New Mexico,513,621.6,367.3,423.0,599.8,,643.5,,542.8,495.0,688.5,108.6,-145.7,-90.0,86.8,,130.5,,29.8,-18.0,175.5,False,True,True,,False,,True,True,False
New York,32206,34465.1,31726.4,32288.0,32525.1,,28444.0,29663.0,31792.5,29327.0,31955.9,3243.1,504.4,1066.0,1303.1,,-2778.0,-1559.0,570.5,-1895.0,733.9,True,True,True,,True,True,True,True,True
North Carolina,1422,1358.0,1128.8,1190.0,1350.2,,1240.0,1042.0,1470.6,1636.2,1359.1,-64.0,-293.2,-232.0,-71.8,,-182.0,-380.0,48.6,214.2,-62.9,False,False,False,,False,False,True,False,True
North Dakota,80,111.6,84.1,381.0,122.6,,98.0,3123.0,89.4,107.3,132.5,31.6,4.1,301.0,42.6,,18.0,3043.0,9.4,27.3,52.5,True,False,False,,True,False,True,True,False
Ohio,2907,3983.9,2719.9,2540.0,3230.6,1067.5,4072.0,,2913.6,3188.4,4284.5,1076.9,-187.1,-367.0,323.6,-1839.5,1165.0,,6.6,281.4,1377.5,True,True,True,False,False,,True,True,False
Oklahoma,398,445.7,360.5,451.0,424.4,,366.0,,379.3,463.3,421.2,47.7,-37.5,53.0,26.4,,-32.0,,-18.7,65.3,23.2,True,False,True,,True,,True,False,True
Oregon,213,212.4,175.1,159.0,175.3,,188.0,224.0,203.0,220.3,188.4,-0.6,-37.9,-54.0,-37.7,,-25.0,11.0,-10.0,7.3,-24.6,False,False,False,,False,False,False,False,False
Pennsylvania,6749,8890.4,5980.8,5802.0,7313.7,,9419.0,10216.0,7380.3,5605.6,7873.5,2141.4,-768.2,-947.0,564.7,,2670.0,3467.0,631.3,-1143.4,1124.5,True,True,True,,False,False,True,True,True
Rhode Island,980,1246.4,684.7,825.0,954.6,,918.0,960.0,888.4,619.0,1124.6,277.4,-284.3,-144.0,-14.4,,-51.0,-9.0,-80.6,-350.0,155.6,False,True,True,,True,True,True,False,True
South Carolina,813,727.9,516.6,563.0,724.5,,686.5,734.0,714.2,645.0,852.1,-85.1,-296.4,-250.0,-88.5,,-126.5,-79.0,-98.8,-168.0,39.1,False,False,False,,False,True,False,False,True
South Dakota,97,85.1,92.1,137.0,97.6,,74.0,164.0,74.0,62.8,139.6,-11.9,-4.9,40.0,0.6,,-23.0,67.0,-23.0,-34.2,42.6,True,False,True,,False,False,False,False,False
Tennessee,637,558.6,517.9,560.0,484.7,,492.0,,427.3,492.6,534.3,-78.4,-119.1,-77.0,-152.3,,-145.0,,-209.7,-144.4,-102.7,False,True,False,,False,,False,False,False
Texas,2951,2611.6,2256.0,3017.0,2173.5,,3251.0,3434.0,2501.4,2615.3,3402.2,-254.4,-610.0,151.0,-692.5,,385.0,568.0,-364.6,-250.7,536.2,False,True,False,,False,False,False,True,False
Utah,181,196.6,183.0,118.0,165.1,,220.0,324.0,180.7,162.5,241.9,15.6,2.0,-63.0,-15.9,,39.0,143.0,-0.3,-18.5,60.9,True,False,False,,False,False,True,False,False
Vermont,56,54.0,56.2,55.0,58.1,,60.0,,67.3,56.3,63.1,-2.0,0.2,-1.0,2.1,,4.0,,11.3,0.3,7.1,True,True,False,,False,,False,True,False
Virginia,1849,2114.0,1628.3,1667.0,1630.4,,1777.5,2509.0,1833.8,2052.8,1967.3,265.0,-220.7,-182.0,-218.6,,-71.5,660.0,-15.2,203.8,118.3,True,True,True,,True,False,True,True,True
Washington,1354,1412.4,1187.4,1234.0,1339.8,,1242.0,1429.0,1229.3,1228.7,1287.9,58.4,-166.6,-120.0,-14.2,,-112.0,75.0,-124.7,-125.3,-66.1,False,False,True,,False,False,False,False,False
West Virginia,94,101.3,84.3,75.0,182.5,,97.0,140.0,116.8,112.0,102.1,7.3,-9.7,-19.0,88.5,,3.0,46.0,22.8,18.0,8.1,False,False,False,,True,False,False,False,False
Wisconsin,796,843.9,694.9,873.0,832.2,785.5,768.5,770.0,766.5,975.1,757.7,47.9,-101.1,77.0,36.2,-10.5,-27.5,-26.0,-29.5,179.1,-38.3,False,False,True,True,True,True,True,False,True
Wyoming,20,35.4,17.6,13.0,18.0,,8.0,0.0,14.0,36.6,23.2,15.4,-2.4,-7.0,-2.0,,-12.0,-20.0,-6.0,16.6,3.2,True,True,True,,True,False,True,False,True
US,130089,145502.6,116432.4,124980.0,128270.8,,132671.5,,124657.1,117106.0,140796.1,18601.6,-10468.6,-1921.0,1369.8,,5770.5,,-2243.9,-9795.0,13895.1,True,True,True,,True,,True,True,True
