,count,mean,median,std,min,25%,75%,max
UCLA-SuEIR,51.0,151.4,57.8,200.2,0.0,13.3,211.7,983.3
LANL-GrowthRate,51.0,178.6,86.8,243.9,0.6,22.0,229.2,1083.1
IowaStateLW-STEM,51.0,200.9,96.0,244.7,1.0,52.0,275.5,1084.0
Covid19Sim-Simulator,51.0,221.3,119.1,302.9,0.2,23.6,279.9,1412.1
USACE-ERDC_SEIR,51.0,266.0,109.1,440.7,0.1,21.9,247.8,2115.0
YYG-ParamSearch,51.0,289.2,118.3,419.3,3.2,38.7,378.5,2194.9
PSI-DRAFT,51.0,310.1,108.0,588.6,2.0,24.0,278.5,2998.0
Baseline,51.0,394.7,85.1,672.3,0.6,20.3,333.1,3023.1
