,mean_rank
YYG-ParamSearch,7.4
UMass-MechBayes,7.5
UT-Mobility,9.4
COVIDhub-ensemble,9.5
UA-EpiCovDA,10.0
Geneva-DetGrowth,10.1
OliverWyman-Navigator,10.4
USC-SI_kJalpha,10.5
UCLA-SuEIR,10.6
NotreDame-mobility,11.0
PSI-DRAFT,11.6
LANL-GrowthRate,11.7
SWC-TerminusCM,12.2
MOBS_NEU-GLEAM_COVID,12.6
MIT_CovidAnalytics-DELPHI,12.7
IHME-CurveFit,12.9
RobertWalraven-ESG,13.1
Covid19Sim-Simulator,14.4
CU-select,15.2
IowaStateLW-STEM,15.2
Auquan-SEIR,15.4
JHU_IDD-CovidSP,17.4
MIT_CovAlliance-SIR,19.1
USACE-ERDC_SEIR,20.0
