,actual_deaths,Baseline,IHME-CurveFit,error-Baseline,error-IHME-CurveFit,beat_baseline-IHME-CurveFit
Alabama,1007,851.9,290.0,-155.1,-717.0,False
Alaska,16,19.9,16.5,3.9,0.5,True
Arizona,1817,824.6,479.7,-992.4,-1337.3,False
Arkansas,286,169.3,130.9,-116.7,-155.1,False
California,6334,7007.3,1743.4,673.3,-4590.6,False
Colorado,1701,1842.3,648.7,141.3,-1052.3,False
Connecticut,4335,7348.1,2884.0,3013.1,-1451.0,True
Delaware,512,414.4,135.9,-97.6,-376.1,False
District of Columbia,557,595.4,213.1,38.4,-343.9,False
Florida,3702,4172.3,1536.6,470.3,-2165.4,False
Georgia,2857,3444.7,1981.0,587.7,-876.0,False
Hawaii,19,20.9,26.1,1.9,7.1,False
Idaho,93,228.6,61.2,135.6,-31.8,True
Illinois,7014,7478.6,2093.0,464.6,-4921.0,False
Indiana,2687,2939.7,930.5,252.7,-1756.5,False
Iowa,721,444.1,442.0,-276.9,-279.0,False
Kansas,283,494.7,272.7,211.7,-10.3,True
Kentucky,585,678.0,466.2,93.0,-118.8,False
Louisiana,3278,6246.9,1703.8,2968.9,-1574.2,True
Maine,107,196.9,53.3,89.9,-53.7,True
Maryland,3236,2903.9,1111.5,-332.1,-2124.5,False
Massachusetts,8172,12020.3,3897.9,3848.3,-4274.1,False
Michigan,6218,12292.7,3361.2,6234.7,-2696.8,True
Minnesota,1503,828.9,301.3,-674.1,-1201.7,False
Mississippi,1107,843.0,398.5,-264.0,-708.5,False
Missouri,1050,1078.4,385.5,71.4,-621.5,False
Montana,23,53.4,14.2,30.4,-8.8,True
Nebraska,284,147.4,245.4,-136.6,-38.6,True
Nevada,530,657.4,240.0,127.4,-290.0,False
New Hampshire,379,200.9,70.3,-178.1,-308.7,False
New Jersey,15189,26206.6,7116.0,11017.6,-8073.0,True
New Mexico,513,369.9,104.7,-143.1,-408.3,False
New York,32157,74387.7,23741.0,42753.7,-7893.0,True
North Carolina,1422,1405.1,309.8,-16.9,-1112.2,False
North Dakota,80,30.7,277.0,-49.3,197.0,False
Ohio,2907,2837.9,770.6,-69.1,-2136.4,False
Oklahoma,398,617.7,306.2,219.7,-91.8,True
Oregon,213,312.9,120.3,99.9,-92.7,True
Pennsylvania,6749,9082.3,2323.2,2333.3,-4425.8,False
Rhode Island,960,1094.6,577.8,134.6,-382.2,False
South Carolina,813,532.6,261.3,-280.4,-551.7,False
South Dakota,97,17.9,98.3,-79.1,1.3,True
Tennessee,637,604.0,234.7,-33.0,-402.3,False
Texas,2620,2737.4,1165.7,117.4,-1454.3,False
Utah,181,124.7,222.9,-56.3,41.9,True
Vermont,56,157.4,42.8,101.4,-13.2,True
Virginia,1849,1753.6,771.3,-95.4,-1077.7,False
Washington,1354,2047.4,779.2,693.4,-574.8,True
West Virginia,94,148.3,34.5,54.3,-59.5,False
Wisconsin,796,1045.1,340.3,249.1,-455.7,False
Wyoming,20,23.7,243.4,3.7,223.4,False
US,129689,202271.3,65975.5,73308.3,-62987.5,True
