,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1007,961.6,983.0,968.0,1009.5,1242.0,1023.1,1127.6,1133.0,1026.4,,1018.1,920.0,1065.4,952.4,951.3,,960.8,1066.5,933.0,926.0,1002.9,981.0,840.1,1017.0,973.1,,-45.4,-24.0,-39.0,2.5,235.0,16.1,120.6,126.0,19.4,,11.1,-87.0,58.4,-54.6,-55.7,,-46.2,59.5,-74.0,-81.0,-4.1,-26.0,-166.9,10.0,-33.9,,True,True,True,False,True,False,False,True,,True,False,False,False,False,,False,False,False,False,True,True,False,True,True,
Alaska,16,12.0,15.0,12.0,13.3,12.0,14.4,31.1,14.0,14.2,,11.8,,20.5,13.3,12.5,,13.6,13.0,12.0,15.0,12.5,14.0,16.5,12.0,13.2,,-4.0,-1.0,-4.0,-2.7,-4.0,-1.6,15.1,-2.0,-1.8,,-4.2,,4.5,-2.7,-3.5,,-2.4,-3.0,-4.0,-1.0,-3.5,-2.0,0.5,-4.0,-2.8,,True,False,True,False,True,False,True,True,,False,,False,True,True,,True,True,False,True,True,True,True,False,True,
Arizona,1817,1642.4,1823.0,1660.0,1888.3,2860.0,2076.7,,2152.0,,,1889.3,1814.0,1872.7,2019.6,1665.4,,1708.9,1680.7,1506.5,1866.0,1751.8,2038.0,1407.1,1707.5,1692.1,1808.0,-174.6,6.0,-157.0,71.3,1043.0,259.7,,335.0,,,72.3,-3.0,55.7,202.6,-151.6,,-108.1,-136.3,-310.5,49.0,-65.2,221.0,-409.9,-109.5,-124.9,-9.0,True,True,True,False,False,,False,,,True,True,True,False,True,,True,True,False,True,True,False,False,True,True,True
Arkansas,286,310.4,311.0,318.0,320.0,496.0,253.3,394.3,305.0,355.9,,338.3,263.0,331.5,296.6,320.1,,254.9,352.2,266.5,270.0,281.7,318.0,257.1,322.0,295.4,,24.4,25.0,32.0,34.0,210.0,-32.7,108.3,19.0,69.9,,52.3,-23.0,45.5,10.6,34.1,,-31.1,66.2,-19.5,-16.0,-4.3,32.0,-28.9,36.0,9.4,,False,False,False,False,False,False,True,False,,False,True,False,True,False,,False,False,True,True,True,False,False,False,True,
California,6334,6287.6,6558.0,6329.9,6507.2,6619.0,6300.5,8153.9,6922.0,6511.2,,6465.8,6514.0,7339.1,6522.6,6257.6,,5910.4,6353.4,6100.0,6445.0,6257.7,6438.0,6084.6,6402.0,6296.0,6487.0,-46.4,224.0,-4.1,173.2,285.0,-33.5,1819.9,588.0,177.2,,131.8,180.0,1005.1,188.6,-76.4,,-423.6,19.4,-234.0,111.0,-76.3,104.0,-249.4,68.0,-38.0,153.0,False,True,False,False,True,False,False,False,,False,False,False,False,False,,False,True,False,False,False,False,False,False,True,False
Colorado,1701,1738.0,1753.0,1747.6,1735.6,1734.0,1751.5,1754.2,1719.0,1761.5,,1681.1,1732.0,1808.1,1760.1,1756.6,,1716.0,1731.8,1737.0,1706.0,1732.0,1724.0,1776.9,1728.0,1739.5,,37.0,52.0,46.6,34.6,33.0,50.5,53.2,18.0,60.5,,-19.9,31.0,107.1,59.1,55.6,,15.0,30.8,36.0,5.0,31.0,23.0,75.9,27.0,38.5,,False,False,True,True,False,False,True,False,,True,True,False,False,False,,True,True,True,True,True,True,False,True,False,
Connecticut,4335,4369.6,4426.0,4393.6,4362.0,4356.0,4421.1,4319.2,4342.0,,,4351.3,4377.0,4444.0,4371.5,4420.8,,4316.6,4350.5,4363.0,4331.0,4409.7,4338.0,4416.3,4368.0,4366.7,,34.6,91.0,58.6,27.0,21.0,86.1,-15.8,7.0,,,16.3,42.0,109.0,36.5,85.8,,-18.4,15.5,28.0,-4.0,74.7,3.0,81.3,33.0,31.7,,False,False,True,True,False,True,True,,,True,False,False,False,False,,True,True,True,True,False,True,False,True,True,
Delaware,512,459.1,472.0,464.0,463.2,461.0,480.0,463.4,453.0,483.8,,462.2,463.0,498.1,476.7,470.1,,449.0,467.3,454.0,452.0,465.1,459.0,453.3,473.0,462.1,,-52.9,-40.0,-48.0,-48.8,-51.0,-32.0,-48.6,-59.0,-28.2,,-49.8,-49.0,-13.9,-35.3,-41.9,,-63.0,-44.7,-58.0,-60.0,-46.9,-53.0,-58.7,-39.0,-49.9,,True,True,True,True,True,True,False,True,,True,True,True,True,True,,False,True,False,False,True,False,False,True,True,
District of Columbia,557,566.4,567.0,570.9,565.3,563.0,564.0,593.0,552.0,597.6,,569.0,603.0,565.8,547.4,,,549.3,553.7,546.0,553.0,574.2,553.0,568.5,562.0,561.9,,9.4,10.0,13.9,8.3,6.0,7.0,36.0,-5.0,40.6,,12.0,46.0,8.8,-9.6,,,-7.7,-3.3,-11.0,-4.0,17.2,-4.0,11.5,5.0,4.9,,False,False,True,True,True,False,True,False,,False,False,True,False,,,True,True,False,True,False,True,False,True,True,
Florida,3702,3588.1,3765.0,3582.2,3842.7,5070.0,4075.9,,3770.0,3723.4,,3873.6,3846.0,3936.7,3933.3,3482.4,,3724.5,3860.8,3449.5,4069.0,3571.0,4106.0,2995.4,3732.0,3677.5,3694.0,-113.9,63.0,-119.8,140.7,1368.0,373.9,,68.0,21.4,,171.6,144.0,234.7,231.3,-219.6,,22.5,158.8,-252.5,367.0,-131.0,404.0,-706.6,30.0,-24.5,-8.0,True,False,False,False,False,,True,True,,False,False,False,False,False,,True,False,False,False,False,False,False,True,True,True
