,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,1007,918.9,1648.9,448.0,530.5,944.4,-88.1,641.9,-559.0,-476.5,-62.6,False,False,False,True
Alaska,16,9.0,5.0,,12.4,14.6,-7.0,-11.0,,-3.6,-1.4,False,,True,True
Arizona,1817,1132.6,941.6,633.0,685.8,1215.4,-684.4,-875.4,-1184.0,-1131.2,-601.6,False,False,False,True
Arkansas,286,297.4,160.5,224.0,140.0,233.6,11.4,-125.5,-62.0,-146.0,-52.4,False,False,False,False
California,6334,6564.9,4463.4,4418.0,3903.4,5109.3,230.9,-1870.6,-1916.0,-2430.6,-1224.7,False,False,False,False
Colorado,1701,2206.0,1321.6,1326.0,1505.6,2654.3,505.0,-379.4,-375.0,-195.4,953.3,True,True,True,False
Connecticut,4335,6970.9,4011.1,3385.0,3961.7,4633.0,2635.9,-323.9,-950.0,-373.3,298.0,True,True,True,True
Delaware,512,681.9,516.4,338.0,368.6,589.0,169.9,4.4,-174.0,-143.4,77.0,True,False,True,True
District of Columbia,557,897.6,553.4,494.0,412.0,687.0,340.6,-3.6,-63.0,-145.0,130.0,True,True,True,True
Florida,3702,4071.6,3515.9,2332.0,2187.9,3212.8,369.6,-186.1,-1370.0,-1514.1,-489.2,True,False,False,False
Georgia,2857,3557.7,4455.9,2336.0,2172.3,3131.3,700.7,1598.9,-521.0,-684.7,274.3,False,True,True,True
Hawaii,19,43.6,24.2,,24.2,38.6,24.6,5.2,,5.2,19.6,True,,True,True
Idaho,93,134.9,83.1,72.0,101.7,117.3,41.9,-9.9,-21.0,8.7,24.3,True,True,True,True
Illinois,7014,8685.1,6210.2,5132.0,4893.8,7286.6,1671.1,-803.8,-1882.0,-2120.2,272.6,True,False,False,True
Indiana,2687,3957.4,5648.8,1838.0,2139.1,3473.3,1384.4,3075.8,-735.0,-433.9,900.3,False,True,True,True
Iowa,721,768.6,1227.1,956.0,597.4,1022.9,47.6,506.1,235.0,-123.6,301.9,False,False,False,False
Kansas,283,347.7,254.9,1004.0,458.9,358.5,64.7,-28.1,721.0,175.9,75.5,True,False,False,False
Kentucky,585,651.6,513.2,333.0,537.4,558.5,66.6,-71.8,-252.0,-47.6,-26.5,False,False,True,True
Louisiana,3278,4518.6,2818.4,2606.0,2951.8,3575.9,1240.6,-459.6,-672.0,-326.2,297.9,True,True,True,True
Maine,107,119.0,83.0,61.0,89.3,146.0,12.0,-24.0,-46.0,-17.7,39.0,False,False,False,False
Maryland,3236,4567.0,2181.3,2158.0,2322.3,3310.8,1331.0,-1054.7,-1078.0,-913.7,74.8,True,True,True,True
Massachusetts,8172,13791.1,7669.7,7293.0,7206.2,9244.8,5619.1,-502.3,-879.0,-965.8,1072.8,True,True,True,True
Michigan,6218,10589.6,7004.9,5058.0,5941.4,8237.5,4576.6,991.9,-955.0,-71.6,2224.5,True,True,True,True
Minnesota,1503,1711.1,2077.9,1090.0,646.0,1565.4,208.1,574.9,-413.0,-857.0,62.4,False,False,False,True
