,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1007,1139.4,1091.0,715.0,717.9,1050.5,842.9,1545.2,132.4,84.0,-292.0,-289.1,43.5,-164.1,538.2,True,False,False,True,False,False
Alaska,16,10.0,3.0,,10.3,13.6,11.7,13.5,-6.0,-13.0,,-5.7,-2.4,-4.3,-2.5,False,,True,True,True,True
Arizona,1817,1667.4,3437.2,1266.0,1336.2,2864.2,1578.5,2613.8,-149.6,1620.2,-551.0,-480.8,1047.2,-238.5,796.8,False,False,False,False,False,False
Arkansas,286,146.0,115.2,197.0,191.9,143.3,196.5,175.7,-140.0,-170.8,-89.0,-94.1,-142.7,-89.5,-110.3,False,True,True,False,True,True
California,6334,6833.1,6205.0,4805.0,4924.1,5607.8,6712.2,6458.0,499.1,-129.0,-1529.0,-1409.9,-726.2,378.2,124.0,True,False,False,False,True,True
Colorado,1701,2888.1,2166.5,1437.5,1667.4,1635.7,1821.5,2702.4,1187.1,465.5,-263.5,-33.6,-65.3,120.5,1001.4,True,True,True,True,True,True
Connecticut,4335,6432.0,4804.0,3969.0,5259.8,4739.2,3893.2,4938.0,2097.0,469.0,-366.0,924.8,404.2,-441.8,603.0,True,True,True,True,True,True
Delaware,512,763.1,529.4,431.0,459.9,562.1,397.2,810.5,251.1,17.4,-81.0,-52.1,50.1,-114.8,298.5,True,True,True,True,True,False
District of Columbia,557,794.4,574.4,554.0,541.0,567.1,524.9,736.9,237.4,17.4,-3.0,-16.0,10.1,-32.1,179.9,True,True,True,True,True,True
Florida,3702,3701.0,4152.8,2656.0,3060.8,2851.9,2539.4,3810.9,-1.0,450.8,-1046.0,-641.2,-850.1,-1162.6,108.9,False,False,False,False,False,False
Georgia,2857,3008.9,2322.6,1888.0,2058.2,2194.4,1973.3,3136.2,151.9,-534.4,-969.0,-798.8,-662.6,-883.7,279.2,False,False,False,False,False,False
Hawaii,19,17.0,19.0,,18.2,23.0,19.3,25.6,-2.0,0.0,,-0.8,4.0,0.3,6.6,True,,True,False,True,False
Idaho,93,114.1,81.0,77.0,99.9,112.7,86.0,94.6,21.1,-12.0,-16.0,6.9,19.7,-7.0,1.6,True,True,True,True,True,True
Illinois,7014,9463.9,8471.5,7164.5,6577.1,7977.1,6060.8,10758.8,2449.9,1457.5,150.5,-436.9,963.1,-953.2,3744.8,True,True,True,True,True,False
Indiana,2687,3417.3,2351.7,2400.0,2531.8,2472.2,2797.3,4431.7,730.3,-335.3,-287.0,-155.2,-214.8,110.3,1744.7,True,True,True,True,True,False
Iowa,721,940.7,952.2,557.0,641.3,861.8,419.8,1657.0,219.7,231.2,-164.0,-79.7,140.8,-301.2,936.0,False,True,True,True,False,False
