,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,1007,931.1,1279.0,972.9,965.0,1165.0,837.6,1107.2,1122.0,,,875.7,797.0,1176.0,897.6,904.9,,,796.0,1031.0,1349.0,881.4,898.0,960.6,919.0,1039.1,-75.9,272.0,-34.1,-42.0,158.0,-169.4,100.2,115.0,,,-131.3,-210.0,169.0,-109.4,-102.1,,,-211.0,24.0,342.0,-125.6,-109.0,-46.4,-88.0,32.1,False,True,True,False,False,False,False,,,False,False,False,False,False,,,False,True,False,False,False,True,False,True
Alaska,16,10.0,21.0,11.0,13.1,10.0,13.0,56.1,11.0,18.4,,10.2,,31.2,13.2,10.3,,12.6,30.0,,27.0,10.7,19.0,10.4,9.6,10.7,-6.0,5.0,-5.0,-2.9,-6.0,-3.0,40.1,-5.0,2.4,,-5.8,,15.2,-2.8,-5.7,,-3.4,14.0,,11.0,-5.3,3.0,-5.6,-6.4,-5.3,True,True,True,False,True,False,True,True,,True,,False,True,True,,True,False,,False,True,True,True,False,True
Arizona,1817,1606.4,2012.0,1599.1,2180.9,3292.0,1170.9,2025.9,3481.0,,,2247.6,1557.0,2014.6,2155.0,1645.7,,2639.7,1440.5,1889.0,3013.0,1768.1,3093.0,2093.4,1461.5,1653.9,-210.6,195.0,-217.9,363.9,1475.0,-646.1,208.9,1664.0,,,430.6,-260.0,197.6,338.0,-171.3,,822.7,-376.5,72.0,1196.0,-48.9,1276.0,276.4,-355.5,-163.1,True,False,False,False,False,True,False,,,False,False,True,False,True,,False,False,True,False,True,False,False,False,True
Arkansas,286,235.0,472.0,238.0,285.3,585.0,234.9,548.6,238.0,303.4,,321.0,210.0,394.5,250.4,225.5,,306.1,200.0,210.0,616.0,245.6,290.0,294.5,195.3,246.3,-51.0,186.0,-48.0,-0.7,299.0,-51.1,262.6,-48.0,17.4,,35.0,-76.0,108.5,-35.6,-60.5,,20.1,-86.0,-76.0,330.0,-40.4,4.0,8.5,-90.7,-39.7,False,True,True,False,False,False,True,True,,True,False,False,True,False,,True,False,False,False,True,True,True,False,True
California,6334,6406.3,9481.0,6454.2,6711.6,9208.0,5490.1,7938.8,6789.0,6687.1,,6780.2,6198.0,8896.5,5768.2,6100.2,,5678.8,6021.0,6288.0,8132.0,6078.0,6330.0,6884.1,5783.1,6427.1,72.3,3147.0,120.2,377.6,2874.0,-843.9,1604.8,455.0,353.1,,446.2,-136.0,2562.5,-565.8,-233.8,,-655.2,-313.0,-46.0,1798.0,-256.0,-4.0,550.1,-550.9,93.1,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,True,False,False,True,False,False,False
Colorado,1701,1843.3,2267.0,1864.4,1794.4,1710.0,1631.0,1793.9,1746.0,1963.2,,1854.5,1710.0,1969.7,1735.6,1819.1,,1703.1,1661.0,1883.0,1788.0,2018.5,1704.0,1651.0,1679.6,1894.5,142.3,566.0,163.4,93.4,9.0,-70.0,92.9,45.0,262.2,,153.5,9.0,268.7,34.6,118.1,,2.1,-40.0,182.0,87.0,317.5,3.0,-50.0,-21.4,193.5,False,False,True,True,True,True,True,False,,False,True,False,True,True,,True,True,False,True,False,True,True,True,False
Connecticut,4335,4560.9,5206.0,4637.8,4423.1,4323.0,4300.9,4418.2,4347.0,,,4266.9,4394.0,4644.9,4488.9,4538.3,,4377.9,4214.0,4370.0,4213.0,4703.7,4327.0,4058.7,4285.1,4486.4,225.9,871.0,302.8,88.1,-12.0,-34.1,83.2,12.0,,,-68.1,59.0,309.9,153.9,203.3,,42.9,-121.0,35.0,-122.0,368.7,-8.0,-276.3,-49.9,151.4,False,False,True,True,True,True,True,,,True,True,False,True,True,,True,True,True,True,False,True,False,True,True
Delaware,512,521.4,688.0,506.0,469.8,451.0,418.9,467.1,459.0,484.2,,435.3,460.0,542.7,443.2,486.4,,461.1,540.0,523.0,485.0,470.5,463.0,428.1,482.6,496.5,9.4,176.0,-6.0,-42.2,-61.0,-93.1,-44.9,-53.0,-27.8,,-76.7,-52.0,30.7,-68.8,-25.6,,-50.9,28.0,11.0,-27.0,-41.5,-49.0,-83.9,-29.4,-15.5,False,True,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
District of Columbia,557,577.7,711.0,567.1,574.0,561.0,516.8,591.1,556.0,564.5,,550.2,621.0,588.0,564.0,,,555.3,450.0,582.0,544.0,675.6,543.0,548.3,541.6,565.5,20.7,154.0,10.1,17.0,4.0,-40.2,34.1,-1.0,7.5,,-6.8,64.0,31.0,7.0,,,-1.7,-107.0,25.0,-13.0,118.6,-14.0,-8.7,-15.4,8.5,False,True,True,True,False,False,True,True,,True,False,False,True,,,True,False,False,True,False,True,True,True,True
Florida,3702,3660.4,6416.0,3652.2,3904.7,5616.0,2917.6,3583.1,3746.0,,,3462.7,3548.0,4995.8,3654.6,3289.5,,3962.0,3374.0,3466.0,5056.0,3637.8,4098.0,3256.0,3411.1,3747.5,-41.6,2714.0,-49.8,202.7,1914.0,-784.4,-118.9,44.0,,,-239.3,-154.0,1293.8,-47.4,-412.5,,260.0,-328.0,-236.0,1354.0,-64.2,396.0,-446.0,-290.9,45.5,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Georgia,2857,2669.9,3706.0,2874.3,2715.9,2665.0,2432.4,2737.0,2510.0,,3057.3,3019.3,2573.0,3234.7,2695.8,2629.4,,,2692.0,2865.0,2546.0,2629.0,2643.0,2372.8,2521.5,2876.0,-187.1,849.0,17.3,-141.1,-192.0,-424.6,-120.0,-347.0,,200.3,162.3,-284.0,377.7,-161.2,-227.6,,,-165.0,8.0,-311.0,-228.0,-214.0,-484.2,-335.5,19.0,False,True,True,False,False,True,False,,False,True,False,False,True,False,,,True,True,False,False,False,False,False,True
Hawaii,19,17.0,29.0,19.0,18.7,17.0,17.6,21.2,18.0,,,17.7,,24.4,21.2,18.2,,17.0,15.0,94.0,26.0,18.0,22.0,17.6,17.9,18.6,-2.0,10.0,0.0,-0.3,-2.0,-1.4,2.2,-1.0,,,-1.3,,5.4,2.2,-0.8,,-2.0,-4.0,75.0,7.0,-1.0,3.0,-1.4,-1.1,-0.4,False,True,True,False,True,False,True,,,True,,False,False,True,,False,False,False,False,True,False,True,True,True
Idaho,93,86.9,144.0,90.0,99.6,89.0,97.2,123.6,118.0,98.0,,108.5,83.0,170.2,98.9,87.6,,88.0,85.0,83.0,110.0,89.8,94.0,81.9,89.4,90.4,-6.1,51.0,-3.0,6.6,-4.0,4.2,30.6,25.0,5.0,,15.5,-10.0,77.2,5.9,-5.4,,-5.0,-8.0,-10.0,17.0,-3.2,1.0,-11.1,-3.6,-2.6,False,True,False,True,True,False,False,True,,False,False,False,True,True,,True,False,False,False,True,True,False,True,True
