,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1007,830.1,309.1,330.0,-176.9,-697.9,-677.0,False,False
Alaska,16,9.0,,,-7.0,,,,
Arizona,1817,1172.0,767.0,590.0,-645.0,-1050.0,-1227.0,False,False
Arkansas,286,169.3,164.1,175.0,-116.7,-121.9,-111.0,False,True
California,6334,7126.7,2035.4,3441.0,792.7,-4298.6,-2893.0,False,False
Colorado,1701,3329.7,1052.3,1445.0,1628.7,-648.7,-256.0,True,True
Connecticut,4335,9780.1,3366.5,3576.0,5445.1,-968.5,-759.0,True,True
Delaware,512,642.4,156.6,466.0,130.4,-355.4,-46.0,False,True
District of Columbia,557,986.3,255.2,451.0,429.3,-301.8,-106.0,True,True
Florida,3702,4042.0,1921.0,2104.0,340.0,-1781.0,-1598.0,False,False
Georgia,2857,3173.3,2258.9,1739.0,316.3,-598.1,-1118.0,False,False
Hawaii,19,53.4,22.7,,34.4,3.7,,True,
Idaho,93,174.3,66.0,102.0,81.3,-27.0,9.0,True,True
Illinois,7014,8271.1,2292.2,4754.0,1257.1,-4721.8,-2260.0,False,False
Indiana,2687,3287.1,1017.9,1450.0,600.1,-1669.1,-1237.0,False,False
Iowa,721,541.9,329.5,479.0,-179.1,-391.5,-242.0,False,False
Kansas,283,397.0,354.3,687.0,114.0,71.3,404.0,True,False
Kentucky,585,819.1,516.6,330.0,234.1,-68.4,-255.0,True,False
Louisiana,3278,5997.1,2032.5,2964.0,2719.1,-1245.5,-314.0,True,True
Maine,107,207.7,66.5,69.0,100.7,-40.5,-38.0,True,True
Maryland,3236,5335.9,1196.5,2055.0,2099.9,-2039.5,-1181.0,True,True
Massachusetts,8172,14658.6,5633.2,6527.0,6486.6,-2538.8,-1645.0,True,True
Michigan,6218,12423.0,3818.1,5116.0,6395.0,-2209.9,-912.0,True,True
Minnesota,1503,1632.3,728.4,492.0,129.3,-774.6,-1011.0,False,False
Mississippi,1107,897.3,380.0,343.0,-209.7,-727.0,-764.0,False,False
Missouri,1050,1111.0,637.5,592.0,152.0,-321.5,-367.0,False,False
Montana,23,53.4,26.8,20.0,30.4,3.8,-3.0,True,True
Nebraska,284,332.0,381.2,617.0,48.0,97.2,333.0,False,False
Nevada,530,679.1,259.4,520.0,149.1,-270.6,-10.0,False,True
New Hampshire,379,276.9,71.6,119.0,-102.1,-307.4,-260.0,False,False
New Jersey,15189,21472.9,7051.0,12750.0,7675.9,-6746.0,-1047.0,True,True
New Mexico,513,532.7,210.0,190.0,19.7,-303.0,-323.0,False,False
New York,32157,58612.3,24087.6,31239.0,27103.3,-7421.4,-270.0,True,True
North Carolina,1422,1546.3,375.4,526.0,124.3,-1046.6,-896.0,False,False
North Dakota,80,95.9,256.8,51.0,15.9,176.8,-29.0,False,False
Ohio,2907,3261.3,835.5,1657.0,354.3,-2071.5,-1250.0,False,False
Oklahoma,398,737.1,,299.0,339.1,,-99.0,,True
Oregon,213,269.4,124.8,148.0,56.4,-88.2,-65.0,False,False
Pennsylvania,6749,7138.9,2318.2,3944.0,389.9,-4430.8,-2805.0,False,False
Rhode Island,960,975.1,594.2,860.0,15.1,-365.8,-100.0,False,False
South Carolina,813,706.3,350.7,367.0,-106.7,-462.3,-446.0,False,False
South Dakota,97,50.4,44.7,212.0,-46.6,-52.3,115.0,False,False
Tennessee,637,506.3,247.5,1176.0,-130.7,-389.5,539.0,False,False
Texas,2951,2238.0,1447.2,2617.0,-626.0,-1416.8,-247.0,False,True
Utah,181,179.0,421.6,230.0,-2.0,240.6,49.0,False,False
Vermont,56,124.9,54.2,53.0,68.9,-1.8,-3.0,True,True
Virginia,1849,2144.4,633.8,1404.0,295.4,-1215.2,-445.0,False,False
Washington,1354,1862.9,859.8,1254.0,508.9,-494.2,-100.0,True,True
West Virginia,94,191.7,38.4,279.0,97.7,-55.6,185.0,True,False
Wisconsin,796,784.6,331.1,458.0,-11.4,-464.9,-338.0,False,False
Wyoming,20,56.3,64.2,13.0,36.3,44.2,-7.0,False,True
US,130020,192250.1,72858.2,,64638.1,-54753.8,,True,
