,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1007,987.6,998.0,1000.0,1001.2,1177.0,1000.4,1062.0,970.2,,1010.8,,,960.0,1026.4,971.7,1133.3,981.5,,977.8,1011.7,973.0,,965.0,971.0,976.7,988.0,753.8,993.0,998.0,989.0,,-19.4,-9.0,-7.0,-5.8,170.0,-6.6,55.0,-36.8,,3.8,,,-47.0,19.4,-35.3,126.3,-25.5,,-29.2,4.7,-34.0,,-42.0,-36.0,-30.3,-19.0,-253.2,-14.0,-9.0,-18.0,,True,True,True,False,True,False,False,,True,,,False,False,False,False,False,,False,True,False,,False,False,False,True,False,True,True,True,
Alaska,16,15.7,15.0,16.0,14.7,14.0,14.1,15.0,15.5,,12.1,,,,15.7,14.9,11.5,14.8,,14.5,16.1,14.0,,14.0,15.0,14.2,15.0,15.8,15.2,14.0,15.2,,-0.3,-1.0,0.0,-1.3,-2.0,-1.9,-1.0,-0.5,,-3.9,,,,-0.3,-1.1,-4.5,-1.2,,-1.5,0.1,-2.0,,-2.0,-1.0,-1.8,-1.0,-0.2,-0.8,-2.0,-0.8,,False,True,False,False,False,False,False,,False,,,,True,False,False,False,,False,True,False,,False,False,False,False,True,False,False,False,
Arizona,1817,1804.0,1867.0,1814.0,1835.5,2092.0,1929.3,2055.0,1804.2,,1837.3,,,1709.0,1852.0,1853.8,1607.2,1783.4,,1787.9,1859.3,1766.0,,1720.0,1858.0,1760.5,1886.0,1138.5,1852.9,1827.5,1802.0,1717.3,-13.0,50.0,-3.0,18.5,275.0,112.3,238.0,-12.8,,20.3,,,-108.0,35.0,36.8,-209.8,-33.6,,-29.1,42.3,-51.0,,-97.0,41.0,-56.5,69.0,-678.5,35.9,10.5,-15.0,-99.7,False,True,False,False,False,False,True,,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,False,False
Arkansas,286,297.4,325.0,294.0,309.3,391.0,257.0,317.0,300.3,,313.6,,,265.0,318.3,297.3,259.8,303.5,,304.5,306.9,282.0,,297.0,297.0,280.9,307.0,233.5,297.0,311.0,299.5,,11.4,39.0,8.0,23.3,105.0,-29.0,31.0,14.3,,27.6,,,-21.0,32.3,11.3,-26.2,17.5,,18.5,20.9,-4.0,,11.0,11.0,-5.1,21.0,-52.5,11.0,25.0,13.5,,False,True,False,False,False,False,False,,False,,,False,False,True,False,False,,False,False,True,,True,True,True,False,False,True,False,False,
California,6334,6289.4,6502.0,6304.0,6366.7,6674.0,6328.6,6752.0,6326.2,,6325.8,,,6245.0,6685.1,6256.3,7211.8,6275.4,,6247.6,6340.2,6255.0,,6249.0,6277.0,6251.1,6347.0,5301.7,6531.3,6351.5,6304.2,6364.7,-44.6,168.0,-30.0,32.7,340.0,-5.4,418.0,-7.8,,-8.2,,,-89.0,351.1,-77.7,877.8,-58.6,,-86.4,6.2,-79.0,,-85.0,-57.0,-82.9,13.0,-1032.3,197.3,17.5,-29.8,30.7,False,True,True,False,True,False,True,,True,,,False,False,False,False,False,,False,True,False,,False,False,False,True,False,False,True,True,True
Colorado,1701,1700.9,1737.0,1701.0,1714.8,1716.0,1741.5,1707.0,1710.8,,1690.6,,,1729.0,1738.0,1727.2,1746.7,1720.9,,1698.1,1704.9,1704.0,,1728.0,1692.0,1707.9,1705.0,1751.4,1715.8,1706.0,1707.6,,-0.1,36.0,0.0,13.8,15.0,40.5,6.0,9.8,,-10.4,,,28.0,37.0,26.2,45.7,19.9,,-2.9,3.9,3.0,,27.0,-9.0,6.9,4.0,50.4,14.8,5.0,6.6,,False,True,False,False,False,False,False,,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Connecticut,4335,4364.0,4399.0,4371.0,4359.2,4341.0,4397.0,4345.0,4348.9,,4331.6,,,4368.0,4379.8,4363.3,4439.0,4383.5,,4355.2,4347.4,4352.0,,4348.0,4356.0,4361.8,4350.0,4470.4,4343.4,4357.0,4362.4,,29.0,64.0,36.0,24.2,6.0,62.0,10.0,13.9,,-3.4,,,33.0,44.8,28.3,104.0,48.5,,20.2,12.4,17.0,,13.0,21.0,26.8,15.0,135.4,8.4,22.0,27.4,,False,False,True,True,False,True,True,,True,,,False,False,True,False,False,,True,True,True,,True,True,True,True,False,True,True,True,
Delaware,512,568.7,533.0,580.0,525.5,522.0,487.1,517.0,,,522.3,,,537.0,539.0,524.5,489.2,536.9,,509.1,516.7,518.0,,533.0,509.0,517.8,545.0,503.6,536.7,526.0,517.4,,56.7,21.0,68.0,13.5,10.0,-24.9,5.0,,,10.3,,,25.0,27.0,12.5,-22.8,24.9,,-2.9,4.7,6.0,,21.0,-3.0,5.8,33.0,-8.4,24.7,14.0,5.4,,True,False,True,True,True,True,,,True,,,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,
District of Columbia,557,564.6,569.0,565.0,561.9,559.0,558.8,557.0,558.9,,564.2,,,578.0,565.2,558.8,542.9,,,560.2,560.7,553.0,,563.0,562.0,562.9,559.0,566.8,558.3,565.0,563.0,,7.6,12.0,8.0,4.9,2.0,1.8,0.0,1.9,,7.2,,,21.0,8.2,1.8,-14.1,,,3.2,3.7,-4.0,,6.0,5.0,5.9,2.0,9.8,1.3,8.0,6.0,,False,False,True,True,True,True,True,,True,,,False,False,True,False,,,True,True,True,,True,True,True,True,False,True,False,True,
Florida,3702,3640.1,3819.0,3636.0,3752.3,4646.0,4064.7,3847.0,,,3684.0,,,3629.0,3768.5,3808.3,4113.8,3569.1,,3601.8,3790.2,3546.0,,3581.0,3761.0,3646.0,3867.0,1486.7,3884.0,3716.5,3667.2,3628.0,-61.9,117.0,-66.0,50.3,944.0,362.7,145.0,,,-18.0,,,-73.0,66.5,106.3,411.8,-132.9,,-100.2,88.2,-156.0,,-121.0,59.0,-56.0,165.0,-2215.3,182.0,14.5,-34.8,-74.0,False,False,True,False,False,False,,,True,,,False,False,False,False,False,,False,False,False,,False,True,True,False,False,False,True,True,False
