,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2011,1423.6,1687.9,1641.2,1186.0,,1583.0,1671.6,1725.8,-587.4,-323.1,-369.8,-825.0,,-428.0,-339.4,-285.2,True,True,False,,True,True,True
Alaska,31,12.0,21.6,20.0,,,13.6,32.3,19.4,-19.0,-9.4,-11.0,,,-17.4,1.3,-11.6,True,True,,,True,True,True
Arizona,4756,2748.4,5020.1,4179.1,3241.0,,3518.6,7074.7,3384.6,-2007.6,264.1,-576.9,-1515.0,,-1237.4,2318.7,-1371.4,True,True,True,,True,False,True
Arkansas,674,632.4,607.3,797.5,931.0,,564.0,686.8,623.8,-41.6,-66.7,123.5,257.0,,-110.0,12.8,-50.2,False,False,False,,False,True,False
California,12131,9199.6,9512.6,9782.2,7643.0,,7914.2,10967.8,10317.5,-2931.4,-2618.4,-2348.8,-4488.0,,-4216.8,-1163.2,-1813.5,True,True,False,,False,True,True
Colorado,1918,2081.0,1906.2,1826.3,1762.0,,1858.6,1943.4,2193.3,163.0,-11.8,-91.7,-156.0,,-59.4,25.4,275.3,True,True,True,,True,True,False
Connecticut,4460,4782.6,4570.1,4493.7,4431.0,,4600.0,4512.7,4629.2,322.6,110.1,33.7,-29.0,,140.0,52.7,169.2,True,True,True,,True,True,True
Delaware,600,550.1,519.6,498.6,475.0,,511.0,473.2,567.4,-49.9,-80.4,-101.4,-125.0,,-89.0,-126.8,-32.6,False,False,False,,False,False,True
District of Columbia,604,692.4,606.9,642.8,645.0,,637.8,604.8,635.6,88.4,2.9,38.8,41.0,,33.8,0.8,31.6,True,True,True,,True,True,True
Florida,10274,5198.1,7533.8,8926.4,5507.0,,4816.2,8801.1,6332.7,-5075.9,-2740.2,-1347.6,-4767.0,,-5457.8,-1472.9,-3941.3,True,True,True,,False,True,True
Georgia,5092,4343.6,3694.1,5225.5,3205.0,,3654.3,3647.8,4737.2,-748.4,-1397.9,133.5,-1887.0,,-1437.7,-1444.2,-354.8,False,True,False,,False,False,True
Hawaii,47,17.0,21.2,26.1,,,18.2,23.9,19.5,-30.0,-25.8,-20.9,,,-28.8,-23.1,-27.5,True,True,,,True,True,True
Idaho,306,106.7,154.8,114.9,123.0,,96.7,130.6,117.7,-199.3,-151.2,-191.1,-183.0,,-209.3,-175.4,-188.3,True,True,True,,False,True,True
Illinois,8083,9649.6,7419.8,8191.2,8077.0,,7627.6,7215.0,8881.8,1566.6,-663.2,108.2,-6.0,,-455.4,-868.0,798.8,True,True,True,,True,True,True
Indiana,3218,3585.1,3030.2,3077.5,2675.0,,2839.8,3328.0,3695.1,367.1,-187.8,-140.5,-543.0,,-378.2,110.0,477.1,True,True,False,,False,True,False
Iowa,1033,987.1,1022.6,848.5,792.0,,881.5,886.4,993.6,-45.9,-10.4,-184.5,-241.0,,-151.5,-146.6,-39.4,True,False,False,,False,False,True
Kansas,426,363.3,326.7,376.6,330.0,,292.6,217.9,374.7,-62.7,-99.3,-49.4,-96.0,,-133.4,-208.1,-51.3,False,True,False,,False,False,True
Kentucky,872,765.1,712.5,756.1,643.0,,800.3,729.5,824.5,-106.9,-159.5,-115.9,-229.0,,-71.7,-142.5,-47.5,False,False,False,,True,False,True
Louisiana,4687,3911.0,3686.6,3935.3,4020.0,,3333.7,3279.4,3837.9,-776.0,-1000.4,-751.7,-667.0,,-1353.3,-1407.6,-849.1,False,True,True,,False,False,False
Maine,130,119.7,125.8,114.2,113.0,,109.6,137.8,126.1,-10.3,-4.2,-15.8,-17.0,,-20.4,7.8,-3.9,True,False,False,,False,True,True
Maryland,3685,4190.9,3708.2,3532.4,3702.0,,3537.2,3618.0,4028.2,505.9,23.2,-152.6,17.0,,-147.8,-67.0,343.2,True,True,True,,True,True,True
Massachusetts,8921,9920.7,8378.6,8658.7,8668.0,,8546.1,8268.3,8842.8,1000.7,-541.4,-261.3,-252.0,,-373.9,-651.7,-77.2,True,True,True,,True,True,True
Michigan,6655,6745.4,6371.2,6440.0,6976.0,,6593.7,6340.3,6498.0,90.4,-283.8,-215.0,321.0,,-61.3,-314.7,-157.0,False,False,False,,True,False,False
Minnesota,1807,2147.1,1882.0,1791.0,2437.0,,1839.5,1511.3,2361.2,340.1,75.0,-16.0,630.0,,32.5,-295.7,554.2,True,True,False,,True,True,False
Mississippi,2237,1354.3,1615.0,1201.5,1199.0,,1199.2,1231.2,1596.8,-882.7,-622.0,-1035.5,-1038.0,,-1037.8,-1005.8,-640.2,True,False,False,,False,False,True
Missouri,1451,1673.6,1315.5,2063.9,1202.0,,1678.7,1493.7,1408.2,232.6,-125.5,622.9,-239.0,,237.7,52.7,-32.8,True,False,False,,False,True,True
