,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2011,2067.0,2148.0,2044.2,2132.0,2146.0,,2135.5,2189.0,2449.6,2059.0,,2234.5,1984.0,2115.5,2295.6,2117.5,2094.1,2062.1,2237.0,,1959.6,2036.9,2390.5,,,1912.4,,2097.0,2000.0,,2138.0,2115.5,2229.7,2102.0,2434.0,2106.3,1925.0,56.0,137.0,33.2,121.0,135.0,,124.5,178.0,438.6,48.0,,223.5,-27.0,104.5,284.6,106.5,83.1,51.1,226.0,,-51.4,25.9,379.5,,,-98.6,,86.0,-11.0,,127.0,104.5,218.7,91.0,423.0,95.3,-86.0,False,True,False,False,,False,False,False,True,,False,True,False,False,False,False,True,False,,True,True,False,,,False,,False,True,,False,False,False,False,False,False,False
Alaska,31,35.4,39.0,36.0,42.0,49.0,,46.8,36.0,46.7,34.5,,21.7,,46.4,67.0,42.4,35.7,42.3,36.0,,36.5,41.6,42.0,,,28.7,,49.0,37.2,,42.0,,37.0,37.0,72.0,38.8,,4.4,8.0,5.0,11.0,18.0,,15.8,5.0,15.7,3.5,,-9.3,,15.4,36.0,11.4,4.7,11.3,5.0,,5.5,10.6,11.0,,,-2.3,,18.0,6.2,,11.0,,6.0,6.0,41.0,7.8,,False,False,False,False,,False,False,False,True,,False,,False,False,False,False,False,False,,False,False,False,,,True,,False,False,,False,,False,False,False,False,
Arizona,4756,5079.3,5268.0,5129.9,5040.0,5040.0,,4342.5,5046.0,6791.9,,,5889.8,5398.0,4912.5,4741.3,5270.1,4639.3,4613.8,5733.9,,6575.0,4783.1,6345.0,,,4628.6,,4820.0,4750.3,,4788.0,5603.9,4867.9,4971.0,6475.0,5042.5,4536.0,323.3,512.0,373.9,284.0,284.0,,-413.5,290.0,2035.9,,,1133.8,642.0,156.5,-14.7,514.1,-116.7,-142.2,977.9,,1819.0,27.1,1589.0,,,-127.4,,64.0,-5.7,,32.0,847.9,111.9,215.0,1719.0,286.5,-220.0,False,False,True,True,,False,True,False,,,False,False,True,True,False,True,True,False,,False,True,False,,,True,,True,True,,True,False,True,True,False,True,True
Arkansas,674,644.0,659.0,634.9,622.0,697.0,,648.0,653.0,699.9,635.7,,583.4,585.0,661.0,810.0,582.8,572.0,568.0,633.1,,586.0,646.7,611.0,,,555.1,,540.0,622.1,,597.0,639.3,615.4,627.0,684.0,619.5,581.0,-30.0,-15.0,-39.1,-52.0,23.0,,-26.0,-21.0,25.9,-38.3,,-90.6,-89.0,-13.0,136.0,-91.2,-102.0,-106.0,-40.9,,-88.0,-27.3,-63.0,,,-118.9,,-134.0,-51.9,,-77.0,-34.7,-58.6,-47.0,10.0,-54.5,-93.0,True,False,False,True,,True,True,True,False,,False,False,True,False,False,False,False,False,,False,True,False,,,False,,False,False,,False,False,False,False,True,False,False
California,12131,12104.6,11716.0,12156.1,11927.0,12334.0,,11782.1,12180.0,11751.6,11789.0,,11109.8,12144.0,12309.7,13038.1,12500.6,10883.5,12038.4,12404.9,,9859.1,12031.1,12709.0,,,11000.0,,11927.0,12181.7,10678.0,11585.0,11646.0,12605.3,12229.0,13268.0,11908.2,11214.0,-26.4,-415.0,25.1,-204.0,203.0,,-348.9,49.0,-379.4,-342.0,,-1021.2,13.0,178.7,907.1,369.6,-1247.5,-92.6,273.9,,-2271.9,-99.9,578.0,,,-1131.0,,-204.0,50.7,-1453.0,-546.0,-485.0,474.3,98.0,1137.0,-222.8,-917.0,False,True,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False
Colorado,1918,1986.9,2048.0,1995.2,1985.0,1986.0,,1995.7,1984.0,1932.4,2024.3,,1949.4,1984.0,2013.0,2112.1,1818.2,1913.5,2060.5,1892.4,,1877.6,2003.1,1960.0,,,1954.2,,1919.0,1981.4,,1961.0,,2247.1,1974.0,2049.0,2021.0,1961.0,68.9,130.0,77.2,67.0,68.0,,77.7,66.0,14.4,106.3,,31.4,66.0,95.0,194.1,-99.8,-4.5,142.5,-25.6,,-40.4,85.1,42.0,,,36.2,,1.0,63.4,,43.0,,329.1,56.0,131.0,103.0,43.0,False,False,True,True,,False,True,True,False,,True,True,False,False,False,True,False,True,,True,False,True,,,True,,True,True,,True,,False,True,False,False,True
Connecticut,4460,4486.3,4629.0,4530.1,4495.0,4531.0,,4458.5,4446.0,4460.6,4544.2,,4561.2,4495.0,4511.4,4518.9,4473.3,4511.9,4457.7,4501.2,,4445.5,4511.3,4444.0,,,4501.1,,4476.0,4490.4,,4471.0,4584.7,4646.0,4524.0,4475.0,4487.4,,26.3,169.0,70.1,35.0,71.0,,-1.5,-14.0,0.6,84.2,,101.2,35.0,51.4,58.9,13.3,51.9,-2.3,41.2,,-14.5,51.3,-16.0,,,41.1,,16.0,30.4,,11.0,124.7,186.0,64.0,15.0,27.4,,False,False,False,False,,True,True,True,False,,False,False,False,False,True,False,True,False,,True,False,True,,,False,,True,False,,True,False,False,False,True,False,
Delaware,600,602.1,671.0,608.7,611.0,620.0,,611.0,614.0,616.0,675.3,,610.2,611.0,607.3,638.7,595.3,605.0,629.8,687.3,,537.8,605.8,736.0,,,632.1,,629.0,602.2,,603.0,,657.0,606.0,608.0,607.0,,2.1,71.0,8.7,11.0,20.0,,11.0,14.0,16.0,75.3,,10.2,11.0,7.3,38.7,-4.7,5.0,29.8,87.3,,-62.2,5.8,136.0,,,32.1,,29.0,2.2,,3.0,,57.0,6.0,8.0,7.0,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,
District of Columbia,604,592.6,634.0,596.7,598.0,602.0,,604.1,601.0,593.4,,,609.4,592.0,619.7,604.8,601.1,590.4,584.5,,,597.5,589.0,592.0,,,,,601.0,597.5,,592.0,,637.0,585.0,598.0,600.6,,-9.4,32.0,-5.3,-4.0,0.0,,2.1,-1.0,-8.6,,,7.4,-10.0,17.7,2.8,-0.9,-11.6,-17.5,,,-4.5,-13.0,-10.0,,,,,-1.0,-4.5,,-10.0,,35.0,-17.0,-4.0,-1.4,,False,True,True,True,,True,True,True,,,True,False,False,True,True,False,False,,,True,False,False,,,,,True,True,,False,,False,False,True,True,
Florida,10274,10598.3,9976.0,10756.8,10219.0,10366.0,,9756.7,9442.0,12244.7,9681.4,,10022.0,10383.0,10583.6,10071.9,11304.0,9505.8,8199.6,12632.5,,9285.9,10425.4,13659.5,,,8821.2,,9805.0,10659.7,,9874.0,10118.0,10072.5,10423.0,14355.5,10537.9,9688.0,324.3,-298.0,482.8,-55.0,92.0,,-517.3,-832.0,1970.7,-592.6,,-252.0,109.0,309.6,-202.1,1030.0,-768.2,-2074.4,2358.5,,-988.1,151.4,3385.5,,,-1452.8,,-469.0,385.7,,-400.0,-156.0,-201.5,149.0,4081.5,263.9,-586.0,True,False,True,True,,False,False,False,False,,True,True,True,True,False,False,False,False,,False,True,False,,,False,,False,False,,False,True,True,True,False,True,False
