,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,2011,1361.0,1113.6,686.0,1093.1,1030.4,-650.0,-897.4,-1325.0,-917.9,-980.6,False,False,False,False
Alaska,31,10.0,11.3,,11.4,11.8,-21.0,-19.7,,-19.6,-19.2,True,,True,True
Arizona,4756,2356.7,1979.6,1542.0,2061.0,1791.6,-2399.3,-2776.4,-3214.0,-2695.0,-2964.4,False,False,False,False
Arkansas,674,347.4,290.9,1002.0,332.4,288.3,-326.6,-383.1,328.0,-341.6,-385.7,False,False,False,False
California,12131,10362.6,6603.0,6772.0,6886.0,7939.8,-1769.4,-5529.0,-5360.0,-5246.0,-4192.2,False,False,False,False
Colorado,1918,2836.3,1819.9,1991.0,2498.4,1884.2,918.3,-98.1,73.0,580.4,-33.8,True,True,True,True
Connecticut,4460,7357.3,4755.5,4199.0,5065.6,4041.9,2897.3,295.5,-261.0,605.6,-418.1,True,True,True,True
Delaware,600,788.9,488.4,435.0,486.7,408.9,188.9,-111.6,-165.0,-113.3,-191.1,True,True,True,False
District of Columbia,604,1062.0,582.0,681.0,946.3,570.4,458.0,-22.0,77.0,342.3,-33.6,True,True,True,True
Florida,10274,5631.3,3115.5,2994.0,4248.2,2819.6,-4642.7,-7158.5,-7280.0,-6025.8,-7454.4,False,False,False,False
Georgia,5092,4617.0,2624.2,2459.0,2455.2,2150.4,-475.0,-2467.8,-2633.0,-2636.8,-2941.6,False,False,False,False
Hawaii,47,17.0,18.1,,19.3,19.0,-30.0,-28.9,,-27.7,-28.0,True,,True,True
Idaho,306,156.1,119.2,90.0,99.0,91.9,-149.9,-186.8,-216.0,-207.0,-214.1,False,False,False,False
Illinois,8083,13586.0,7901.4,7872.0,9168.7,7053.3,5503.0,-181.6,-211.0,1085.7,-1029.7,True,True,True,True
Indiana,3218,4868.9,2681.0,2809.0,2702.3,2767.1,1650.9,-537.0,-409.0,-515.7,-450.9,True,True,True,True
Iowa,1033,1806.0,707.7,770.0,872.9,543.1,773.0,-325.3,-263.0,-160.1,-489.9,True,True,True,True
Kansas,426,333.6,340.4,408.0,354.6,224.0,-92.4,-85.6,-18.0,-71.4,-202.0,True,True,True,False
Kentucky,872,1123.9,547.8,480.0,702.8,824.1,251.9,-324.2,-392.0,-169.2,-47.9,False,False,True,True
Louisiana,4687,5262.4,3334.4,4332.0,3249.0,2912.5,575.4,-1352.6,-355.0,-1438.0,-1774.5,False,True,False,False
Maine,130,180.9,154.7,298.0,101.4,170.4,50.9,24.7,168.0,-28.6,40.4,True,False,True,True
Maryland,3685,5941.3,4131.4,3523.0,4102.0,3938.3,2256.3,446.4,-162.0,417.0,253.3,True,True,True,True
Massachusetts,8921,13764.9,8242.0,8486.0,9319.1,7010.8,4843.9,-679.0,-435.0,398.1,-1910.2,True,True,True,True
Michigan,6655,9560.9,6123.8,6218.0,6378.2,5886.8,3143.9,-293.2,-199.0,-38.8,-530.2,True,True,True,True
Minnesota,1807,2768.0,1954.4,8694.0,1855.3,1322.6,961.0,147.4,6887.0,48.3,-484.4,True,False,True,True
Mississippi,2237,1962.1,1340.3,1090.0,1053.4,957.9,-274.9,-896.7,-1147.0,-1183.6,-1279.1,False,False,False,False
Missouri,1451,1791.7,866.3,1059.0,1577.7,931.3,422.7,-502.7,-310.0,208.7,-437.7,False,True,True,False
Montana,90,16.0,17.0,18.0,21.4,17.5,-74.0,-73.0,-72.0,-68.6,-72.5,True,True,True,True
Nebraska,376,455.6,414.0,430.0,374.3,166.1,79.6,38.0,54.0,-1.7,-209.9,True,True,True,False
Nevada,1197,765.7,486.3,587.0,565.3,562.2,-431.3,-710.7,-610.0,-631.7,-634.8,False,False,False,False
New Hampshire,429,684.7,263.0,325.0,506.2,379.1,255.7,-166.0,-104.0,77.2,-49.9,True,True,True,True
New Jersey,15943,21102.3,12772.0,13164.0,14161.2,11643.5,6948.3,-1382.0,-990.0,7.2,-2510.5,True,True,True,True
New Mexico,743,985.6,467.2,554.0,655.7,551.4,242.6,-275.8,-189.0,-87.3,-191.6,False,True,True,True
New York,32839,40828.1,32386.8,32446.0,32122.9,29349.1,8973.1,531.8,591.0,267.9,-2505.9,True,True,True,True
North Carolina,2521,2044.0,1811.5,1741.0,1866.2,2048.3,-477.0,-709.5,-780.0,-654.8,-472.7,False,False,False,True
North Dakota,135,181.6,133.4,1176.0,105.8,124.3,46.6,-1.6,1041.0,-29.2,-10.7,True,False,True,True
Ohio,3975,6391.9,3214.9,2568.0,3255.3,3622.3,2416.9,-760.1,-1407.0,-719.7,-352.7,True,True,True,True
Oklahoma,725,606.7,415.9,1232.0,391.7,549.0,-118.3,-309.1,507.0,-333.3,-176.0,False,False,False,False
Oregon,417,289.4,183.1,160.0,222.7,274.5,-127.6,-233.9,-257.0,-194.3,-142.5,False,False,False,False
