,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2011,1365.1,1316.0,1139.3,852.0,1011.1,1267.1,1924.1,-645.9,-695.0,-871.7,-1159.0,-999.9,-743.9,-86.9,False,False,False,False,False,True
Alaska,31,10.0,15.0,11.0,,11.0,11.4,11.4,-21.0,-16.0,-20.0,,-20.0,-19.6,-19.6,True,True,,True,True,True
Arizona,4756,2614.4,1651.3,5485.5,1827.0,2818.2,3589.9,3160.5,-2141.6,-3104.7,729.5,-2929.0,-1937.8,-1166.1,-1595.5,False,True,False,True,True,True
Arkansas,674,382.0,429.4,1478.8,362.0,415.7,582.6,509.7,-292.0,-244.6,804.8,-312.0,-258.3,-91.4,-164.3,True,False,False,True,True,True
California,12131,9626.3,8231.7,9600.9,6662.0,7231.6,9529.7,11840.6,-2504.7,-3899.3,-2530.1,-5469.0,-4899.4,-2601.3,-290.4,False,False,False,False,False,True
Colorado,1918,2417.3,1803.2,2147.5,1722.0,2441.0,1722.2,2676.4,499.3,-114.8,229.5,-196.0,523.0,-195.8,758.4,True,True,True,False,True,False
Connecticut,4460,5449.9,4503.5,4320.9,4427.0,4997.5,4086.0,5047.1,989.9,43.5,-139.1,-33.0,537.5,-374.0,587.1,True,True,True,True,True,True
Delaware,600,745.4,458.6,479.4,466.0,509.0,437.3,692.0,145.4,-141.4,-120.6,-134.0,-91.0,-162.7,92.0,True,True,True,True,False,True
District of Columbia,604,738.7,567.3,604.1,650.0,830.8,564.7,689.5,134.7,-36.7,0.1,46.0,226.8,-39.3,85.5,True,True,True,False,True,True
Florida,10274,5403.4,3572.3,4883.8,4206.0,4694.2,3889.5,6656.4,-4870.6,-6701.7,-5390.2,-6068.0,-5579.8,-6384.5,-3617.6,False,False,False,False,False,True
