,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2011,1566.7,1333.4,760.0,1168.6,-444.3,-677.6,-1251.0,-842.4,False,False,False
Alaska,31,10.0,11.7,,11.6,-21.0,-19.3,,-19.4,True,,True
Arizona,4756,2163.9,1415.8,1641.0,2073.6,-2592.1,-3340.2,-3115.0,-2682.4,False,False,False
Arkansas,674,334.6,349.5,756.0,282.7,-339.4,-324.5,82.0,-391.3,True,True,False
California,12131,9140.1,7558.9,7556.0,8842.0,-2990.9,-4572.1,-4575.0,-3289.0,False,False,False
Colorado,1918,2784.9,1751.9,1937.0,2473.9,866.9,-166.1,19.0,555.9,True,True,True
Connecticut,4460,6920.1,4619.0,4355.0,5068.7,2460.1,159.0,-105.0,608.7,True,True,True
Delaware,600,840.3,462.5,460.0,513.1,240.3,-137.5,-140.0,-86.9,True,True,True
District of Columbia,604,869.1,571.0,718.0,867.1,265.1,-33.0,114.0,263.1,True,True,True
Florida,10274,4988.4,3319.1,3316.0,5162.7,-5285.6,-6954.9,-6958.0,-5111.3,False,False,True
Georgia,5092,4732.7,2792.0,2632.0,2863.5,-359.3,-2300.0,-2460.0,-2228.5,False,False,False
Hawaii,47,17.0,17.8,,18.9,-30.0,-29.2,,-28.1,True,,True
Idaho,306,117.6,127.2,86.0,94.6,-188.4,-178.8,-220.0,-211.4,True,False,False
Illinois,8083,11721.7,7335.9,7958.0,8878.9,3638.7,-747.1,-125.0,795.9,True,True,True
Indiana,3218,4007.4,2613.5,2861.0,2748.0,789.4,-604.5,-357.0,-470.0,True,True,True
Iowa,1033,1471.7,820.4,811.0,875.7,438.7,-212.6,-222.0,-157.3,True,True,True
Kansas,426,333.6,303.0,337.0,306.0,-92.4,-123.0,-89.0,-120.0,False,True,False
Kentucky,872,905.3,549.9,509.0,852.5,33.3,-322.1,-363.0,-19.5,False,False,True
Louisiana,4687,3976.7,3301.8,3316.0,3286.2,-710.3,-1385.2,-1371.0,-1400.8,False,False,False
Maine,130,219.4,144.8,480.0,103.5,89.4,14.8,350.0,-26.5,True,False,True
Maryland,3685,5555.6,3942.8,3786.0,4520.7,1870.6,257.8,101.0,835.7,True,True,True
Massachusetts,8921,12466.3,8016.2,8728.0,8946.3,3545.3,-904.8,-193.0,25.3,True,True,True
Michigan,6655,8609.4,6050.7,6139.0,6410.2,2194.4,-364.3,-276.0,-4.8,True,True,True
Minnesota,1807,3089.4,1897.0,8515.0,1893.9,1282.4,90.0,6708.0,86.9,True,False,True
Mississippi,2237,2026.4,1060.2,999.0,1162.7,-210.6,-1176.8,-1238.0,-1074.3,False,False,False
Missouri,1451,1843.1,892.2,1080.0,1606.2,430.1,-520.8,-333.0,193.2,False,True,True
Montana,90,28.9,18.3,17.0,21.0,-61.1,-71.7,-73.0,-69.0,False,False,False
Nebraska,376,442.7,415.2,395.0,345.2,66.7,39.2,19.0,-30.8,True,True,True
Nevada,1197,855.7,520.4,630.0,625.1,-341.3,-676.6,-567.0,-571.9,False,False,False
New Hampshire,429,671.9,298.0,285.0,498.3,242.9,-131.0,-144.0,69.3,True,True,True
New Jersey,15943,18338.0,12673.1,13403.0,14130.2,4215.0,-1449.9,-720.0,7.2,True,True,True
New Mexico,743,818.4,472.6,472.0,640.2,75.4,-270.4,-271.0,-102.8,False,False,False
New York,32839,37408.1,32066.6,32987.0,31311.8,5484.1,142.6,1063.0,-612.2,True,True,True
North Carolina,2521,2751.1,2066.8,1580.0,1963.1,230.1,-454.2,-941.0,-557.9,False,False,False
North Dakota,135,155.9,115.9,429.0,91.2,20.9,-19.1,294.0,-43.8,True,False,False
Ohio,3975,4360.4,2896.8,2853.0,3331.4,385.4,-1078.2,-1122.0,-643.6,False,False,False
Oklahoma,725,606.7,408.4,438.0,392.8,-118.3,-316.6,-287.0,-332.2,False,False,False
Oregon,417,212.3,173.0,176.0,214.5,-204.7,-244.0,-241.0,-202.5,False,False,True
Pennsylvania,7555,10523.1,6434.7,5943.0,8084.5,2968.1,-1120.3,-1612.0,529.5,True,True,True
Rhode Island,1038,2022.3,824.2,982.0,994.9,1091.3,-106.8,51.0,63.9,True,True,True
South Carolina,2493,1193.6,746.5,654.0,907.8,-1299.4,-1746.5,-1839.0,-1585.2,False,False,False
South Dakota,160,204.3,134.0,172.0,93.2,44.3,-26.0,12.0,-66.8,True,True,False
Tennessee,1563,696.0,652.2,711.0,485.7,-867.0,-910.8,-852.0,-1077.3,False,True,False
Texas,11919,3418.0,3131.0,3243.0,3004.4,-8310.0,-8597.0,-8485.0,-8723.6,False,False,False
Utah,385,302.7,395.9,192.0,273.6,-82.3,10.9,-193.0,-111.4,True,False,False
