,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2011,1571.4,1674.5,2455.3,1045.0,,1448.0,1728.4,1851.6,-439.6,-336.5,444.3,-966.0,,-563.0,-282.6,-159.4,True,False,False,,False,True,True
Alaska,31,31.7,21.2,24.7,,,13.8,32.6,13.8,0.7,-9.8,-6.3,,,-17.2,1.6,-17.2,False,False,,,False,False,False
Arizona,4756,2571.0,5140.2,4895.6,2865.0,,2464.1,5325.6,3179.8,-2185.0,384.2,139.6,-1891.0,,-2291.9,569.6,-1576.2,True,True,True,,False,True,True
Arkansas,674,425.4,541.8,797.4,867.0,,500.3,581.6,535.1,-248.6,-132.2,123.4,193.0,,-173.7,-92.4,-138.9,True,True,True,,True,True,True
California,12131,9702.3,9390.6,9891.6,7273.0,,7539.2,10450.0,11896.5,-2428.7,-2740.4,-2239.4,-4858.0,,-4591.8,-1681.0,-234.5,False,True,False,,False,True,True
Colorado,1918,2297.9,1979.7,3628.5,1751.0,,1882.7,1870.5,2503.6,379.9,61.7,1710.5,-167.0,,-35.3,-47.5,585.6,True,False,True,,True,True,False
Connecticut,4460,5482.4,4713.5,4408.1,4506.0,,4648.3,4368.9,5043.3,1022.4,253.5,-51.9,46.0,,188.3,-91.1,583.3,True,True,True,,True,True,True
Delaware,600,658.6,524.3,535.7,483.0,,515.6,482.2,659.9,58.6,-75.7,-64.3,-117.0,,-84.4,-117.8,59.9,False,False,False,,False,False,False
District of Columbia,604,771.3,658.3,635.4,654.0,,627.0,593.3,699.8,167.3,54.3,31.4,50.0,,23.0,-10.7,95.8,True,True,True,,True,True,True
Florida,10274,5208.0,5882.2,8400.9,5884.0,,4740.0,5907.3,6507.6,-5066.0,-4391.8,-1873.1,-4390.0,,-5534.0,-4366.7,-3766.4,True,True,True,,False,True,True
Georgia,5092,5122.3,3315.9,6021.5,2943.0,,4210.1,3238.3,4844.1,30.3,-1776.1,929.5,-2149.0,,-881.9,-1853.7,-247.9,False,False,False,,False,False,False
Hawaii,47,17.0,19.2,22.1,,,18.2,23.1,19.9,-30.0,-27.8,-24.9,,,-28.8,-23.9,-27.1,True,True,,,True,True,True
Idaho,306,126.4,139.9,100.2,88.0,,97.1,111.5,103.3,-179.6,-166.1,-205.8,-218.0,,-208.9,-194.5,-202.7,True,False,False,,False,False,False
Illinois,8083,10290.3,7530.7,7717.4,8115.0,,7621.1,7086.5,10170.7,2207.3,-552.3,-365.6,32.0,,-461.9,-996.5,2087.7,True,True,True,,True,True,True
Indiana,3218,3595.0,3126.1,3057.5,2511.0,,2825.7,3187.3,3703.1,377.0,-91.9,-160.5,-707.0,,-392.3,-30.7,485.1,True,True,False,,False,True,False
Iowa,1033,1115.3,1176.4,1092.7,809.0,,890.4,885.8,1051.2,82.3,143.4,59.7,-224.0,,-142.6,-147.2,18.2,False,True,False,,False,False,True
Kansas,426,363.3,309.7,369.7,337.0,,291.5,202.7,360.1,-62.7,-116.3,-56.3,-89.0,,-134.5,-223.3,-65.9,False,True,False,,False,False,False
Kentucky,872,784.9,711.1,745.1,596.0,,775.2,732.5,1003.2,-87.1,-160.9,-126.9,-276.0,,-96.8,-139.5,131.2,False,False,False,,False,False,False
Louisiana,4687,3782.9,3716.8,3942.5,3895.0,,3344.5,3248.8,3983.2,-904.1,-970.2,-744.5,-792.0,,-1342.5,-1438.2,-703.8,False,True,True,,False,False,True
Maine,130,109.9,125.6,155.0,130.0,,110.1,169.5,139.5,-20.1,-4.4,25.0,0.0,,-19.9,39.5,9.5,True,False,True,,True,False,True
Maryland,3685,4811.9,3917.4,4350.7,3890.0,,3550.2,3752.5,4673.2,1126.9,232.4,665.7,205.0,,-134.8,67.5,988.2,True,True,True,,True,True,True
Massachusetts,8921,10660.0,8464.6,8387.3,8923.0,,8498.8,8299.1,9325.6,1739.0,-456.4,-533.7,2.0,,-422.2,-621.9,404.6,True,True,True,,True,True,True
Michigan,6655,6893.3,6465.3,7534.0,7594.0,,6688.6,6293.4,6797.2,238.3,-189.7,879.0,939.0,,33.6,-361.6,142.2,True,False,False,,True,False,True
Minnesota,1807,2630.1,2060.4,2431.3,2563.0,,1856.5,1459.9,2726.4,823.1,253.4,624.3,756.0,,49.5,-347.1,919.4,True,True,True,,True,True,False
Mississippi,2237,1620.4,1877.3,1289.5,1136.0,,1209.7,1428.0,1841.4,-616.6,-359.7,-947.5,-1101.0,,-1027.3,-809.0,-395.6,True,False,False,,False,False,True
Missouri,1451,1230.0,1317.5,1404.7,1130.0,,1763.9,1291.5,1959.7,-217.0,-129.5,-42.3,-317.0,,316.9,-155.5,512.7,True,True,False,,False,True,False
Montana,90,28.9,20.7,25.0,19.0,,22.4,18.4,23.2,-61.1,-69.3,-65.0,-71.0,,-67.6,-71.6,-66.8,False,False,False,,False,False,False
Nebraska,376,491.0,377.1,425.9,286.0,,333.7,246.6,492.2,115.0,1.1,49.9,-90.0,,-42.3,-129.4,116.2,True,True,True,,True,False,False
Nevada,1197,709.4,691.5,699.3,610.0,,625.0,781.0,821.4,-487.6,-505.5,-497.7,-587.0,,-572.0,-416.0,-375.6,False,False,False,,False,True,True
New Hampshire,429,655.1,524.6,625.6,344.0,,516.0,461.8,766.0,226.1,95.6,196.6,-85.0,,87.0,32.8,337.0,True,True,True,,True,True,False
New Jersey,15943,17420.0,13399.1,13936.2,13976.0,,14060.6,13029.1,14677.6,3333.0,-687.9,-150.8,-111.0,,-26.4,-1057.9,590.6,True,True,True,,True,True,True
New Mexico,743,819.4,819.9,805.8,540.0,,593.6,564.5,887.7,76.4,76.9,62.8,-203.0,,-149.4,-178.5,144.7,False,True,False,,False,False,False
New York,32839,35270.6,31700.6,32984.6,32832.0,,31610.4,32571.8,32561.6,3201.6,-368.4,915.6,763.0,,-458.6,502.8,492.6,True,True,True,,True,True,True
North Carolina,2521,2117.7,2832.8,2076.9,2350.0,,2378.2,3125.5,2838.3,-403.3,311.8,-444.1,-171.0,,-142.8,604.5,317.3,True,False,True,,True,False,True
North Dakota,135,93.7,95.6,118.0,190.0,,99.2,93.1,135.2,-41.3,-39.4,-17.0,55.0,,-35.8,-41.9,0.2,True,True,False,,True,False,True
Ohio,3975,4333.3,3583.0,3374.6,3175.0,,3347.5,3246.3,4502.3,358.3,-392.0,-600.4,-800.0,,-627.5,-728.7,527.3,False,False,False,,False,False,False
