,mean_rank
COVIDhub-ensemble,8.8
CMU-TimeSeries,9.7
YYG-ParamSearch,11.2
UA-EpiCovDA,11.6
Covid19Sim-Simulator,12.0
COVIDhub-baseline,12.0
OliverWyman-Navigator,12.0
UMass-MechBayes,12.1
LNQ-ens1,12.4
CovidAnalytics-DELPHI,12.5
JCB-PRM,13.0
USC-SI_kJalpha,13.0
Karlen-pypm,13.3
GT-DeepCOVID,13.8
UCLA-SuEIR,13.9
MOBS-GLEAM_COVID,14.1
IowaStateLW-STEM,15.6
LANL-GrowthRate,16.0
MITCovAlliance-SIR,16.0
IHME-CurveFit,16.1
RobertWalraven-ESG,16.9
UT-Mobility,16.9
DDS-NBDS,17.4
NotreDame-mobility,17.7
USACE-ERDC_SEIR,18.4
CU-select,19.2
PSI-DRAFT,19.5
JHU_IDD-CovidSP,20.8
