,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2011,1547.6,1608.3,1582.3,1345.0,,1423.5,1674.2,1119.4,1922.8,-463.4,-402.7,-428.7,-666.0,,-587.5,-336.8,-891.6,-88.2,True,True,False,,False,True,False,True
Alaska,31,29.7,25.2,15.2,,,15.0,30.5,20.7,25.9,-1.3,-5.8,-15.8,,,-16.0,-0.5,-10.3,-5.1,False,False,,,False,True,False,False
Arizona,4756,3519.0,5720.0,3556.4,2344.0,,3315.7,5370.1,3864.2,3947.3,-1237.0,964.0,-1199.6,-2412.0,,-1440.3,614.1,-891.8,-808.7,True,True,False,,False,True,True,True
Arkansas,674,570.4,704.7,608.3,469.0,,424.4,755.1,347.2,671.6,-103.6,30.7,-65.7,-205.0,,-249.6,81.1,-326.8,-2.4,True,True,False,,False,True,False,True
California,12131,9208.4,10286.8,8843.3,6964.0,,8752.0,11352.8,7277.0,10823.8,-2922.6,-1844.2,-3287.7,-5167.0,,-3379.0,-778.2,-4854.0,-1307.2,True,False,False,,False,True,False,True
Colorado,1918,1903.9,1891.6,1932.8,1823.0,,1834.3,1941.0,2095.8,2084.3,-14.1,-26.4,14.8,-95.0,,-83.7,23.0,177.8,166.3,False,False,False,,False,False,False,False
Connecticut,4460,4756.0,4501.3,4534.4,4419.0,,4520.5,4571.0,4448.8,4673.2,296.0,41.3,74.4,-41.0,,60.5,111.0,-11.2,213.2,True,True,True,,True,True,True,True
Delaware,600,1072.7,531.8,565.7,605.0,,559.0,545.2,708.0,635.8,472.7,-68.2,-34.3,5.0,,-41.0,-54.8,108.0,35.8,True,True,True,,True,True,True,True
District of Columbia,604,683.6,588.2,617.0,656.0,,618.1,601.2,574.5,658.2,79.6,-15.8,13.0,52.0,,14.1,-2.8,-29.5,54.2,True,True,True,,True,True,True,True
Florida,10274,5446.1,14065.4,7729.8,5088.0,,5914.2,17475.6,26598.5,6529.3,-4827.9,3791.4,-2544.2,-5186.0,,-4359.8,7201.6,16324.5,-3744.7,True,True,False,,True,False,False,True
Georgia,5092,3838.7,4319.4,4425.5,3913.0,,3858.7,3828.3,4354.8,4685.8,-1253.3,-772.6,-666.5,-1179.0,,-1233.3,-1263.7,-737.2,-406.2,True,True,True,,True,False,True,True
Hawaii,47,25.9,36.0,26.6,,,18.9,23.0,29.1,20.5,-21.1,-11.0,-20.4,,,-28.1,-24.0,-17.9,-26.5,True,True,,,False,False,True,False
Idaho,306,106.7,243.9,109.3,113.0,,101.2,488.2,390.8,122.4,-199.3,-62.1,-196.7,-193.0,,-204.8,182.2,84.8,-183.6,True,True,True,,False,True,True,True
Illinois,8083,8781.6,7370.9,8222.7,8526.0,,7593.7,7247.1,7359.6,8883.3,698.6,-712.1,139.7,443.0,,-489.3,-835.9,-723.4,800.3,False,True,True,,True,False,False,False
Indiana,3218,3239.7,2958.0,2851.3,2819.0,,2836.2,3300.5,3063.0,3411.2,21.7,-260.0,-366.7,-399.0,,-381.8,82.5,-155.0,193.2,False,False,False,,False,False,False,False
Iowa,1033,863.1,1003.4,809.8,839.0,,863.4,915.4,887.7,936.9,-169.9,-29.6,-223.2,-194.0,,-169.6,-117.6,-145.3,-96.1,True,False,False,,True,True,True,True
Kansas,426,363.3,380.5,371.2,291.0,,297.3,281.7,471.4,383.9,-62.7,-45.5,-54.8,-135.0,,-128.7,-144.3,45.4,-42.1,True,True,False,,False,False,True,True
Kentucky,872,809.4,716.1,709.2,772.0,,785.5,806.8,793.6,859.9,-62.6,-155.9,-162.8,-100.0,,-86.5,-65.2,-78.4,-12.1,False,False,False,,False,False,False,True
Louisiana,4687,3937.6,3834.6,4021.4,3478.0,,3361.1,3321.3,5028.0,3902.1,-749.4,-852.4,-665.6,-1209.0,,-1325.9,-1365.7,341.0,-784.9,False,True,False,,False,False,True,False
Maine,130,119.7,121.3,116.2,117.0,,109.1,133.9,163.0,127.1,-10.3,-8.7,-13.8,-13.0,,-20.9,3.9,33.0,-2.9,True,False,False,,False,True,False,True
Maryland,3685,3969.4,3500.7,3441.3,3477.0,,3474.2,3561.8,3495.0,4038.4,284.4,-184.3,-243.7,-208.0,,-210.8,-123.2,-190.0,353.4,True,True,True,,True,True,True,False
Massachusetts,8921,9646.1,8306.9,9220.2,8310.0,,8465.1,8610.6,9063.2,9100.7,726.1,-613.1,300.2,-610.0,,-454.9,-309.4,143.2,180.7,True,True,True,,True,True,True,True
Michigan,6655,6683.4,6379.7,6400.5,6649.0,,6467.7,6473.7,6692.5,6769.5,28.4,-275.3,-254.5,-6.0,,-187.3,-181.3,37.5,114.5,False,False,True,,False,False,False,False
Minnesota,1807,1837.1,1836.1,1763.8,1513.0,,1761.5,1522.2,1857.2,2047.3,30.1,29.1,-43.2,-294.0,,-45.5,-284.8,50.2,240.3,True,False,False,,False,False,False,False
Mississippi,2237,1832.6,1736.3,1692.6,1623.0,,1252.1,1473.8,2008.4,1931.3,-404.4,-500.7,-544.4,-614.0,,-984.9,-763.2,-228.6,-305.7,False,False,False,,False,False,True,True
Missouri,1451,1310.4,1452.9,1484.7,1345.0,,1553.0,1638.8,1543.2,1429.4,-130.6,11.9,43.7,-96.0,,112.0,197.8,102.2,-11.6,True,True,True,,True,False,True,True
Montana,90,37.7,51.2,33.9,32.0,,25.5,52.2,51.2,34.2,-52.3,-38.8,-56.1,-58.0,,-64.5,-37.8,-38.8,-55.8,True,False,False,,False,True,True,False
Nebraska,376,447.7,344.2,420.4,342.0,,338.3,284.7,360.7,504.0,71.7,-31.8,44.4,-34.0,,-37.7,-91.3,-15.3,128.0,True,True,True,,True,False,True,False
Nevada,1197,602.1,1361.3,759.6,556.0,,665.7,1037.8,1723.0,790.3,-594.9,164.3,-437.4,-641.0,,-531.3,-159.2,526.0,-406.7,True,True,False,,True,True,True,True
New Hampshire,429,587.0,458.5,596.2,379.0,,493.3,453.9,442.5,541.2,158.0,29.5,167.2,-50.0,,64.3,24.9,13.5,112.2,True,False,True,,True,True,True,True
New Jersey,15943,30972.1,13481.2,15859.6,16293.0,,15301.8,13660.6,16327.4,15990.6,15029.1,-2461.8,-83.4,350.0,,-641.2,-2282.4,384.4,47.6,True,True,True,,True,True,True,True
New Mexico,743,672.7,707.0,712.1,728.0,,606.7,637.4,620.2,733.9,-70.3,-36.0,-30.9,-15.0,,-136.3,-105.6,-122.8,-9.1,True,True,True,,False,False,False,True
New York,32839,33534.1,31804.3,32869.5,32028.0,,31792.6,32696.2,31938.8,32678.4,1376.1,-353.7,711.5,-130.0,,-365.4,538.2,-219.2,520.4,True,True,True,,True,True,True,True
North Carolina,2521,2365.6,2529.3,1951.2,2209.0,,2007.9,2240.3,2171.1,2578.3,-155.4,8.3,-569.8,-312.0,,-513.1,-280.7,-349.9,57.3,True,False,False,,False,False,False,True
North Dakota,135,94.7,97.4,87.6,106.0,,94.5,90.9,102.8,106.7,-40.3,-37.6,-47.4,-29.0,,-40.5,-44.1,-32.2,-28.3,True,False,True,,False,False,True,True
Ohio,3975,3647.7,3540.9,3755.5,3319.0,,3649.9,4002.1,4693.7,3978.5,-327.3,-434.1,-219.5,-656.0,,-325.1,27.1,718.7,3.5,False,True,False,,True,True,False,True
Oklahoma,725,510.7,840.5,465.5,466.0,,474.1,793.9,759.0,563.0,-214.3,115.5,-259.5,-259.0,,-250.9,68.9,34.0,-162.0,True,False,False,,False,True,True,True
Oregon,417,296.3,439.5,351.2,400.0,,278.5,437.6,447.2,341.3,-120.7,22.5,-65.8,-17.0,,-138.5,20.6,30.2,-75.7,True,True,True,,False,True,True,True
Pennsylvania,7555,8043.9,7505.4,7687.3,7510.0,,7322.1,7391.1,7116.1,8232.1,488.9,-49.6,132.3,-45.0,,-232.9,-163.9,-438.9,677.1,True,True,True,,True,True,True,False
Rhode Island,1038,1186.3,1048.9,1213.3,1188.0,,1086.4,846.9,977.7,1231.8,148.3,10.9,175.3,150.0,,48.4,-191.1,-60.3,193.8,True,False,False,,True,False,True,False
South Carolina,2493,1211.0,2197.7,1155.8,908.0,,890.6,2053.8,1622.7,1473.3,-1282.0,-295.3,-1337.2,-1585.0,,-1602.4,-439.2,-870.3,-1019.7,True,False,False,,False,True,True,True
South Dakota,160,169.6,132.8,173.6,116.0,,105.7,112.4,117.4,165.2,9.6,-27.2,13.6,-44.0,,-54.3,-47.6,-42.6,5.2,False,False,False,,False,False,False,True
Tennessee,1563,1039.7,1265.1,1227.1,1473.0,,778.4,924.8,1152.6,1240.6,-523.3,-297.9,-335.9,-90.0,,-784.6,-638.2,-410.4,-322.4,True,True,True,,False,False,True,True
Texas,11578,4059.9,7308.3,6049.6,3606.0,4917.0,4134.4,6976.8,9013.7,5092.1,-7292.1,-4043.7,-5302.4,-7746.0,-6435.0,-7217.6,-4375.2,-2338.3,-6259.9,True,True,False,True,True,True,True,True
Utah,385,237.7,621.2,303.5,235.0,,228.6,364.2,300.5,348.9,-147.3,236.2,-81.5,-150.0,,-156.4,-20.8,-84.5,-36.1,False,True,False,,False,True,True,True
Vermont,58,56.0,62.3,64.6,56.0,,61.6,51.2,58.0,63.5,-2.0,4.3,6.6,-2.0,,3.6,-6.8,0.0,5.5,False,False,False,,False,False,True,False
Virginia,2443,2682.7,2049.1,2114.2,2193.0,,1895.2,1933.8,1872.0,2307.3,239.7,-393.9,-328.8,-250.0,,-547.8,-509.2,-571.0,-135.7,False,False,False,,False,False,False,True
Washington,1857,1624.3,1688.7,1693.1,1378.0,,1403.6,1739.3,1832.4,1795.5,-232.7,-168.3,-163.9,-479.0,,-453.4,-117.7,-24.6,-61.5,True,True,False,,False,True,True,True
West Virginia,177,124.4,120.0,123.7,98.0,,121.5,145.0,184.6,120.8,-52.6,-57.0,-53.3,-79.0,,-55.5,-32.0,7.6,-56.2,False,False,False,,False,True,True,False
Wisconsin,1081,1036.3,1040.4,1103.1,982.0,,879.4,966.6,1291.2,1231.1,-44.7,-40.6,22.1,-99.0,,-201.6,-114.4,210.2,150.1,True,True,False,,False,False,False,False
Wyoming,37,20.0,51.7,22.3,21.0,,21.5,39.4,26.6,29.9,-17.0,14.7,-14.7,-16.0,,-15.5,2.4,-10.4,-7.1,True,True,True,,True,True,True,True
US,176326,171563.0,165121.1,156444.8,135972.0,138097.0,147588.2,167876.8,182891.4,162996.0,-3845.0,-10286.9,-18963.2,-39436.0,-37311.0,-27819.8,-7531.2,7483.4,-12412.0,False,False,False,False,False,False,False,False
