,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2011,1610.4,1406.0,,1753.1,2530.0,1900.6,1472.0,1482.5,1874.1,,1586.4,2013.6,2385.2,1940.9,-400.6,-605.0,,-257.9,519.0,-110.4,-539.0,-528.5,-136.9,,-424.6,2.6,374.2,-70.1,False,,True,False,True,False,False,True,,False,True,True,True
Alaska,31,29.7,26.0,,33.1,24.0,13.6,,33.3,14.5,,18.8,65.0,216.5,31.1,-1.3,-5.0,,2.1,-7.0,-17.4,,2.3,-16.5,,-12.2,34.0,185.5,0.1,False,,False,False,False,,False,False,,False,False,False,True
Arizona,4756,3409.0,3419.0,,5569.2,7115.0,3695.5,5174.0,3241.8,2015.5,,3310.1,4142.5,3741.5,4216.6,-1347.0,-1337.0,,813.2,2359.0,-1060.5,418.0,-1514.2,-2740.5,,-1445.9,-613.5,-1014.5,-539.4,True,,True,False,True,True,False,False,,False,True,True,True
Arkansas,674,444.7,424.0,,680.1,726.0,501.3,1048.0,475.5,381.0,,432.2,586.5,540.0,625.4,-229.3,-250.0,,6.1,52.0,-172.7,374.0,-198.5,-293.0,,-241.8,-87.5,-134.0,-48.6,False,,True,True,True,False,True,False,,False,True,True,True
California,12131,9397.0,8115.0,,11406.5,13887.0,10597.9,9874.0,11174.9,14403.5,,9211.8,12094.8,10910.9,10332.2,-2734.0,-4016.0,,-724.5,1756.0,-1533.1,-2257.0,-956.1,2272.5,,-2919.2,-36.2,-1220.1,-1798.8,False,,True,True,True,True,True,True,,False,True,True,True
Colorado,1918,1872.4,1882.0,,1919.3,1890.0,1821.9,1818.0,1870.2,1843.3,,1899.4,1943.6,2136.3,2043.5,-45.6,-36.0,,1.3,-28.0,-96.1,-100.0,-47.8,-74.7,,-18.6,25.6,218.3,125.5,True,,True,True,False,False,False,False,,True,True,False,False
Connecticut,4460,4465.3,4569.0,,4453.4,4409.0,4534.5,4851.0,4435.4,4597.3,,4504.8,4425.4,4498.6,4506.5,5.3,109.0,,-6.6,-51.0,74.5,391.0,-24.6,137.3,,44.8,-34.6,38.6,46.5,False,,False,False,False,False,False,False,,False,False,False,False
Delaware,600,546.3,666.0,,615.2,602.0,569.5,597.0,607.0,551.4,,609.3,554.7,1045.4,597.0,-53.7,66.0,,15.2,2.0,-30.5,-3.0,7.0,-48.6,,9.3,-45.3,445.4,-3.0,False,,True,True,True,True,True,True,,True,True,False,True
District of Columbia,604,620.7,614.0,,585.6,582.0,624.6,651.0,602.6,555.3,,618.3,593.6,603.8,623.4,16.7,10.0,,-18.4,-22.0,20.6,47.0,-1.4,-48.7,,14.3,-10.4,-0.2,19.4,True,,False,False,False,False,True,False,,True,True,True,False
Florida,10274,5870.4,5425.0,,14429.1,12987.0,8344.9,5276.0,6347.0,6576.3,,6114.7,11838.8,14287.4,7041.9,-4403.6,-4849.0,,4155.1,2713.0,-1929.1,-4998.0,-3927.0,-3697.7,,-4159.3,1564.8,4013.4,-3232.1,False,,True,True,True,False,True,True,,True,True,True,True
Georgia,5092,3422.3,3398.0,,4838.6,5300.0,3458.4,3896.0,3471.1,3585.2,,3944.9,5467.1,9363.7,4556.7,-1669.7,-1694.0,,-253.4,208.0,-1633.6,-1196.0,-1620.9,-1506.8,,-1147.1,375.1,4271.7,-535.3,False,,True,True,True,True,True,True,,True,True,False,True
Hawaii,47,25.9,24.0,,31.8,21.0,18.1,,25.1,18.5,,19.9,20.1,49.9,21.4,-21.1,-23.0,,-15.2,-26.0,-28.9,,-21.9,-28.5,,-27.1,-26.9,2.9,-25.6,False,,True,False,False,,False,False,,False,False,True,False
Idaho,306,106.7,138.0,,343.2,210.0,109.7,254.0,168.2,158.3,,115.5,434.3,238.6,128.4,-199.3,-168.0,,37.2,-96.0,-196.3,-52.0,-137.8,-147.7,,-190.5,128.3,-67.4,-177.6,True,,True,True,True,True,True,True,,True,True,True,True
