,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,2011,1264.1,335.0,-746.9,-1676.0,False
Alaska,31,9.0,,-22.0,,
Arizona,4756,1809.0,591.0,-2947.0,-4165.0,False
Arkansas,674,253.3,189.0,-420.7,-485.0,False
California,12131,10962.7,3454.0,-1168.3,-8677.0,False
Colorado,1918,5205.7,1587.0,3287.7,-331.0,True
Connecticut,4460,15359.1,3815.0,10899.1,-645.0,True
Delaware,600,1013.4,483.0,413.4,-117.0,True
District of Columbia,604,1560.3,452.0,956.3,-152.0,True
Florida,10274,6149.0,2195.0,-4125.0,-8079.0,False
Georgia,5092,4776.3,2187.0,-315.7,-2905.0,False
Hawaii,47,81.4,,34.4,,
Idaho,306,258.3,102.0,-47.7,-204.0,False
Illinois,8083,12772.1,4912.0,4689.1,-3171.0,True
Indiana,3218,5044.1,1458.0,1826.1,-1760.0,True
Iowa,1033,842.9,572.0,-190.1,-461.0,False
Kansas,426,593.0,1050.0,167.0,624.0,False
Kentucky,872,1253.1,331.0,381.1,-541.0,False
Louisiana,4687,9028.1,2981.0,4341.1,-1706.0,True
Maine,130,319.7,71.0,189.7,-59.0,True
Maryland,3685,8478.9,2370.0,4793.9,-1315.0,True
Massachusetts,8921,23009.6,6633.0,14088.6,-2288.0,True
Michigan,6655,18891.0,5165.0,12426.0,-1300.0,True
Minnesota,1807,2598.3,536.0,791.3,-1271.0,False
Mississippi,2237,1373.3,410.0,-863.7,-1827.0,False
Missouri,1451,1699.0,758.0,339.0,-602.0,False
Montana,90,81.4,20.0,-8.6,-70.0,False
Nebraska,376,528.0,934.0,152.0,558.0,False
Nevada,1197,1015.1,521.0,-181.9,-676.0,False
New Hampshire,429,430.9,119.0,1.9,-310.0,False
New Jersey,15943,32504.9,13423.0,17953.9,-1128.0,True
New Mexico,743,840.7,193.0,97.7,-550.0,False
New York,32871,84421.3,31950.0,52198.3,-273.0,True
North Carolina,2521,2414.3,543.0,-106.7,-1978.0,False
North Dakota,135,151.9,53.0,16.9,-82.0,False
Ohio,3975,5060.3,1919.0,1085.3,-2056.0,False
Oklahoma,725,1122.1,299.0,397.1,-426.0,False
Oregon,417,395.4,148.0,-21.6,-269.0,False
Pennsylvania,7555,10918.9,3976.0,3363.9,-3579.0,False
Rhode Island,1030,1507.1,985.0,477.1,-45.0,True
South Carolina,2493,1084.3,367.0,-1408.7,-2126.0,False
South Dakota,160,78.4,249.0,-81.6,89.0,False
Tennessee,1563,737.3,1278.0,-825.7,-285.0,True
Texas,11581,3365.0,3926.0,-8129.0,-7568.0,True
Utah,385,277.0,234.0,-108.0,-151.0,False
Vermont,58,180.9,53.0,122.9,-5.0,True
Virginia,2443,3348.4,1604.0,905.4,-839.0,True
Washington,1857,2653.9,1254.0,796.9,-603.0,True
West Virginia,177,303.7,295.0,126.7,118.0,True
Wisconsin,1081,1148.6,459.0,67.6,-622.0,False
Wyoming,37,91.3,13.0,54.3,-24.0,True
US,176353,289802.1,,115857.1,,
