,mean_rank
COVIDhub-ensemble,10.2
OliverWyman-Navigator,10.2
YYG-ParamSearch,10.8
CMU-TimeSeries,12.0
LNQ-ens1,12.2
UA-EpiCovDA,12.2
UMass-MechBayes,12.4
USC-SI_kJalpha,12.8
DDS-NBDS,12.9
COVIDhub-baseline,13.1
JCB-PRM,13.4
CEID-Walk,13.5
Geneva-DetGrowth,14.2
Karlen-pypm,14.4
UCLA-SuEIR,14.4
NotreDame-mobility,14.6
LANL-GrowthRate,15.2
MOBS-GLEAM_COVID,15.4
GT-DeepCOVID,15.9
CovidAnalytics-DELPHI,16.0
UT-Mobility,16.6
CU-select,18.0
RobertWalraven-ESG,19.2
IowaStateLW-STEM,19.3
USACE-ERDC_SEIR,19.4
Google_Harvard-CPF,20.0
PSI-DRAFT,20.6
JHU_IDD-CovidSP,21.1
MITCovAlliance-SIR,25.3
Auquan-SEIR,25.4
epiforecasts-ensemble1,25.6
TTU-squider,31.8
