,mean_rank
CMU-TimeSeries,10.2
LNQ-ens1,10.3
COVIDhub-ensemble,10.8
UMass-MechBayes,10.9
UCLA-SuEIR,12.7
OliverWyman-Navigator,12.9
Karlen-pypm,13.0
YYG-ParamSearch,13.1
Covid19Sim-Simulator,13.2
UA-EpiCovDA,13.2
USC-SI_kJalpha,13.5
COVIDhub-baseline,13.6
CovidAnalytics-DELPHI,13.6
GT-DeepCOVID,14.5
IHME-CurveFit,15.2
JCB-PRM,15.2
DDS-NBDS,15.4
LANL-GrowthRate,15.6
CU-select,15.8
MOBS-GLEAM_COVID,16.0
IowaStateLW-STEM,16.2
Auquan-SEIR,16.2
MITCovAlliance-SIR,16.6
RobertWalraven-ESG,17.1
UT-Mobility,19.0
USACE-ERDC_SEIR,19.0
PSI-DRAFT,20.3
NotreDame-mobility,20.8
JHU_IDD-CovidSP,21.1
