,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,2011,1415.9,2308.4,457.0,-595.1,297.4,-1554.0,True,False
Alaska,31,9.0,5.0,,-22.0,-26.0,,False,
Arizona,4756,1741.6,1042.9,646.0,-3014.4,-3713.1,-4110.0,False,False
Arkansas,674,472.4,171.3,289.0,-201.6,-502.7,-385.0,False,False
California,12131,10001.9,4666.4,4504.0,-2129.1,-7464.6,-7627.0,False,False
Colorado,1918,3284.0,1335.5,1329.0,1366.0,-582.5,-589.0,True,True
Connecticut,4460,10554.9,4046.8,3464.0,6094.9,-413.2,-996.0,True,True
Delaware,600,1080.9,542.2,339.0,480.9,-57.8,-261.0,True,True
District of Columbia,604,1408.6,555.6,499.0,804.6,-48.4,-105.0,True,True
Florida,10274,6199.6,3971.4,2454.0,-4074.4,-6302.6,-7820.0,False,False
Georgia,5092,5433.7,4913.4,2502.0,341.7,-178.6,-2590.0,True,False
Hawaii,47,64.6,24.2,,17.6,-22.8,,False,
Idaho,306,190.9,83.1,72.0,-115.1,-222.9,-234.0,False,False
Illinois,8083,13480.1,6353.0,5284.0,5397.1,-1730.0,-2799.0,True,True
Indiana,3218,6190.4,6247.6,1867.0,3086.4,3143.6,-1237.0,False,True
Iowa,1033,1230.6,1512.9,1796.0,197.6,479.9,763.0,False,False
Kansas,426,508.7,264.3,1762.0,82.7,-161.7,1336.0,False,False
Kentucky,872,966.6,537.0,379.0,94.6,-335.0,-493.0,False,False
Louisiana,4687,6499.6,2821.9,2747.0,1812.6,-1865.1,-1940.0,False,False
Maine,130,168.0,84.6,61.0,38.0,-45.4,-69.0,False,False
Maryland,3685,7164.0,2189.6,2164.0,3479.0,-1495.4,-1521.0,True,True
Massachusetts,8921,21526.1,7696.7,8047.0,12605.1,-1224.3,-874.0,True,True
Michigan,6655,15755.6,7080.4,5097.0,9305.6,630.4,-1353.0,True,True
Minnesota,1807,2733.1,2183.1,2491.0,926.1,376.1,684.0,True,True
Mississippi,2237,1508.1,483.4,382.0,-728.9,-1753.6,-1855.0,False,False
Missouri,1451,1935.0,1243.3,1006.0,587.0,-104.7,-342.0,True,True
Montana,90,47.7,13.2,16.0,-42.3,-76.8,-74.0,False,False
Nebraska,376,426.9,379.7,2368.0,50.9,3.7,1992.0,True,False
Nevada,1197,1082.6,480.2,519.0,-114.4,-716.8,-678.0,False,False
New Hampshire,429,498.3,168.2,182.0,69.3,-260.8,-247.0,False,False
New Jersey,15943,38522.9,16043.9,11859.0,24164.9,1685.9,-2499.0,True,True
New Mexico,743,975.6,430.1,456.0,232.6,-312.9,-287.0,False,False
New York,32871,63383.6,32131.5,25859.0,31299.6,47.5,-6225.0,True,True
North Carolina,2521,2178.3,1168.7,807.0,-342.7,-1352.3,-1714.0,False,False
North Dakota,135,151.9,37.7,473.0,16.9,-97.3,338.0,False,False
Ohio,3975,5970.6,2551.7,1632.0,1995.6,-1423.3,-2343.0,True,False
Oklahoma,725,919.9,494.4,675.0,194.9,-230.6,-50.0,False,True
Oregon,417,378.6,193.0,153.0,-38.4,-224.0,-264.0,False,False
Pennsylvania,7555,17054.9,8606.6,4594.0,9499.9,1051.6,-2961.0,True,True
Rhode Island,1030,1810.6,485.4,985.0,780.6,-544.6,-45.0,True,True
South Carolina,2493,1876.6,1112.1,291.0,-616.4,-1380.9,-2202.0,False,False
South Dakota,160,179.6,279.3,1634.0,19.6,119.3,1474.0,False,False
Tennessee,1563,669.9,562.6,1116.0,-893.1,-1000.4,-447.0,False,True
Texas,11578,4477.6,3631.9,6940.0,-7030.4,-7876.1,-4568.0,False,True
Utah,385,192.7,85.8,190.0,-192.3,-299.2,-195.0,False,False
Vermont,58,164.0,53.6,59.0,106.0,-4.4,1.0,True,True
Virginia,2443,4005.9,1198.2,1305.0,1562.9,-1244.8,-1138.0,True,True
Washington,1857,2181.9,1159.3,1287.0,324.9,-697.7,-570.0,False,False
West Virginia,177,270.0,120.7,78.0,93.0,-56.3,-99.0,True,False
Wisconsin,1081,1401.4,717.1,1192.0,320.4,-363.9,111.0,False,True
Wyoming,37,7.0,6.0,7.0,-30.0,-31.0,-30.0,False,False
US,176350,270669.3,134475.2,114315.0,97183.3,-39010.8,-59171.0,True,True
