,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2011,1804.4,751.0,1345.8,-206.6,-1260.0,-665.2,False,False
Alaska,31,10.0,,14.8,-21.0,,-16.2,,True
Arizona,4756,2675.4,1341.5,5578.7,-2080.6,-3414.5,822.7,False,True
Arkansas,674,195.0,397.0,152.6,-479.0,-277.0,-521.4,True,False
California,12131,10501.1,4956.0,6339.2,-1629.9,-7175.0,-5791.8,False,False
Colorado,1918,4596.1,1439.0,1710.0,2678.1,-479.0,-208.0,True,True
Connecticut,4460,9519.0,3971.0,4958.3,5059.0,-489.0,498.3,True,True
Delaware,600,1246.1,432.0,642.9,646.1,-168.0,42.9,True,True
District of Columbia,604,1214.4,556.0,608.2,610.4,-48.0,4.2,True,True
Florida,10274,5465.0,2703.0,3076.5,-4809.0,-7571.0,-7197.5,False,False
Georgia,5092,4436.9,1901.0,2280.9,-655.1,-3191.0,-2811.1,False,False
Hawaii,47,17.0,,24.8,-30.0,,-22.2,,True
Idaho,306,156.1,78.0,127.8,-149.9,-228.0,-178.2,False,False
Illinois,8083,14860.9,7486.0,9115.4,6777.9,-597.0,1032.4,True,True
Indiana,3218,5118.3,2448.0,2592.8,1900.3,-770.0,-625.2,True,True
Iowa,1033,1542.7,619.0,1024.4,509.7,-414.0,-8.6,True,True
Kansas,426,486.0,286.0,299.1,60.0,-140.0,-126.9,False,False
Kentucky,872,749.7,495.0,449.5,-122.3,-377.0,-422.5,False,False
Louisiana,4687,5331.7,3443.0,3138.7,644.7,-1244.0,-1548.3,False,False
Maine,130,153.1,1674.0,134.1,23.1,1544.0,4.1,False,True
Maryland,3685,6814.3,3069.0,3871.9,3129.3,-616.0,186.9,True,True
Massachusetts,8921,17132.1,8399.0,10576.9,8211.1,-522.0,1655.9,True,True
Michigan,6655,9547.0,5923.0,6252.1,3125.0,-499.0,-169.9,True,True
Minnesota,1807,2851.1,4531.5,1991.6,1044.1,2724.5,184.6,False,True
Mississippi,2237,1782.0,1127.0,1077.4,-455.0,-1110.0,-1159.6,False,False
Missouri,1451,1944.1,1088.0,1069.5,591.1,-265.0,-283.5,True,True
Montana,90,16.0,16.0,22.2,-74.0,-74.0,-67.8,False,True
Nebraska,376,580.3,382.0,496.3,204.3,6.0,120.3,True,True
Nevada,1197,904.3,516.0,573.8,-292.7,-681.0,-623.2,False,False
New Hampshire,429,712.4,378.0,603.7,283.4,-51.0,174.7,True,True
New Jersey,15943,25702.9,13138.0,13801.7,11514.9,-1050.0,-386.3,True,True
New Mexico,743,1165.7,329.0,1151.2,422.7,-414.0,408.2,True,True
New York,32839,50278.7,32770.5,32245.5,18178.7,670.5,145.5,True,True
North Carolina,2521,2376.6,778.0,1573.6,-144.4,-1743.0,-947.4,False,False
North Dakota,135,153.9,89.0,87.3,18.9,-46.0,-47.7,False,False
Ohio,3975,5560.4,2144.0,3040.8,1585.4,-1831.0,-934.2,False,True
Oklahoma,725,509.7,299.0,446.6,-215.3,-426.0,-278.4,False,False
Oregon,417,275.6,160.0,254.2,-141.4,-257.0,-162.8,False,False
Pennsylvania,7555,14042.6,6370.0,7807.2,6487.6,-1185.0,252.2,True,True
Rhode Island,1038,1566.0,1484.5,927.7,577.0,495.5,-61.3,True,True
South Carolina,2493,1133.3,437.0,716.0,-1359.7,-2056.0,-1777.0,False,False
South Dakota,160,182.6,328.0,79.5,22.6,168.0,-80.5,False,False
Tennessee,1563,1060.1,949.5,655.2,-502.9,-613.5,-907.8,False,False
Texas,11578,4793.4,2689.0,3029.8,-6716.6,-8821.0,-8480.2,False,False
Utah,385,260.1,88.0,146.8,-124.9,-297.0,-238.2,False,False
Vermont,58,67.9,53.0,78.0,9.9,-5.0,20.0,True,False
Virginia,2443,3379.6,1457.0,1918.6,936.6,-986.0,-524.4,False,True
Washington,1857,1971.0,1257.0,1328.0,114.0,-600.0,-529.0,False,False
West Virginia,177,247.1,64.0,121.6,70.1,-113.0,-55.4,False,True
Wisconsin,1081,1187.4,1550.5,754.5,106.4,469.5,-326.5,False,False
Wyoming,37,21.9,7.0,14.4,-15.1,-30.0,-22.6,False,False
US,176326,228632.3,127091.0,138323.8,55248.3,-46293.0,-35060.2,True,True
