,total_deaths_2020-08-16,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
DDS-NBDS,170099,176313.4,176380,6261.4,6281,-19.6,-0.3%
QJHong-Encounter,170099,176374.9,176380,6322.9,6281,41.9,0.7%
NotreDame-mobility,170099,176167.6,176380,6115.6,6281,-165.4,-2.6%
UCLA-SuEIR,170099,176505.5,176380,6453.5,6281,172.5,2.7%
Baseline,170099,176149.7,176380,6097.7,6281,-183.3,-2.9%
COVIDhub-baseline,170099,176539.0,176380,6487.0,6281,206.0,3.3%
USC-SI_kJalpha,170099,176127.0,176380,6075.0,6281,-206.0,-3.3%
GT-DeepCOVID,170099,176546.0,176380,6494.0,6281,213.0,3.4%
OliverWyman-Navigator,170099,176084.5,176380,6032.5,6281,-248.5,-4.0%
YYG-ParamSearch,170099,176080.4,176380,6028.4,6281,-252.6,-4.0%
LNQ-ens1,170099,176594.9,176380,6542.9,6281,261.9,4.2%
RPI_UW-Mob_Collision,170099,176632.3,176380,6580.3,6281,299.3,4.8%
JCB-PRM,170099,176661.6,176380,6609.6,6281,328.6,5.2%
Columbia_UNC-SurvCon,170099,176723.0,176380,6671.0,6281,390.0,6.2%
CEID-Walk,170099,176729.1,176380,6677.1,6281,396.1,6.3%
STH-3PU,170099,176779.0,176380,6727.0,6281,446.0,7.1%
COVIDhub-ensemble,170099,175832.0,176380,5780.0,6281,-501.0,-8.0%
UMass-MechBayes,170099,175787.0,176380,5735.0,6281,-546.0,-8.7%
CU-select,170099,175679.0,176380,5627.0,6281,-654.0,-10.4%
UA-EpiCovDA,170099,175670.0,176380,5618.0,6281,-663.0,-10.6%
JHU_IDD-CovidSP,170099,175492.4,176380,5440.4,6281,-840.6,-13.4%
IowaStateLW-STEM,170099,175320.0,176380,5268.0,6281,-1013.0,-16.1%
MOBS-GLEAM_COVID,170099,175146.6,176380,5094.6,6281,-1186.4,-18.9%
Geneva-DetGrowth,170099,177541.6,176380,7489.6,6281,1208.6,19.2%
Karlen-pypm,170099,177558.6,176380,7506.6,6281,1225.6,19.5%
CovidAnalytics-DELPHI,170099,175101.0,176380,5049.0,6281,-1232.0,-19.6%
USACE-ERDC_SEIR,170099,177825.1,176380,7773.1,6281,1492.1,23.8%
LANL-GrowthRate,170099,174814.0,176380,4762.0,6281,-1519.0,-24.2%
UT-Mobility,170099,178011.5,176380,7959.5,6281,1678.5,26.7%
Auquan-SEIR,170099,178026.0,176380,7974.0,6281,1693.0,27.0%
UMich-RidgeTfReg,170099,174441.8,176380,4389.8,6281,-1891.2,-30.1%
UCM_MESALab-FoGSEIR,170099,172552.0,176380,2500.0,6281,-3781.0,-60.2%
PSI-DRAFT,170099,171829.5,176380,1777.5,6281,-4503.5,-71.7%
RobertWalraven-ESG,170099,171410.9,176380,1358.9,6281,-4922.1,-78.4%
epiforecasts-ensemble1,170099,169729.0,176380,-323.0,6281,-6604.0,-105.1%
Covid19Sim-Simulator,170099,166706.6,176380,-3345.4,6281,-9626.4,-153.3%
MITCovAlliance-SIR,170099,165417.4,176380,-4634.6,6281,-10915.6,-173.8%
TTU-squider,170099,287827.3,176380,117775.3,6281,111494.3,1775.1%
CMU-TimeSeries,170099,,176380,,6281,,
GT_CHHS-COVID19,170099,,176380,,6281,,
Google_Harvard-CPF,170099,,176380,,6281,,
NotreDame-FRED,170099,,176380,,6281,,
