,mean_rank
COVIDhub-ensemble,8.7
YYG-ParamSearch,9.5
CEID-Walk,10.0
COVIDhub-baseline,10.1
OliverWyman-Navigator,10.5
UMass-MechBayes,10.9
USC-SI_kJalpha,11.0
UCLA-SuEIR,11.7
LNQ-ens1,11.8
CMU-TimeSeries,12.1
UA-EpiCovDA,12.7
GT-DeepCOVID,13.1
MOBS-GLEAM_COVID,13.5
JCB-PRM,13.6
CovidAnalytics-DELPHI,13.9
LANL-GrowthRate,14.4
Karlen-pypm,14.7
UMich-RidgeTfReg,14.7
CU-select,14.8
DDS-NBDS,16.8
PSI-DRAFT,16.9
IHME-CurveFit,17.1
NotreDame-mobility,17.8
RobertWalraven-ESG,18.5
USACE-ERDC_SEIR,18.7
Auquan-SEIR,20.1
JHU_IDD-CovidSP,20.3
