,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2011,2029.9,2123.0,2063.5,2111.0,2059.0,2061.0,2094.0,,2013.0,2348.6,2022.1,,1991.2,2147.1,2211.6,2267.5,1980.6,1999.9,2056.4,,2175.7,2074.9,1953.0,,2130.2,2019.3,,2019.0,2038.3,,2038.0,2095.5,2129.4,2033.0,2045.4,1939.0,18.9,112.0,52.5,100.0,48.0,50.0,83.0,,2.0,337.6,11.1,,-19.8,136.1,200.6,256.5,-30.4,-11.1,45.4,,164.7,63.9,-58.0,,119.2,8.3,,8.0,27.3,,27.0,84.5,118.4,22.0,34.4,-72.0,False,False,False,False,False,False,,True,False,True,,False,False,False,False,False,True,False,,False,False,False,,False,True,,True,False,,False,False,False,False,False,False
Alaska,31,29.7,39.0,30.0,32.0,30.0,31.0,26.0,,35.0,36.0,30.8,,32.0,36.4,53.9,34.3,29.4,27.4,32.3,,40.9,30.4,36.0,,,30.0,,33.0,29.3,,31.0,29.2,34.8,27.0,31.7,,-1.3,8.0,-1.0,1.0,-1.0,0.0,-5.0,,4.0,5.0,-0.2,,1.0,5.4,22.9,3.3,-1.6,-3.6,1.3,,9.9,-0.6,5.0,,,-1.0,,2.0,-1.7,,0.0,-1.8,3.8,-4.0,0.7,,False,True,True,True,True,False,,False,False,True,,True,False,False,False,False,False,False,,False,True,False,,,True,,False,False,,True,False,False,False,True,
Arizona,4756,4865.0,5027.0,4908.9,4983.0,4916.9,4899.0,4647.0,,4899.0,5950.8,,,4947.9,4872.9,4690.3,5012.7,4550.5,4612.7,4752.1,,5049.2,4645.5,4697.0,,5323.7,4977.1,,4615.0,4774.4,,4634.0,5338.6,4847.3,4664.0,4869.2,4378.0,109.0,271.0,152.9,227.0,160.9,143.0,-109.0,,143.0,1194.8,,,191.9,116.9,-65.7,256.7,-205.5,-143.3,-3.9,,293.2,-110.5,-59.0,,567.7,221.1,,-141.0,18.4,,-122.0,582.6,91.3,-92.0,113.2,-378.0,False,False,False,False,False,False,,False,False,,,False,False,True,False,False,False,True,,False,False,True,,False,False,,False,True,,False,False,True,True,False,False
Arkansas,674,692.6,718.0,689.1,664.0,689.0,667.0,691.0,,639.0,730.2,667.6,,652.8,672.1,776.4,658.5,646.5,673.7,674.5,,675.8,725.4,652.0,,,596.6,,819.0,678.6,,655.0,667.6,647.2,683.0,665.6,619.0,18.6,44.0,15.1,-10.0,15.0,-7.0,17.0,,-35.0,56.2,-6.4,,-21.2,-1.9,102.4,-15.5,-27.5,-0.3,0.5,,1.8,51.4,-22.0,,,-77.4,,145.0,4.6,,-19.0,-6.4,-26.8,9.0,-8.4,-55.0,False,True,True,True,True,True,,False,False,True,,False,True,False,True,False,True,True,,True,False,False,,,False,,False,True,,False,True,False,True,True,False
California,12131,12198.9,12379.0,12211.1,12279.0,12231.0,12073.0,11846.0,,12097.0,12621.9,11845.1,,12025.2,12187.4,12555.9,12938.3,11582.9,12169.0,12133.3,,11350.8,12019.3,12572.5,,12301.7,14089.3,,11803.0,12049.9,10970.0,11844.0,11997.6,12462.6,11901.0,12115.7,11413.0,67.9,248.0,80.1,148.0,100.0,-58.0,-285.0,,-34.0,490.9,-285.9,,-105.8,56.4,424.9,807.3,-548.1,38.0,2.3,,-780.2,-111.7,441.5,,170.7,1958.3,,-328.0,-81.1,-1161.0,-287.0,-133.4,331.6,-230.0,-15.3,-718.0,False,False,False,False,True,False,,True,False,False,,False,True,False,False,False,True,True,,False,False,False,,False,False,,False,False,False,False,False,False,False,True,False
Colorado,1918,1884.0,2029.0,1884.7,1936.0,1886.3,1929.0,1945.0,,1948.0,1917.8,1929.5,,2024.9,1965.4,1992.8,1971.5,1901.2,1893.6,1885.9,,1918.8,1885.3,1938.0,,1957.9,1929.1,,1917.0,1881.5,,1912.0,1926.9,2108.6,1903.0,1942.5,,-34.0,111.0,-33.3,18.0,-31.7,11.0,27.0,,30.0,-0.2,11.5,,106.9,47.4,74.8,53.5,-16.8,-24.4,-32.1,,0.8,-32.7,20.0,,39.9,11.1,,-1.0,-36.5,,-6.0,8.9,190.6,-15.0,24.5,,False,True,True,True,True,True,,True,True,True,,False,False,False,False,True,True,True,,True,True,True,,False,True,,True,False,,True,True,False,True,True,
Connecticut,4460,4457.7,4599.0,4462.0,4469.0,4474.9,4464.0,4461.0,,4447.0,4458.7,4490.0,,4479.9,4471.1,4481.1,4466.7,4453.7,4450.2,4491.4,,4450.8,4458.4,4464.0,,4499.6,4468.6,,4454.0,4457.9,,4454.0,4478.7,4557.9,4455.0,4466.2,,-2.3,139.0,2.0,9.0,14.9,4.0,1.0,,-13.0,-1.3,30.0,,19.9,11.1,21.1,6.7,-6.3,-9.8,31.4,,-9.2,-1.6,4.0,,39.6,8.6,,-6.0,-2.1,,-6.0,18.7,97.9,-5.0,6.2,,False,True,False,False,False,True,,False,True,False,,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,True,,False,False,False,False,False,
Delaware,600,602.1,643.0,611.7,600.0,601.3,604.0,604.0,,609.0,614.9,634.8,,599.0,603.6,616.4,596.3,597.7,596.7,614.4,,655.2,602.2,605.0,,,687.3,,603.0,602.0,,602.0,628.8,638.4,594.0,605.3,,2.1,43.0,11.7,0.0,1.3,4.0,4.0,,9.0,14.9,34.8,,-1.0,3.6,16.4,-3.7,-2.3,-3.3,14.4,,55.2,2.2,5.0,,,87.3,,3.0,2.0,,2.0,28.8,38.4,-6.0,5.3,,False,False,True,True,False,False,,False,False,False,,True,False,False,False,False,False,False,,False,False,False,,,False,,False,True,,True,False,False,False,False,
District of Columbia,604,600.3,633.0,600.5,599.0,601.0,601.0,608.0,,604.0,599.1,600.6,,588.0,601.9,601.7,600.4,604.0,593.2,,,593.4,601.0,592.0,,,,,601.0,601.9,,602.0,,634.3,600.0,602.3,,-3.7,29.0,-3.5,-5.0,-3.0,-3.0,4.0,,0.0,-4.9,-3.4,,-16.0,-2.1,-2.3,-3.6,-0.0,-10.8,,,-10.6,-3.0,-12.0,,,,,-3.0,-2.1,,-2.0,,30.3,-4.0,-1.7,,False,True,False,True,True,False,,True,False,True,,False,True,True,True,True,False,,,False,True,False,,,,,True,True,,True,,False,False,True,
Florida,10274,10232.6,10539.0,10310.6,10505.0,10283.0,10117.0,9756.0,,9609.0,11819.0,9372.2,,10656.0,10382.6,10192.0,10790.2,9782.6,10055.0,9592.4,,10361.3,10066.3,9599.5,,11128.4,11303.3,,10092.0,9884.5,,9956.0,10423.4,10116.8,10138.0,10293.7,9416.0,-41.4,265.0,36.6,231.0,9.0,-157.0,-518.0,,-665.0,1545.0,-901.8,,382.0,108.6,-82.0,516.2,-491.4,-219.0,-681.6,,87.3,-207.7,-674.5,,854.4,1029.3,,-182.0,-389.5,,-318.0,149.4,-157.2,-136.0,19.7,-858.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,True,False
Georgia,5092,4865.7,4961.0,4903.6,4924.0,4908.0,4837.0,4963.0,,4677.0,5116.2,4791.6,4821.3,4830.1,5038.6,4755.4,5282.0,4802.4,4856.0,4730.1,,4374.8,4925.7,4729.0,,5028.9,5484.6,,4834.0,4852.4,,4786.0,4658.2,5025.9,4861.0,4846.0,4611.0,-226.3,-131.0,-188.4,-168.0,-184.0,-255.0,-129.0,,-415.0,24.2,-300.4,-270.7,-261.9,-53.4,-336.6,190.0,-289.6,-236.0,-361.9,,-717.2,-166.3,-363.0,,-63.1,392.6,,-258.0,-239.6,,-306.0,-433.8,-66.1,-231.0,-246.0,-481.0,True,True,True,True,False,True,,False,True,False,False,False,True,False,True,False,False,False,,False,True,False,,True,False,,False,False,,False,False,True,False,False,False
Hawaii,47,40.3,44.0,43.0,41.0,41.0,43.0,63.0,,47.0,39.8,,,27.9,37.7,57.2,53.1,43.9,36.7,37.2,,36.3,46.7,30.5,,,43.4,,51.0,42.6,,52.0,,39.2,31.0,41.1,,-6.7,-3.0,-4.0,-6.0,-6.0,-4.0,16.0,,0.0,-7.2,,,-19.1,-9.3,10.2,6.1,-3.1,-10.3,-9.8,,-10.7,-0.3,-16.5,,,-3.6,,4.0,-4.4,,5.0,,-7.8,-16.0,-5.9,,True,True,True,True,True,False,,True,False,,,False,False,False,True,True,False,False,,False,True,False,,,True,,True,True,,True,,False,False,True,
Idaho,306,311.3,335.0,316.5,317.0,311.0,321.0,313.0,,285.0,484.9,320.3,,333.4,329.0,410.1,356.1,298.7,307.8,336.4,,356.5,325.5,473.5,,,324.4,,314.0,283.7,,290.0,305.4,296.8,325.0,327.2,,5.3,29.0,10.5,11.0,5.0,15.0,7.0,,-21.0,178.9,14.3,,27.4,23.0,104.1,50.1,-7.3,1.8,30.4,,50.5,19.5,167.5,,,18.4,,8.0,-22.3,,-16.0,-0.6,-9.2,19.0,21.2,,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,,False,True,False,False,False,
Illinois,8083,8088.3,8504.0,8102.6,8121.0,8120.1,8109.0,8269.0,,7912.0,8062.4,,,7879.0,8150.1,7997.2,8055.2,8041.1,8115.1,8415.3,8444.0,7840.8,8167.3,7964.0,,8055.8,8205.7,,8210.0,8150.8,,8099.0,8193.9,8598.5,8151.0,8133.4,7725.0,5.3,421.0,19.6,38.0,37.1,26.0,186.0,,-171.0,-20.6,,,-204.0,67.1,-85.8,-27.8,-41.9,32.1,332.3,361.0,-242.2,84.3,-119.0,,-27.2,122.7,,127.0,67.8,,16.0,110.9,515.5,68.0,50.4,-358.0,False,False,False,False,False,False,,False,False,,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
Indiana,3218,3163.6,3293.0,3162.2,3187.0,3166.0,3200.0,3226.0,,3219.0,3172.0,3207.6,,3218.2,3268.5,3076.5,3275.8,3179.1,3174.5,3113.9,3208.5,3095.8,3179.0,3215.0,,3171.8,3451.5,,3207.0,3147.4,,3212.0,3191.4,3482.2,3182.0,3227.8,3106.0,-54.4,75.0,-55.8,-31.0,-52.0,-18.0,8.0,,1.0,-46.0,-10.4,,0.2,50.5,-141.5,57.8,-38.9,-43.5,-104.1,-9.5,-122.2,-39.0,-3.0,,-46.2,233.5,,-11.0,-70.6,,-6.0,-26.6,264.2,-36.0,9.8,-112.0,False,False,True,True,True,True,,True,True,True,,True,True,False,False,True,True,False,True,False,True,True,,True,False,,True,False,,True,True,False,True,True,False
Iowa,1033,1029.4,1100.0,1034.8,1012.0,1033.0,1023.0,982.0,,967.0,1058.5,1021.2,,994.8,1017.1,1074.8,1022.6,997.5,1011.8,1038.7,,1027.1,1035.4,1058.0,,1036.7,978.8,,1077.0,1018.9,,1007.0,1005.1,1049.2,1039.0,1027.5,986.0,-3.6,67.0,1.8,-21.0,0.0,-10.0,-51.0,,-66.0,25.5,-11.8,,-38.2,-15.9,41.8,-10.4,-35.5,-21.2,5.7,,-5.9,2.4,25.0,,3.7,-54.2,,44.0,-14.1,,-26.0,-27.9,16.2,6.0,-5.5,-47.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,,False,False,False,False,False,False
