,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2011,2093.3,,1991.9,2381.0,1758.5,1832.0,2381.5,1927.8,2055.9,,2146.3,3170.5,,,1981.8,2649.7,2729.0,2307.3,82.3,,-19.1,370.0,-252.5,-179.0,370.5,-83.2,44.9,,135.3,1159.5,,,-29.2,638.7,718.0,296.3,,True,False,False,False,False,False,True,,False,False,,,True,False,False,False
Alaska,31,22.9,,47.1,35.0,22.6,,88.7,29.8,35.1,,45.1,44.0,,,24.5,42.9,44.4,23.4,-8.1,,16.1,4.0,-8.4,,57.7,-1.2,4.1,,14.1,13.0,,,-6.5,11.9,13.4,-7.6,,False,True,False,,False,True,True,,False,False,,,True,False,False,True
Arizona,4756,5306.1,,4614.4,4719.0,3872.3,4773.0,4537.0,4144.3,2664.6,,5790.6,7490.0,,,4687.2,7916.2,5093.0,4847.2,550.1,,-141.6,-37.0,-883.7,17.0,-219.0,-611.7,-2091.4,,1034.6,2734.0,,,-68.8,3160.2,337.0,91.2,,True,True,False,True,True,False,False,,False,False,,,True,False,True,True
Arkansas,674,531.9,,669.8,619.0,489.8,486.0,1001.1,478.1,490.4,,587.2,629.0,,,484.6,864.6,576.9,567.9,-142.1,,-4.2,-55.0,-184.2,-188.0,327.1,-195.9,-183.6,,-86.8,-45.0,,,-189.4,190.6,-97.1,-106.1,,True,True,False,False,False,False,False,,True,True,,,False,False,True,True
California,12131,10940.1,,12083.9,12980.0,13312.9,11162.0,14694.0,9399.8,12728.9,,9987.0,10864.0,,,10634.8,16346.7,11640.5,11067.2,-1190.9,,-47.1,849.0,1181.9,-969.0,2563.0,-2731.2,597.9,,-2144.0,-1267.0,,,-1496.2,4215.7,-490.5,-1063.8,,True,True,True,True,False,False,True,,False,False,,,False,False,True,True
Colorado,1918,1883.1,,1971.6,1913.0,1878.2,1893.0,2135.9,1873.2,2061.8,,1897.4,1986.0,,,1897.8,2057.2,2119.5,2066.1,-34.9,,53.6,-5.0,-39.8,-25.0,217.9,-44.8,143.8,,-20.6,68.0,,,-20.2,139.2,201.5,148.1,,False,True,False,True,False,False,False,,True,False,,,True,False,False,False
Connecticut,4460,4629.1,,4449.0,4415.0,4411.7,4515.0,4584.1,4517.3,4435.6,,4432.3,4585.5,,,4546.7,4573.8,4489.8,4489.6,169.1,,-11.0,-45.0,-48.3,55.0,124.1,57.3,-24.4,,-27.7,125.5,,,86.7,113.8,29.8,29.6,,True,True,True,True,True,True,True,,True,True,,,True,True,True,True
Delaware,600,552.1,,601.2,574.0,537.0,560.0,642.6,557.1,580.7,,532.3,636.0,,,563.2,637.0,541.7,573.9,-47.9,,1.2,-26.0,-63.0,-40.0,42.6,-42.9,-19.3,,-67.7,36.0,,,-36.8,37.0,-58.3,-26.1,,True,True,False,True,True,True,True,,False,True,,,True,True,False,True
District of Columbia,604,626.6,,595.3,605.0,623.0,619.0,642.1,639.9,573.7,,598.6,667.0,,,617.2,669.1,678.9,620.0,22.6,,-8.7,1.0,19.0,15.0,38.1,35.9,-30.3,,-5.4,63.0,,,13.2,65.1,74.9,16.0,,True,True,True,True,False,False,False,,True,False,,,True,False,False,True
Florida,10274,8576.3,,11854.8,10715.0,9342.1,9244.0,8738.5,8590.3,5259.3,,8748.1,12594.5,,,8297.8,19391.2,8305.6,10059.8,-1697.7,,1580.8,441.0,-931.9,-1030.0,-1535.5,-1683.7,-5014.7,,-1525.9,2320.5,,,-1976.2,9117.2,-1968.4,-214.2,,True,True,True,True,True,True,False,,True,False,,,False,False,False,True
