,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2011,2190.4,2086.0,2135.8,2340.0,2476.0,,2062.6,2459.0,3064.7,2121.3,,2150.0,2021.0,2150.5,2370.3,2184.0,1869.5,2170.7,1920.9,2370.0,,1959.7,2362.8,2394.0,,1847.6,,2450.0,2038.8,,2163.0,2030.4,2268.5,2070.0,2545.5,2366.1,2596.0,179.4,75.0,124.8,329.0,465.0,,51.6,448.0,1053.7,110.3,,139.0,10.0,139.5,359.3,173.0,-141.5,159.7,-90.1,359.0,,-51.3,351.8,383.0,,-163.4,,439.0,27.8,,152.0,19.4,257.5,59.0,534.5,355.1,585.0,True,True,False,False,,True,False,False,True,,True,True,True,False,True,True,True,True,False,,True,False,False,,True,,False,True,,True,True,False,True,False,False,False
Alaska,31,27.7,34.0,28.0,39.0,43.0,,46.1,40.0,53.9,28.2,,18.9,,50.9,73.0,47.7,37.6,26.9,33.9,28.4,,36.5,30.8,35.0,,22.7,,51.0,30.3,,47.0,,40.4,35.0,74.0,31.0,,-3.3,3.0,-3.0,8.0,12.0,,15.1,9.0,22.9,-2.8,,-12.1,,19.9,42.0,16.7,6.6,-4.1,2.9,-2.6,,5.5,-0.2,4.0,,-8.3,,20.0,-0.7,,16.0,,9.4,4.0,43.0,-0.0,,True,True,False,False,,False,False,False,True,,False,,False,False,False,False,False,True,True,,False,True,False,,False,,False,True,,False,,False,False,False,True,
Arizona,4756,5403.3,5068.0,5510.2,5057.0,4833.0,,4373.8,4582.0,12393.8,5578.3,,4830.9,5057.0,4629.2,4720.2,5101.5,4635.1,5115.1,3258.8,6577.0,,6575.5,4851.5,7343.0,,4317.1,,4708.0,4921.5,,4744.0,5949.8,4885.2,4862.0,7616.0,5125.8,6482.0,647.3,312.0,754.2,301.0,77.0,,-382.2,-174.0,7637.8,822.3,,74.9,301.0,-126.8,-35.8,345.5,-120.9,359.1,-1497.2,1821.0,,1819.5,95.5,2587.0,,-438.9,,-48.0,165.5,,-12.0,1193.8,129.2,106.0,2860.0,369.8,1726.0,True,False,True,True,,True,True,False,False,,True,True,True,True,True,True,True,False,False,,False,True,False,,True,,True,True,,True,False,True,True,False,True,False
Arkansas,674,570.7,614.0,567.0,596.0,820.0,,675.8,633.0,691.3,557.7,,576.9,537.0,684.5,856.4,557.5,512.0,566.4,507.6,603.7,,586.1,596.0,543.0,,,,605.0,543.3,,561.0,600.2,599.6,562.0,600.0,587.7,,-103.3,-60.0,-107.0,-78.0,146.0,,1.8,-41.0,17.3,-116.3,,-97.1,-137.0,10.5,182.4,-116.5,-162.0,-107.6,-166.4,-70.3,,-87.9,-78.0,-131.0,,,,-69.0,-130.7,,-113.0,-73.8,-74.4,-112.0,-74.0,-86.3,,True,False,True,False,,True,True,True,False,,True,False,True,False,False,False,False,False,True,,True,True,False,,,,True,False,,False,True,True,False,True,True,
California,12131,11275.3,11495.0,11231.6,11731.0,13262.0,,11793.7,12964.0,13186.3,11729.6,,12123.2,11458.0,12056.7,13538.1,12406.9,9845.3,11450.1,12287.9,11745.3,,9859.4,11492.3,12650.5,,10386.2,,12144.0,11026.4,10287.0,10990.0,11114.3,12673.4,10860.0,12926.5,11572.9,11512.0,-855.7,-636.0,-899.4,-400.0,1131.0,,-337.3,833.0,1055.3,-401.4,,-7.8,-673.0,-74.3,1407.1,275.9,-2285.7,-680.9,156.9,-385.7,,-2271.6,-638.7,519.5,,-1744.8,,13.0,-1104.6,-1844.0,-1141.0,-1016.7,542.4,-1271.0,795.5,-558.1,-619.0,True,False,True,False,,True,True,False,True,,True,True,True,False,True,False,True,True,True,,False,True,True,,False,,True,False,False,False,False,True,False,True,True,True
Colorado,1918,1956.0,1949.0,1968.4,1983.0,2241.0,,1982.5,1973.0,1889.7,2040.3,,2025.0,1940.0,2032.2,2110.4,1876.5,1921.8,1944.5,2126.0,2085.8,,1877.5,2050.7,1863.0,,1888.2,,1973.0,1994.5,,2013.0,,2415.2,1985.0,1958.0,2009.2,,38.0,31.0,50.4,65.0,323.0,,64.5,55.0,-28.3,122.3,,107.0,22.0,114.2,192.4,-41.5,3.8,26.5,208.0,167.8,,-40.5,132.7,-55.0,,-29.8,,55.0,76.5,,95.0,,497.2,67.0,40.0,91.2,,True,False,False,False,,False,False,True,False,,False,True,False,False,False,True,True,False,False,,False,False,False,,True,,False,False,,False,,False,False,False,False,
Connecticut,4460,4478.6,4473.0,4556.1,4474.0,4647.0,,4440.8,4427.0,4445.4,4618.0,,4550.8,4474.0,4456.2,4526.6,4459.6,4566.4,4455.5,4468.5,4522.7,,4445.5,4525.0,4454.0,,4497.4,,4456.0,4419.8,,4462.0,4639.3,4657.2,4559.0,4456.0,4483.1,,18.6,13.0,96.1,14.0,187.0,,-19.2,-33.0,-14.6,158.0,,90.8,14.0,-3.8,66.6,-0.4,106.4,-4.5,8.5,62.7,,-14.5,65.0,-6.0,,37.4,,-4.0,-40.2,,2.0,179.3,197.2,99.0,-4.0,23.1,,True,False,True,False,,False,False,True,False,,False,True,True,False,True,False,True,True,False,,True,False,True,,False,,True,False,,True,False,False,False,True,False,
Delaware,600,795.0,673.0,803.0,625.0,688.0,,583.8,617.0,626.6,679.7,,540.7,603.0,621.5,666.2,591.3,599.6,645.0,574.6,652.2,,537.8,614.7,579.0,,602.1,,691.0,874.3,,1720.0,,690.8,685.0,720.0,609.1,,195.0,73.0,203.0,25.0,88.0,,-16.2,17.0,26.6,79.7,,-59.3,3.0,21.5,66.2,-8.7,-0.4,45.0,-25.4,52.2,,-62.2,14.7,-21.0,,2.1,,91.0,274.3,,1120.0,,90.8,85.0,120.0,9.1,,True,False,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,False,,False,,True,True,True,True,
District of Columbia,604,592.6,611.0,599.7,603.0,650.0,,598.9,604.0,592.5,624.2,,619.2,587.0,606.7,618.1,612.5,629.0,591.9,582.6,,,597.5,597.7,587.0,,602.4,,609.0,582.6,,612.0,,671.3,598.0,603.5,600.5,,-11.4,7.0,-4.3,-1.0,46.0,,-5.1,0.0,-11.5,20.2,,15.2,-17.0,2.7,14.1,8.5,25.0,-12.1,-21.4,,,-6.5,-6.3,-17.0,,-1.6,,5.0,-21.4,,8.0,,67.3,-6.0,-0.5,-3.5,,True,True,True,False,,True,True,False,False,,False,False,True,False,True,False,False,False,,,True,True,False,,True,,True,False,,True,,False,True,True,True,
Florida,10274,9217.4,9455.0,9305.2,9694.0,10656.0,,10750.4,10143.0,19379.9,8940.0,,9461.6,9037.0,10094.9,9313.4,16692.7,8498.7,9557.7,6155.4,11380.4,,9286.3,9694.0,14973.5,,8510.7,,9586.0,9292.8,,9231.0,8779.1,9875.8,8637.0,15375.0,9341.8,11046.0,-1056.6,-819.0,-968.8,-580.0,382.0,,476.4,-131.0,9105.9,-1334.0,,-812.4,-1237.0,-179.1,-960.6,6418.7,-1775.3,-716.3,-4118.6,1106.4,,-987.7,-580.0,4699.5,,-1763.3,,-688.0,-981.2,,-1043.0,-1494.9,-398.2,-1637.0,5101.0,-932.2,772.0,True,True,True,True,,True,True,False,False,,True,False,True,True,False,False,True,False,False,,True,True,False,,False,,True,True,,True,False,True,False,False,True,True
