,total_deaths_2020-07-12,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
USACE-ERDC_SEIR,135708,173721.6,176399,38516.6,40691,-2174.4,-5.3%
CovidAnalytics-DELPHI,135708,172817.0,176399,37612.0,40691,-3079.0,-7.6%
YYG-ParamSearch,135708,169573.5,176399,34368.5,40691,-6322.5,-15.5%
Covid19Sim-Simulator,135708,167484.1,176399,32279.1,40691,-8411.9,-20.7%
Columbia_UNC-SurvCon,135708,185729.0,176399,50524.0,40691,9833.0,24.2%
Baseline,135708,165925.7,176399,30720.7,40691,-9970.3,-24.5%
IowaStateLW-STEM,135708,163015.0,176399,27810.0,40691,-12881.0,-31.7%
UCLA-SuEIR,135708,161809.8,176399,26604.8,40691,-14086.2,-34.6%
PSI-DRAFT,135708,159470.0,176399,24265.0,40691,-16426.0,-40.4%
NotreDame-mobility,135708,157521.4,176399,22316.4,40691,-18374.6,-45.2%
QJHong-Encounter,135708,195278.5,176399,60073.5,40691,19382.5,47.6%
LANL-GrowthRate,135708,155453.5,176399,20248.5,40691,-20442.5,-50.2%
MITCovAlliance-SIR,135708,151474.5,176399,16269.5,40691,-24421.5,-60.0%
STH-3PU,135708,142643.0,176399,7438.0,40691,-33253.0,-81.7%
USC-SI_kJalpha,135708,211465.8,176399,76260.8,40691,35569.8,87.4%
NotreDame-FRED,135708,,176399,,40691,,
