,total_deaths_2020-08-02,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
GT-DeepCOVID,155565,175573.7,176326,20713.7,20761,-47.3,-0.2%
YYG-ParamSearch,155565,175925.9,176326,21065.9,20761,304.9,1.5%
COVIDhub-ensemble,155565,175060.0,176326,20200.0,20761,-561.0,-2.7%
Columbia_UNC-SurvCon,155565,174193.0,176326,19333.0,20761,-1428.0,-6.9%
UMass-MechBayes,155565,173916.0,176326,19056.0,20761,-1705.0,-8.2%
IowaStateLW-STEM,155565,173832.0,176326,18972.0,20761,-1789.0,-8.6%
Baseline,155565,177502.9,176326,22642.9,20761,1881.9,9.1%
OliverWyman-Navigator,155565,177623.9,176326,22763.9,20761,2002.9,9.6%
IHME-CurveFit,155565,173341.2,176326,18481.2,20761,-2279.8,-11.0%
UCLA-SuEIR,155565,178181.4,176326,23321.4,20761,2560.4,12.3%
COVIDhub-baseline,155565,178388.7,176326,23528.7,20761,2767.7,13.3%
JCB-PRM,155565,178511.4,176326,23651.4,20761,2890.4,13.9%
QJHong-Encounter,155565,178630.4,176326,23770.4,20761,3009.4,14.5%
CovidAnalytics-DELPHI,155565,172448.0,176326,17588.0,20761,-3173.0,-15.3%
Auquan-SEIR,155565,172310.0,176326,17450.0,20761,-3311.0,-15.9%
CU-select,155565,179387.0,176326,24527.0,20761,3766.0,18.1%
Covid19Sim-Simulator,155565,171614.3,176326,16754.3,20761,-4006.7,-19.3%
LNQ-ens1,155565,179813.4,176326,24953.4,20761,4192.4,20.2%
USC-SI_kJalpha,155565,179860.0,176326,25000.0,20761,4239.0,20.4%
JHU_IDD-CovidSP,155565,179860.7,176326,25000.7,20761,4239.7,20.4%
epiforecasts-ensemble1,155565,171140.0,176326,16280.0,20761,-4481.0,-21.6%
Karlen-pypm,155565,170735.3,176326,15875.3,20761,-4885.7,-23.5%
UMich-RidgeTfReg,155565,169521.6,176326,14661.6,20761,-6099.4,-29.4%
RobertWalraven-ESG,155565,169071.1,176326,14211.1,20761,-6549.9,-31.5%
LANL-GrowthRate,155565,168840.5,176326,13980.5,20761,-6780.5,-32.7%
USACE-ERDC_SEIR,155565,182809.3,176326,27949.3,20761,7188.3,34.6%
DDS-NBDS,155565,183590.2,176326,28730.2,20761,7969.2,38.4%
RPI_UW-Mob_Collision,155565,183747.5,176326,28887.5,20761,8126.5,39.1%
UCM_MESALab-FoGSEIR,155565,167453.0,176326,12593.0,20761,-8168.0,-39.3%
NotreDame-mobility,155565,165979.9,176326,11119.9,20761,-9641.1,-46.4%
MOBS-GLEAM_COVID,155565,185579.7,176326,30719.7,20761,9958.7,48.0%
UA-EpiCovDA,155565,165319.0,176326,10459.0,20761,-10302.0,-49.6%
MITCovAlliance-SIR,155565,164407.1,176326,9547.1,20761,-11213.9,-54.0%
PSI-DRAFT,155565,193611.0,176326,38751.0,20761,17990.0,86.7%
UT-Mobility,155565,194288.5,176326,39428.5,20761,18667.5,89.9%
STH-3PU,155565,196063.0,176326,41203.0,20761,20442.0,98.5%
CMU-TimeSeries,155565,,176326,,20761,,
GT_CHHS-COVID19,155565,,176326,,20761,,
NotreDame-FRED,155565,,176326,,20761,,
