,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,5221.4,643.4,11216.7,0.0,49.9,5193.7,66309.3
USC-SI_kJalpha,51,9486.1,1521.0,18026.9,0.0,289.0,8101.0,96100.0
CMU-TimeSeries,51,12597.4,625.0,47312.8,0.0,132.5,2818.0,323761.0
COVIDhub-ensemble,51,13205.8,729.0,43759.5,0.0,121.0,3497.0,263169.0
YYG-ParamSearch,51,14531.4,1173.8,38098.3,0.1,182.3,8725.2,223098.6
JCB-PRM,51,15375.7,1818.5,32912.2,3.8,276.1,14976.4,178766.0
OliverWyman-Navigator,51,16954.5,844.7,62547.6,0.3,189.0,7006.7,432634.4
IowaStateLW-STEM,49,34900.4,2209.0,103647.9,1.0,185.3,20682.5,579121.0
Baseline,51,35273.3,698.5,189116.3,2.9,204.3,3695.2,1349248.2
CU-select,51,43473.8,2704.0,118003.1,0.0,156.5,31409.0,693889.0
UA-EpiCovDA,51,43583.2,1225.0,206021.7,0.0,132.5,11052.5,1454436.0
UCLA-SuEIR,51,51717.6,922.5,287659.3,2.6,67.6,5502.2,2053062.1
JHU_IDD-CovidSP,51,62390.0,8736.0,169586.5,7.8,1288.7,36761.5,856130.7
UMass-MechBayes,51,64186.8,324.0,344978.0,0.0,72.5,6836.5,2452356.0
CovidAnalytics-DELPHI,51,64743.3,1225.0,291602.3,0.0,240.5,11792.5,1985281.0
COVIDhub-baseline,51,65836.1,1304.6,369737.9,0.0,250.6,5154.6,2639719.6
GT-DeepCOVID,43,85695.6,2302.9,414072.6,0.0,181.7,9641.6,2938344.1
IHME-CurveFit,51,91485.4,2168.3,310128.6,0.8,186.6,14887.6,1555444.1
Covid19Sim-Simulator,51,91727.8,1578.9,499513.2,0.4,94.1,10468.0,3570606.5
RobertWalraven-ESG,49,97815.5,1685.9,347685.9,0.9,234.5,15175.4,2110744.1
Auquan-SEIR,51,123226.5,3364.0,475288.8,0.0,101.0,27728.5,2518569.0
USACE-ERDC_SEIR,51,130964.8,6603.2,297734.7,7.1,377.2,84834.7,1685553.6
LANL-GrowthRate,51,164943.1,4636.1,768658.3,0.0,161.0,13438.5,5289134.3
NotreDame-mobility,51,310412.1,7748.0,954777.7,1.8,1198.6,46643.9,5161340.6
DDS-NBDS,51,384690.9,1376.4,1624666.5,0.1,259.9,9182.7,10336034.7
MITCovAlliance-SIR,51,658202.8,3685.3,2981484.9,0.1,278.0,20590.1,19756309.3
MOBS-GLEAM_COVID,50,714099.9,1781.8,4080830.6,0.0,356.1,19612.5,28749433.6
UT-Mobility,51,1122071.2,7569.0,5165202.2,4.0,272.5,30423.1,33275592.2
Karlen-pypm,51,1154684.9,2237.3,7946686.2,0.0,73.7,12597.8,56782253.2
PSI-DRAFT,51,1946251.6,9216.0,11461261.8,1.0,464.5,46120.5,81360400.0
