,total_deaths_2020-07-19,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
PSI-DRAFT,141269,178129.5,176399,37595.5,35130,2465.5,7.0%
IHME-CurveFit,141269,172477.3,176399,31943.3,35130,-3186.7,-9.1%
CovidAnalytics-DELPHI,141269,171820.0,176399,31286.0,35130,-3844.0,-10.9%
Columbia_UNC-SurvCon,141269,171110.0,176399,30576.0,35130,-4554.0,-13.0%
USC-SI_kJalpha,141269,170805.7,176399,30271.7,35130,-4858.3,-13.8%
YYG-ParamSearch,141269,170183.2,176399,29649.2,35130,-5480.8,-15.6%
QJHong-Encounter,141269,181330.7,176399,40796.7,35130,5666.7,16.1%
Covid19Sim-Simulator,141269,169681.1,176399,29147.1,35130,-5982.9,-17.0%
JHU_IDD-CovidSP,141269,184789.2,176399,44255.2,35130,9125.2,26.0%
Baseline,141269,166417.7,176399,25883.7,35130,-9246.3,-26.3%
UCLA-SuEIR,141269,164868.4,176399,24334.4,35130,-10795.6,-30.7%
STH-3PU,141269,164204.0,176399,23670.0,35130,-11460.0,-32.6%
NotreDame-mobility,141269,164124.4,176399,23590.4,35130,-11539.6,-32.8%
IowaStateLW-STEM,141269,163720.0,176399,23186.0,35130,-11944.0,-34.0%
LANL-GrowthRate,141269,159228.8,176399,18694.8,35130,-16435.2,-46.8%
MITCovAlliance-SIR,141269,154420.7,176399,13886.7,35130,-21243.3,-60.5%
USACE-ERDC_SEIR,141269,210630.7,176399,70096.7,35130,34966.7,99.5%
Karlen-pypm,141269,,176399,,35130,,
NotreDame-FRED,141269,,176399,,35130,,
