,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2011,1788.7,,1826.0,2337.0,2286.0,1740.6,1890.9,,1832.0,1701.0,,,1798.2,2079.3,2304.1,2305.4,-222.3,,-185.0,326.0,275.0,-270.4,-120.1,,-179.0,-310.0,,,-212.8,68.3,293.1,294.4,,True,False,False,False,True,,True,False,,,True,True,False,False
Alaska,31,22.9,,40.4,29.0,,42.6,14.5,,49.5,35.0,,,23.7,62.8,45.2,27.2,-8.1,,9.4,-2.0,,11.6,-16.5,,18.5,4.0,,,-7.3,31.8,14.2,-3.8,,False,True,,False,False,,False,True,,,True,False,False,True
Arizona,4756,4650.1,,5169.4,5577.0,3908.0,3171.7,2056.8,,5243.1,4129.0,,,4311.7,4212.7,3622.6,4625.9,-105.9,,413.4,821.0,-848.0,-1584.3,-2699.2,,487.1,-627.0,,,-444.3,-543.3,-1133.4,-130.1,,False,False,False,False,False,,False,False,,,False,False,False,False
Arkansas,674,520.1,,650.7,627.0,747.0,469.9,381.3,,572.6,405.5,,,464.8,559.7,579.6,670.7,-153.9,,-23.3,-47.0,73.0,-204.1,-292.7,,-101.4,-268.5,,,-209.2,-114.3,-94.4,-3.3,,True,True,True,False,False,,True,False,,,False,True,True,True
California,12131,11022.1,,11914.5,13557.0,9842.0,8915.4,14355.3,,9264.6,9517.0,,,10613.5,13829.6,14285.6,12174.1,-1108.9,,-216.5,1426.0,-2289.0,-3215.6,2224.3,,-2866.4,-2614.0,,,-1517.5,1698.6,2154.6,43.1,,True,False,False,False,False,,False,False,,,False,False,False,True
Colorado,1918,1865.6,,1939.2,1898.0,1958.0,1906.4,1843.4,,1952.5,1742.0,,,1865.8,2024.0,2337.9,2002.0,-52.4,,21.2,-20.0,40.0,-11.6,-74.6,,34.5,-176.0,,,-52.2,106.0,419.9,84.0,,True,True,True,True,False,,True,False,,,True,False,False,False
Connecticut,4460,4424.1,,4452.7,4384.0,4486.0,4434.2,4597.2,,4393.4,4507.0,,,4428.1,4404.4,4454.7,4419.8,-35.9,,-7.3,-76.0,26.0,-25.8,137.2,,-66.6,47.0,,,-31.9,-55.6,-5.3,-40.2,,True,False,True,True,False,,False,False,,,True,False,True,False
Delaware,600,546.3,,629.6,595.0,596.0,545.6,551.3,,526.2,691.0,,,587.8,557.1,645.8,581.4,-53.7,,29.6,-5.0,-4.0,-54.4,-48.7,,-73.8,91.0,,,-12.2,-42.9,45.8,-18.6,,True,True,True,False,True,,False,False,,,True,True,True,True
District of Columbia,604,620.7,,587.6,587.0,600.0,631.4,555.1,,598.3,641.0,,,609.5,596.1,747.7,616.7,16.7,,-16.4,-17.0,-4.0,27.4,-48.9,,-5.7,37.0,,,5.5,-7.9,143.7,12.7,,True,False,True,False,False,,True,False,,,True,True,False,True
Florida,10274,7235.0,,12553.3,10362.0,6716.0,9208.6,6533.2,,6975.1,5722.0,,,8463.6,9410.9,11563.1,8849.6,-3039.0,,2279.3,88.0,-3558.0,-1065.4,-3740.8,,-3298.9,-4552.0,,,-1810.4,-863.1,1289.1,-1424.4,,True,True,False,True,False,,False,False,,,True,True,True,True
