,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,1810,993.7,1159.0,2186.0,-816.3,-651.0,376.0,True,True
Austria,706,715.4,730.0,642.3,9.4,24.0,-63.7,False,False
Belgium,9782,10843.4,10221.0,9690.2,1061.4,439.0,-91.8,True,True
Brazil,71469,67566.6,83110.0,90528.4,-3902.4,11641.0,19059.4,False,False
Bulgaria,267,280.9,368.0,239.7,13.9,101.0,-27.3,False,False
Canada,8818,10860.9,9537.0,8110.0,2042.9,719.0,-708.0,True,True
Chile,6881,2555.7,3617.0,6423.9,-4325.3,-3264.0,-457.1,True,True
Colombia,5119,1776.1,2558.0,2557.5,-3342.9,-2561.0,-2561.5,True,True
Croatia,118,126.4,147.0,100.4,8.4,29.0,-17.6,False,False
Cyprus,19,17.0,21.0,12.0,-2.0,2.0,-7.0,False,False
Czechia,352,438.4,389.0,366.1,86.4,37.0,14.1,True,True
Denmark,609,664.9,690.0,624.0,55.9,81.0,15.0,False,True
Dominican Republic,880,663.7,635.0,577.8,-216.3,-245.0,-302.2,False,False
Ecuador,5031,5658.9,5417.0,5686.1,627.9,386.0,655.1,True,False
Egypt,3769,1682.9,1905.0,1427.9,-2086.1,-1864.0,-2341.1,True,False
Estonia,69,70.9,83.0,61.0,1.9,14.0,-8.0,False,False
Finland,329,368.7,411.0,316.7,39.7,82.0,-12.3,False,True
France,30007,30735.7,31244.0,31281.4,728.7,1237.0,1274.4,False,False
Germany,9070,10484.1,10043.0,9085.3,1414.1,973.0,15.3,True,True
Greece,193,225.9,208.0,190.6,32.9,15.0,-2.4,True,True
Hungary,595,726.0,687.0,536.4,131.0,92.0,-58.6,True,True
Iceland,10,10.0,11.0,22.7,0.0,1.0,12.7,False,False
Ireland,1746,2053.7,1857.0,1692.3,307.7,111.0,-53.7,True,True
Israel,354,327.0,325.0,334.9,-27.0,-29.0,-19.1,False,True
Italy,34945,38798.7,37509.0,37785.7,3853.7,2564.0,2840.7,True,True
Latvia,30,42.6,31.0,26.4,12.6,1.0,-3.6,True,True
Lithuania,79,111.0,84.0,76.5,32.0,5.0,-2.5,True,True
Luxembourg,110,130.6,128.0,109.3,20.6,18.0,-0.7,True,True
Malaysia,122,128.7,138.0,115.6,6.7,16.0,-6.4,False,True
Mexico,34730,22596.3,39859.0,6455.0,-12133.7,5129.0,-28275.0,True,False
Moldova,640,517.4,719.0,343.7,-122.6,79.0,-296.3,True,False
Netherlands,6156,6814.7,7000.0,6114.5,658.7,844.0,-41.5,False,True
Norway,252,255.6,266.0,242.9,3.6,14.0,-9.1,False,False
Panama,893,518.6,519.0,449.5,-374.4,-374.0,-443.5,True,False
Peru,11682,8996.6,10769.0,15322.1,-2685.4,-913.0,3640.1,True,False
Philippines,1372,1169.7,1201.0,968.2,-202.3,-171.0,-403.8,True,False
Poland,1568,1482.9,1788.0,1205.0,-85.1,220.0,-363.0,False,False
Portugal,1654,1988.0,1765.0,1608.6,334.0,111.0,-45.4,True,True
Romania,1871,1719.9,2047.0,1335.0,-151.1,176.0,-536.0,False,False
Russia,11188,9781.0,12035.0,7001.9,-1407.0,847.0,-4186.1,True,False
Serbia,382,292.9,318.0,266.6,-89.1,-64.0,-115.4,True,False
Slovakia,28,28.0,34.0,22.0,0.0,6.0,-6.0,False,False
Slovenia,111,127.6,124.0,105.6,16.6,13.0,-5.4,True,True
South Korea,289,294.4,304.0,262.8,5.4,15.0,-26.2,False,False
Spain,28403,36905.1,31584.0,31522.1,8502.1,3181.0,3119.1,True,True
Sweden,5650,6185.4,5360.0,5195.7,535.4,-290.0,-454.3,True,True
Switzerland,1968,2077.4,2109.0,1931.0,109.4,141.0,-37.0,False,True
Turkey,5344,5711.4,5168.0,4746.5,367.4,-176.0,-597.5,True,False
Ukraine,1389,1323.3,1752.0,894.0,-65.7,363.0,-495.0,False,False
United Kingdom,40921,51679.6,46620.0,43913.7,10758.6,5699.0,2992.7,True,True
