,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,1810,1519.6,1589.0,1251.8,-290.4,-221.0,-558.2,True,False
Austria,706,727.1,701.0,707.0,21.1,-5.0,1.0,True,True
Belgium,9782,9813.1,9789.0,10293.0,31.1,7.0,511.0,True,False
Bolivia,1754,1235.9,1389.0,2443.9,-518.1,-365.0,689.9,True,False
Brazil,71469,71331.0,69194.0,84246.7,-138.0,-2275.0,12777.7,False,False
Bulgaria,267,270.4,257.0,181.8,3.4,-10.0,-85.2,False,False
Canada,8818,9236.3,9187.0,8110.0,418.3,369.0,-708.0,True,False
Chile,6881,7781.9,8315.0,3847.9,900.9,1434.0,-3033.1,False,False
Colombia,5119,4304.4,5331.0,5035.3,-814.6,212.0,-83.7,True,True
Croatia,118,107.0,111.0,108.5,-11.0,-7.0,-9.5,True,True
Cuba,87,87.9,88.0,85.8,0.9,1.0,-1.2,False,False
Cyprus,19,21.9,20.0,17.8,2.9,1.0,-1.2,True,True
Czechia,352,356.0,345.0,388.1,4.0,-7.0,36.1,False,False
Denmark,609,608.6,614.0,628.2,-0.4,5.0,19.2,False,False
Dominican Republic,880,862.0,762.0,666.2,-18.0,-118.0,-213.8,False,False
Ecuador,5031,5157.3,4761.0,5711.2,126.3,-270.0,680.2,False,False
Egypt,3769,3958.7,3434.0,1998.0,189.7,-335.0,-1771.0,False,False
Estonia,69,69.0,72.0,93.5,0.0,3.0,24.5,False,False
Finland,329,326.0,334.0,380.0,-3.0,5.0,51.0,False,False
France,30007,30308.7,29968.0,33647.8,301.7,-39.0,3640.8,True,False
Germany,9070,9163.6,9167.0,9257.5,93.6,97.0,187.5,False,False
Greece,193,210.0,196.0,197.0,17.0,3.0,4.0,True,True
Honduras,771,508.7,512.0,532.9,-262.3,-259.0,-238.1,True,True
Hungary,595,592.9,601.0,613.4,-2.1,6.0,18.4,False,False
Iceland,10,10.0,10.0,10.3,0.0,0.0,0.3,True,False
Ireland,1746,1740.7,1739.0,1706.5,-5.3,-7.0,-39.5,False,False
Israel,354,323.1,320.0,334.9,-30.9,-34.0,-19.1,False,True
Italy,34945,35459.7,35348.0,34687.0,514.7,403.0,-258.0,True,True
Japan,982,1035.0,1001.0,1140.5,53.0,19.0,158.5,True,False
Latvia,30,35.7,33.0,28.2,5.7,3.0,-1.8,True,True
Lithuania,79,78.9,81.0,99.7,-0.1,2.0,20.7,False,False
Luxembourg,110,110.0,112.0,115.0,0.0,2.0,5.0,False,False
Malaysia,122,121.0,129.0,114.2,-1.0,7.0,-7.8,False,False
Mexico,34730,35207.9,34467.0,31204.3,477.9,-263.0,-3525.7,True,False
Moldova,640,664.4,673.0,611.8,24.4,33.0,-28.2,False,False
Netherlands,6156,6197.6,6196.0,6278.2,41.6,40.0,122.2,True,False
Norway,252,249.7,249.0,233.2,-2.3,-3.0,-18.8,False,False
Panama,893,683.9,646.0,709.4,-209.1,-247.0,-183.6,False,True
Peru,11682,11212.4,11351.0,15322.1,-469.6,-331.0,3640.1,True,False
Philippines,1372,1400.4,1334.0,1294.2,28.4,-38.0,-77.8,False,False
Poland,1568,1667.4,1593.0,1292.4,99.4,25.0,-275.6,True,False
Portugal,1654,1567.1,1598.0,1996.7,-86.9,-56.0,342.7,True,False
Romania,1871,1803.4,1675.0,1522.5,-67.6,-196.0,-348.5,False,False
Russia,11188,11423.9,11314.0,14847.5,235.9,126.0,3659.5,True,False
Serbia,382,281.0,274.0,296.8,-101.0,-108.0,-85.2,False,True
Slovakia,28,28.0,29.0,28.3,0.0,1.0,0.3,False,False
Slovenia,111,109.0,111.0,115.8,-2.0,0.0,4.8,True,False
South Korea,289,288.6,291.0,317.0,-0.4,2.0,28.0,False,False
Spain,28403,31714.4,28638.0,26990.6,3311.4,235.0,-1412.4,True,True
Sweden,5650,5564.4,5537.0,7163.2,-85.6,-113.0,1513.2,False,False
Switzerland,1968,2007.4,1976.0,2170.5,39.4,8.0,202.5,True,False
Turkey,5344,5358.6,5151.0,5105.1,14.6,-193.0,-238.9,False,False
Ukraine,1389,1334.9,1357.0,1418.1,-54.1,-32.0,29.1,True,True
United Kingdom,40921,45385.6,44314.0,43400.9,4464.6,3393.0,2479.9,True,True
