,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4685,3845.1,4762.9,3887.4,4504.0,4362.8,3410.0,,3802.0,3975.5,3685.5,,3616.0,3871.0,3459.3,-839.9,77.9,-797.6,-181.0,-322.2,-1275.0,,-883.0,-709.5,-999.5,,-1069.0,-814.0,-1225.7,True,True,True,True,False,,False,True,False,,False,True,False
Alaska,200,90.9,107.8,100.3,340.0,239.5,136.0,,,108.6,258.0,,123.9,118.0,100.4,-109.1,-92.2,-99.7,140.0,39.5,-64.0,,,-91.4,58.0,,-76.1,-82.0,-99.6,True,True,False,True,True,,,True,True,,True,True,True
Arizona,8424,7432.6,9179.9,7326.2,10045.0,6960.3,6334.0,,6860.0,7262.0,6808.9,,7153.5,8656.0,6642.4,-991.4,755.9,-1097.8,1621.0,-1463.7,-2090.0,,-1564.0,-1162.0,-1615.1,,-1270.5,232.0,-1781.6,True,False,False,False,False,,False,False,False,,False,True,False
Arkansas,3441,2955.9,3221.4,3070.0,4387.0,3274.7,2986.0,,3069.0,3243.7,2938.1,,2770.5,3143.0,2446.2,-485.1,-219.6,-371.0,946.0,-166.3,-455.0,,-372.0,-197.3,-502.9,,-670.5,-298.0,-994.8,True,True,False,True,True,,True,True,False,,False,True,False
California,24218,20043.9,20732.9,20073.2,21789.0,21425.9,18730.0,,19986.0,20439.8,20488.5,,19930.9,21152.0,19782.7,-4174.1,-3485.1,-4144.8,-2429.0,-2792.1,-5488.0,,-4232.0,-3778.2,-3729.5,,-4287.1,-3066.0,-4435.3,True,True,True,True,False,,False,True,True,,False,True,False
Colorado,4592,3120.9,4976.0,3117.4,12291.0,3752.8,9983.0,,3023.0,3441.9,3675.3,,2913.2,3720.0,2570.6,-1471.1,384.0,-1474.6,7699.0,-839.2,5391.0,,-1569.0,-1150.1,-916.7,,-1678.8,-872.0,-2021.4,True,False,False,True,False,,False,True,True,,False,True,False
Connecticut,5791,5048.1,5222.9,5102.0,7994.0,5599.8,5590.0,,5011.0,5332.2,5544.6,,4904.1,5272.0,4690.0,-742.9,-568.1,-689.0,2203.0,-191.2,-201.0,,-780.0,-458.8,-246.4,,-886.9,-519.0,-1101.0,True,True,False,True,True,,False,True,True,,False,True,False
Delaware,895,772.9,766.4,789.0,1154.0,906.8,796.0,,818.0,871.2,862.1,,734.6,859.0,767.9,-122.1,-128.6,-106.0,259.0,11.8,-99.0,,-77.0,-23.8,-32.9,,-160.4,-36.0,-127.1,False,True,False,True,True,,True,True,True,,False,True,False
District of Columbia,762,708.9,1079.0,713.3,717.0,680.4,671.0,,667.0,683.6,702.0,,698.3,721.0,669.0,-53.1,317.0,-48.7,-45.0,-81.6,-91.0,,-95.0,-78.4,-60.0,,-63.7,-41.0,-93.0,False,True,True,False,False,,False,False,False,,False,True,False
Florida,21135,19397.6,19683.1,19469.2,24440.0,22592.0,18846.0,,19736.0,21417.7,20075.5,,19279.8,20079.0,19044.4,-1737.4,-1451.9,-1665.8,3305.0,1457.0,-2289.0,,-1399.0,282.7,-1059.5,,-1855.2,-1056.0,-2090.6,True,True,False,True,False,,True,True,True,,False,True,False
