,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,4685,3323.9,3028.5,5251.9,3551.0,3172.1,-1361.1,-1656.5,566.9,-1134.0,-1512.9,False,True,True,False
Alaska,200,197.4,114.6,47.4,,86.2,-2.6,-85.4,-152.6,,-113.8,False,False,,False
Arizona,8424,7500.1,6899.7,9006.5,6807.0,6859.2,-923.9,-1524.3,582.5,-1617.0,-1564.8,False,True,False,False
Arkansas,3441,2940.9,3709.4,3110.7,2141.0,2204.6,-500.1,268.4,-330.3,-1300.0,-1236.4,True,True,False,False
California,24225,23191.7,19562.8,39897.6,19744.0,20500.7,-1033.3,-4662.2,15672.6,-4481.0,-3724.3,False,False,False,False
Colorado,4592,2388.1,2680.8,3272.6,2318.0,2213.0,-2203.9,-1911.2,-1319.4,-2274.0,-2379.0,True,True,False,False
Connecticut,5791,4616.7,4615.3,6630.4,4610.0,4571.2,-1174.3,-1175.7,839.4,-1181.0,-1219.8,False,True,False,False
Delaware,895,787.3,764.6,998.0,697.0,696.3,-107.7,-130.4,103.0,-198.0,-198.7,False,True,False,False
District of Columbia,762,675.4,654.7,787.8,641.0,654.3,-86.6,-107.3,25.8,-121.0,-107.7,False,True,False,False
Florida,21135,23494.9,19315.5,26527.3,18001.0,19314.8,2359.9,-1819.5,5392.3,-3134.0,-1820.2,True,False,False,True
Georgia,10685,11368.9,8402.0,11398.0,8988.0,9684.3,683.9,-2283.0,713.0,-1697.0,-1000.7,False,False,False,False
Hawaii,285,286.3,195.1,171.9,,214.9,1.3,-89.9,-113.1,,-70.1,False,False,,False
Idaho,1354,678.6,819.5,1096.0,697.0,696.1,-675.4,-534.5,-258.0,-657.0,-657.9,True,True,True,True
Illinois,17224,10889.3,10194.1,14443.9,10245.0,10405.4,-6334.7,-7029.9,-2780.1,-6979.0,-6818.6,False,True,False,False
Indiana,7801,4531.4,4340.2,6924.7,4393.0,4182.6,-3269.6,-3460.8,-876.3,-3408.0,-3618.4,False,True,False,False
Iowa,3743,1971.7,1801.5,2156.3,2033.0,1971.7,-1771.3,-1941.5,-1586.7,-1710.0,-1771.3,False,True,True,False
Kansas,2503,1149.3,1326.8,3687.4,1006.0,1079.4,-1353.7,-1176.2,1184.4,-1497.0,-1423.6,True,True,False,False
Kentucky,2534,1748.4,1693.4,3844.2,1678.0,1976.4,-785.6,-840.6,1310.2,-856.0,-557.6,False,False,False,True
Louisiana,7272,6712.1,6201.5,8260.1,6622.0,7216.2,-559.9,-1070.5,988.1,-650.0,-55.8,False,False,False,True
Maine,319,152.9,185.3,215.6,249.0,149.7,-166.1,-133.7,-103.4,-70.0,-169.3,True,True,True,False
Maryland,5680,4655.0,4271.4,5090.4,4474.0,4218.7,-1025.0,-1408.6,-589.6,-1206.0,-1461.3,False,True,False,False
Massachusetts,12010,10612.6,10670.8,12903.3,9901.0,9831.1,-1397.4,-1339.2,893.3,-2109.0,-2178.9,True,True,False,False
Michigan,12690,8008.3,7728.5,9261.3,8078.0,7571.8,-4681.7,-4961.5,-3428.7,-4612.0,-5118.2,False,True,True,False
Minnesota,5166,2612.9,2626.1,4850.9,2812.0,2842.6,-2553.1,-2539.9,-315.1,-2354.0,-2323.4,True,True,True,True
Mississippi,4565,4320.4,3705.2,4792.3,3805.0,3928.2,-244.6,-859.8,227.3,-760.0,-636.8,False,True,False,False
Missouri,5470,4971.6,3563.1,5520.2,2586.0,3067.2,-498.4,-1906.9,50.2,-2884.0,-2402.8,False,True,False,False
Montana,919,378.7,659.5,633.5,377.0,299.6,-540.3,-259.5,-285.5,-542.0,-619.4,True,True,False,False
Nebraska,1559,830.0,815.6,1722.4,757.0,596.6,-729.0,-743.4,163.4,-802.0,-962.4,False,True,False,False
Nevada,2942,2279.3,2175.3,3380.3,2012.0,2493.1,-662.7,-766.7,438.3,-930.0,-448.9,False,True,False,True
New Hampshire,701,451.9,472.0,626.5,468.0,475.8,-249.1,-229.0,-74.5,-233.0,-225.2,True,True,True,True
New Jersey,18613,16607.4,16542.4,22978.1,16447.0,16384.3,-2005.6,-2070.6,4365.1,-2166.0,-2228.7,False,False,False,False
New Mexico,2316,1140.0,1142.7,1535.3,1101.0,1002.2,-1176.0,-1173.3,-780.7,-1215.0,-1313.8,True,True,False,False
New York,37286,33696.7,33446.5,36801.9,33478.0,33460.0,-3427.3,-3677.5,-322.1,-3646.0,-3664.0,False,True,False,False
North Carolina,6526,5986.7,5671.9,9689.7,5449.0,4981.6,-539.3,-854.1,3163.7,-1077.0,-1544.4,False,False,False,False
North Dakota,1264,732.4,680.2,575.8,418.0,329.5,-531.6,-583.8,-688.2,-846.0,-934.5,False,False,False,False
Ohio,8476,6361.0,6196.7,9324.3,5863.0,6043.4,-2115.0,-2279.3,848.3,-2613.0,-2432.6,False,True,False,False
Oklahoma,2357,1777.4,1730.3,2672.1,1624.0,1658.9,-579.6,-626.7,315.1,-733.0,-698.1,False,True,False,False
Oregon,1422,761.6,802.4,1082.3,747.0,811.4,-660.4,-619.6,-339.7,-675.0,-610.6,True,True,False,True
Pennsylvania,14858,9706.0,9491.9,12729.8,9319.0,8772.8,-5152.0,-5366.1,-2128.2,-5539.0,-6085.2,False,True,False,False
Rhode Island,1704,1351.3,1335.1,1839.4,1196.0,1194.7,-352.7,-368.9,135.4,-508.0,-509.3,False,True,False,False
South Carolina,5124,4958.9,4619.7,6235.3,4247.0,4695.9,-165.1,-504.3,1111.3,-877.0,-428.1,False,False,False,False
