,mean_rank
Google_Harvard-CPF,11.4
Karlen-pypm,12.6
UCSD_NEU-DeepGLEAM,14.7
JCB-PRM,15.1
MIT_CritData-GBCF,15.5
USC-SI_kJalpha,15.5
MSRA-DeepST,15.5
MOBS-GLEAM_COVID,15.8
COVIDhub-ensemble,15.8
OliverWyman-Navigator,16.0
JHU_CSSE-DECOM,16.0
SteveMcConnell-CovidComplete,16.0
GT-DeepCOVID,16.1
CMU-TimeSeries,16.8
BPagano-RtDriven,17.0
Caltech-CS156,17.3
UCSB-ACTS,17.9
CovidAnalytics-DELPHI,18.1
UMass-MechBayes,18.1
Covid19Sim-Simulator,18.8
JHUAPL-Bucky,19.9
Columbia_UNC-SurvCon,20.0
IowaStateLW-STEM,20.2
JHU_IDD-CovidSP,21.2
UA-EpiCovDA,21.6
TTU-squider,23.5
epiforecasts-ensemble1,23.7
LNQ-ens1,23.8
LANL-GrowthRate,24.0
NotreDame-mobility,25.0
COVIDhub-baseline,25.3
CEID-Walk,25.5
USACE-ERDC_SEIR,25.9
CU-select,26.1
PSI-DRAFT,26.2
UT-Mobility,27.3
UCLA-SuEIR,27.6
DDS-NBDS,27.7
RobertWalraven-ESG,28.1
WalmartLabsML-LogForecasting,37.2
