,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4685,4208.6,4972.8,4230.3,4221.0,3550.0,,4039.0,4324.9,3759.0,4090.8,4387.0,,3836.2,7565.5,,3510.5,4784.6,3611.8,-476.4,287.8,-454.7,-464.0,-1135.0,,-646.0,-360.1,-926.0,-594.2,-298.0,,-848.8,2880.5,,-1174.5,99.6,-1073.2,True,True,True,False,,False,True,False,False,True,,False,False,,False,True,False
Alaska,200,180.0,206.4,182.0,236.0,147.0,,,181.2,182.8,254.2,143.0,,120.8,196.0,,136.6,262.0,118.2,-20.0,6.4,-18.0,36.0,-53.0,,,-18.8,-17.2,54.2,-57.0,,-79.2,-4.0,,-63.4,62.0,-81.8,True,True,False,False,,,True,True,False,False,,False,True,,False,False,False
Arizona,8424,7110.3,7096.7,7217.5,11226.0,6462.0,,7073.0,8166.6,8185.5,7719.9,8262.0,,7216.9,11570.0,,6887.1,8879.6,6731.4,-1313.7,-1327.3,-1206.5,2802.0,-1962.0,,-1351.0,-257.4,-238.5,-704.1,-162.0,,-1207.1,3146.0,,-1536.9,455.6,-1692.6,False,True,False,False,,False,True,True,True,True,,True,False,,False,True,False
Arkansas,3441,2757.0,2600.8,2705.4,4505.0,2970.0,,3017.0,3289.8,3874.3,2851.9,2745.0,,2301.9,2777.0,,2495.2,2825.3,2501.6,-684.0,-840.2,-735.6,1064.0,-471.0,,-424.0,-151.2,433.3,-589.1,-696.0,,-1139.1,-664.0,,-945.8,-615.7,-939.4,False,False,False,True,,True,True,True,True,False,,False,True,,False,True,False
California,24225,19954.7,21263.5,20005.9,23212.0,18860.0,,19880.0,21326.0,22248.0,22666.4,20179.0,,19874.9,23599.0,,19932.2,26668.5,19819.9,-4267.3,-2958.5,-4216.1,-1010.0,-5362.0,,-4342.0,-2896.0,-1974.0,-1555.6,-4043.0,,-4347.1,-623.0,,-4289.8,2446.5,-4402.1,True,True,True,False,,False,True,True,True,True,,False,True,,False,True,False
Colorado,4592,3436.3,4318.7,3341.4,8375.0,8417.0,,3387.0,4056.3,4579.9,4158.6,5041.0,,3741.7,7141.0,,3069.6,7642.4,2742.9,-1155.7,-273.3,-1250.6,3783.0,3825.0,,-1205.0,-535.7,-12.1,-433.4,449.0,,-850.3,2549.0,,-1522.4,3050.4,-1849.1,True,False,False,False,,False,True,True,True,True,,True,False,,False,False,False
Connecticut,5791,5123.6,5229.7,5153.4,7030.0,5934.0,,5090.0,5502.8,6285.1,5685.3,5448.0,,5026.8,4752.0,,4964.8,8334.2,4807.1,-667.4,-561.3,-637.6,1239.0,143.0,,-701.0,-288.2,494.1,-105.7,-343.0,,-764.2,-1039.0,,-826.2,2543.2,-983.9,True,True,False,True,,False,True,True,True,True,,False,False,,False,False,False
Delaware,1017,841.4,876.4,860.2,1253.0,821.0,,835.0,951.3,964.0,902.0,852.0,,993.0,959.0,,751.8,1269.8,781.5,-142.6,-107.6,-123.8,269.0,-163.0,,-149.0,-32.7,-20.0,-82.0,-132.0,,9.0,-25.0,,-232.2,285.8,-202.5,True,True,False,False,,False,True,True,True,True,,True,True,,False,False,False
District of Columbia,762,695.1,698.3,687.6,804.0,701.0,,672.0,721.8,764.5,743.3,688.0,,684.1,679.0,,666.7,958.5,672.8,-66.9,-63.7,-74.4,42.0,-61.0,,-90.0,-40.2,2.5,-18.7,-74.0,,-77.9,-83.0,,-95.3,196.5,-89.2,True,False,True,True,,False,True,True,True,False,,False,False,,False,False,False
Florida,21135,19843.3,21428.5,19820.4,20436.0,18935.0,,19750.0,21196.2,19649.7,22161.1,19449.0,,20446.1,27210.0,,19693.2,22158.7,19216.8,-1291.7,293.5,-1314.6,-699.0,-2200.0,,-1385.0,61.2,-1485.3,1026.1,-1686.0,,-688.9,6075.0,,-1441.8,1023.7,-1918.2,True,False,True,False,,False,True,False,True,False,,True,False,,False,True,False
