,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4685,3556.9,3556.8,4162.7,5585.1,3461.0,,,3337.7,-1128.1,-1128.2,-522.3,900.1,-1224.0,,,-1347.3,False,True,True,False,,,False
Alaska,200,76.9,77.8,192.6,159.3,,,,90.0,-123.1,-122.2,-7.4,-40.7,,,,-110.0,True,True,True,,,,True
Arizona,8424,6290.3,6683.4,6740.4,6649.8,6297.0,,,6406.7,-2133.7,-1740.6,-1683.6,-1774.2,-2127.0,,,-2017.3,True,True,True,True,,,True
Arkansas,3441,2768.6,2614.0,3076.5,3362.1,2874.0,,,2466.8,-672.4,-827.0,-364.5,-78.9,-567.0,,,-974.2,False,True,True,True,,,False
California,24225,20714.9,24503.0,21471.6,22645.8,19751.0,,,20214.4,-3510.1,278.0,-2753.4,-1579.2,-4474.0,,,-4010.6,True,True,True,False,,,False
Colorado,4592,2639.3,2419.7,3356.6,3878.8,2536.0,,,2391.2,-1952.7,-2172.3,-1235.4,-713.2,-2056.0,,,-2200.8,False,True,True,False,,,False
Connecticut,5791,4887.0,5473.0,5106.0,4730.0,4713.0,,,4698.5,-904.0,-318.0,-685.0,-1061.0,-1078.0,,,-1092.5,True,True,False,False,,,False
Delaware,1017,822.7,861.8,808.7,830.8,743.0,,,743.8,-159.3,-120.2,-173.3,-151.2,-239.0,,,-238.2,True,False,True,False,,,False
District of Columbia,762,650.9,645.1,720.6,764.3,659.0,,,655.1,-111.1,-116.9,-41.4,2.3,-103.0,,,-106.9,False,True,True,True,,,True
Florida,21135,20521.0,20161.7,22328.4,25338.1,19884.0,,,19489.7,-614.0,-973.3,1193.4,4203.1,-1251.0,,,-1645.3,False,False,False,False,,,False
Georgia,10685,9323.6,9860.7,9899.2,10750.2,9284.0,,,9360.4,-1361.4,-824.3,-785.8,65.2,-1401.0,,,-1324.6,True,True,True,False,,,True
Hawaii,285,433.4,846.0,376.6,389.8,,,,268.7,148.4,561.0,91.6,104.8,,,,-16.3,False,True,True,,,,True
Idaho,1354,971.6,1967.7,973.6,803.1,859.0,,,822.3,-382.4,613.7,-380.4,-550.9,-495.0,,,-531.7,False,True,False,False,,,False
Illinois,17224,12441.0,15237.8,14299.4,14823.5,11629.0,,,11148.1,-4783.0,-1986.2,-2924.6,-2400.5,-5595.0,,,-6075.9,True,True,True,False,,,False
Indiana,8904,5839.4,7336.1,7021.0,7365.3,5549.0,,,4940.6,-2930.6,-1433.9,-1749.0,-1404.7,-3221.0,,,-3829.4,True,True,True,False,,,False
Iowa,3743,2547.3,3294.0,2663.5,2899.0,2259.5,,,2233.6,-1195.7,-449.0,-1079.5,-844.0,-1483.5,,,-1509.4,True,True,True,False,,,False
Kansas,2503,1815.1,2463.0,1903.6,2632.8,1493.0,,,1418.5,-668.9,-21.0,-580.4,148.8,-991.0,,,-1065.5,True,True,True,False,,,False
Kentucky,2534,2195.3,3121.7,2268.9,2474.5,2094.0,,,2079.4,-338.7,587.7,-265.1,-59.5,-440.0,,,-454.6,False,True,True,False,,,False
Louisiana,7272,6607.6,6519.3,6674.1,7249.8,6548.0,,,6895.9,-664.4,-752.7,-597.9,-22.2,-724.0,,,-376.1,False,True,True,False,,,True
Maine,319,146.0,150.9,160.8,168.6,174.0,,,149.1,-173.0,-168.1,-158.2,-150.4,-145.0,,,-169.9,True,True,True,True,,,True
Maryland,5680,4618.6,4647.3,4519.9,5040.7,4340.0,,28351.0,4322.8,-1061.4,-1032.7,-1160.1,-639.3,-1340.0,,22671.0,-1357.2,True,False,True,False,,False,False
Massachusetts,12010,10988.9,11174.0,11686.2,11673.3,10730.0,,,10254.2,-1021.1,-836.0,-323.8,-336.7,-1280.0,,,-1755.8,True,True,True,False,,,False
Michigan,12690,9134.0,11691.0,10062.4,11018.7,9170.0,,,8154.1,-3556.0,-999.0,-2627.6,-1671.3,-3520.0,,,-4535.9,True,True,True,True,,,False
Minnesota,5166,3420.6,4159.3,4014.8,4594.5,3561.0,,,3074.1,-1745.4,-1006.7,-1151.2,-571.5,-1605.0,,,-2091.9,True,True,True,True,,,False
Mississippi,4565,3999.0,4062.1,4149.9,4554.4,3882.0,,,3919.4,-566.0,-502.9,-415.1,-10.6,-683.0,,,-645.6,True,True,True,False,,,False
Missouri,5500,4839.4,4802.4,5448.8,4575.4,3991.0,,,3232.9,-641.6,-678.6,-32.2,-905.6,-1490.0,,,-2248.1,False,True,False,False,,,False
Montana,919,793.0,984.9,939.7,903.1,607.0,,,468.3,-126.0,65.9,20.7,-15.9,-312.0,,,-450.7,True,True,True,False,,,False
Nebraska,1559,1021.1,2104.7,1118.8,1011.0,967.0,,,766.2,-537.9,545.7,-440.2,-548.0,-592.0,,,-792.8,False,True,False,False,,,False
Nevada,2942,2045.1,1948.0,2365.1,3001.8,2087.0,,,2275.5,-892.9,-990.0,-572.9,63.8,-851.0,,,-662.5,False,True,True,True,,,True
New Hampshire,701,535.0,488.5,760.4,1221.0,551.0,,,512.5,-166.0,-212.5,59.4,520.0,-150.0,,,-188.5,False,True,False,True,,,False
New Jersey,18613,16940.4,17486.8,17699.9,16592.1,16642.0,,,16602.2,-1672.6,-1126.2,-913.1,-2020.9,-1971.0,,,-2010.8,True,True,False,False,,,False
New Mexico,2316,1259.3,1618.5,1670.7,1793.8,1162.0,,,1114.1,-1056.7,-697.5,-645.3,-522.2,-1154.0,,,-1201.9,True,True,True,False,,,False
New York,37286,33997.7,33795.8,35329.2,34825.6,33920.0,,,33780.6,-3068.3,-3270.2,-1736.8,-2240.4,-3146.0,,,-3285.4,False,True,True,False,,,False
North Carolina,6526,6132.1,8169.7,6169.2,6359.3,5816.0,,,5288.1,-393.9,1643.7,-356.8,-166.7,-710.0,,,-1237.9,False,True,True,False,,,False
North Dakota,1264,916.6,772.8,1485.6,1025.0,980.0,,,748.2,-347.4,-491.2,221.6,-239.0,-284.0,,,-515.8,False,True,True,True,,,False
Ohio,12625,6437.1,14292.5,6945.0,7440.5,6638.0,,,6150.9,-6352.9,1502.5,-5845.0,-5349.5,-6152.0,,,-6639.1,True,True,True,True,,,False
Oklahoma,2357,1939.9,2649.7,1840.3,2623.7,1887.0,,,1799.6,-417.1,292.7,-516.7,266.7,-470.0,,,-557.4,True,False,True,False,,,False
Oregon,1422,945.3,1212.2,973.2,1045.4,828.0,,,892.9,-476.7,-209.8,-448.8,-376.6,-594.0,,,-529.1,True,True,True,False,,,False
Pennsylvania,14858,10259.0,11180.6,11187.8,13090.8,9996.0,,,9323.7,-4599.0,-3677.4,-3670.2,-1767.2,-4862.0,,,-5534.3,True,True,True,False,,,False
Rhode Island,1856,1398.4,1535.8,1717.9,1467.2,1354.0,,,1264.5,-441.6,-304.2,-122.1,-372.8,-486.0,,,-575.5,True,True,True,False,,,False
South Carolina,5124,5148.3,7156.1,4587.6,5284.2,4427.0,,,4763.6,24.3,2032.1,-536.4,160.2,-697.0,,,-360.4,False,False,False,False,,,False
South Dakota,1446,835.6,1008.8,1071.3,759.4,718.0,,,604.1,-610.4,-437.2,-374.7,-686.6,-728.0,,,-841.9,True,True,False,False,,,False
Tennessee,6443,5097.3,6313.5,5751.7,5746.8,4746.0,,,4629.2,-1345.7,-129.5,-691.3,-696.2,-1697.0,,,-1813.8,True,True,True,False,,,False
Texas,27075,22295.0,22511.3,21975.3,23551.3,22012.0,,37575.0,21444.9,-4474.0,-4257.7,-4793.7,-3217.7,-4757.0,,10806.0,-5324.1,True,False,True,False,,False,False
Utah,1212,828.9,925.2,1244.2,1436.9,924.0,,,820.6,-383.1,-286.8,32.2,224.9,-288.0,,,-391.4,True,True,True,True,,,False
Vermont,121,58.0,58.7,60.5,61.6,58.0,,,58.0,-63.0,-62.3,-60.5,-59.4,-63.0,,,-63.0,True,True,True,False,,,False
Virginia,4840,4859.3,7422.9,4490.0,4251.1,4497.0,,,4148.2,23.3,2586.9,-346.0,-584.9,-339.0,,,-687.8,False,False,False,False,,,False
Washington,3184,2800.9,3537.6,2899.4,2961.6,2774.0,,,2765.4,-394.1,342.6,-295.6,-233.4,-421.0,,,-429.6,True,True,True,False,,,False
West Virginia,1253,628.7,1233.8,662.2,676.1,716.0,,,598.6,-624.3,-19.2,-590.8,-576.9,-537.0,,,-654.4,True,True,True,True,,,False
Wisconsin,5029,3584.9,6266.3,3506.1,4420.5,3325.0,,,2793.9,-1141.1,1540.3,-1219.9,-305.5,-1401.0,,,-1932.1,False,False,True,False,,,False
Wyoming,373,165.4,652.2,203.6,93.2,110.0,,,92.2,-207.6,279.2,-169.4,-279.8,-263.0,,,-280.8,False,True,False,False,,,False
US,337631,274430.4,304518.9,316164.2,306600.9,268684.0,296503.8,263674.0,261957.8,-62314.6,-32226.1,-20580.8,-30144.1,-68061.0,-40241.2,-73071.0,-74787.2,True,True,True,False,True,False,False
