,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4685,3628.7,3171.3,3308.7,4700.0,,3212.5,-1056.3,-1513.7,-1376.3,15.0,,-1472.5,False,False,True,,False
Alaska,200,58.9,107.2,53.5,,,62.3,-141.1,-92.8,-146.5,,,-137.7,True,False,,,True
Arizona,8424,7624.9,6786.3,8940.9,6731.0,,6769.0,-799.1,-1637.7,516.9,-1693.0,,-1655.0,False,True,False,,False
Arkansas,3441,3952.4,3341.0,2951.9,3360.0,,2432.6,511.4,-100.0,-489.1,-81.0,,-1008.4,True,True,True,,False
California,24225,23856.9,18401.7,40650.5,21157.0,,20784.3,-368.1,-5823.3,16425.5,-3068.0,,-3440.7,False,False,False,,False
Colorado,4592,2374.3,2457.0,3707.2,2324.0,,2176.2,-2217.7,-2135.0,-884.8,-2268.0,,-2415.8,True,True,False,,False
Connecticut,5791,4658.3,4606.3,5811.8,4693.0,,4576.1,-1132.7,-1184.7,20.8,-1098.0,,-1214.9,False,True,True,,False
Delaware,1017,704.1,747.4,928.9,702.0,,677.7,-298.9,-255.6,-74.1,-301.0,,-325.3,True,True,False,,False
District of Columbia,762,675.4,660.0,971.5,654.0,,646.0,-86.6,-102.0,209.5,-108.0,,-116.0,False,False,False,,False
Florida,21135,22829.7,19393.4,26115.6,19644.0,,18950.0,1694.7,-1741.6,4980.6,-1491.0,,-2185.0,False,False,True,,False
Georgia,10685,10329.6,8480.4,12203.5,9676.0,,9594.2,-355.4,-2204.6,1518.5,-1009.0,,-1090.8,False,False,False,,False
Hawaii,285,411.0,173.5,184.2,,,261.0,126.0,-111.5,-100.8,,,-24.0,True,True,,,True
Idaho,1354,831.0,764.2,1095.6,874.0,,707.1,-523.0,-589.8,-258.4,-480.0,,-646.9,False,True,True,,False
Illinois,17224,10695.3,9979.2,14680.7,10114.0,,10137.5,-6528.7,-7244.8,-2543.3,-7110.0,,-7086.5,False,True,False,,False
Indiana,8904,4448.3,4303.0,6134.3,4519.0,,4126.9,-4473.7,-4619.0,-2787.7,-4403.0,,-4795.1,False,True,True,,False
Iowa,3743,1888.6,1745.3,3265.0,2145.0,,1893.9,-1854.4,-1997.7,-478.0,-1598.0,,-1849.1,False,True,True,,True
Kansas,2503,1523.4,1262.9,2915.2,1068.0,,1113.8,-978.6,-1239.1,413.2,-1434.0,,-1388.2,False,True,False,,False
Kentucky,2534,1817.7,1859.0,3890.7,2351.0,,1990.2,-716.3,-675.0,1356.7,-183.0,,-543.8,True,False,True,,True
Louisiana,7272,7211.0,6255.3,7702.3,7468.0,,7618.0,-61.0,-1016.7,430.3,196.0,,346.0,False,False,False,,False
Maine,319,180.6,162.0,190.5,298.0,,157.1,-138.4,-157.0,-128.5,-21.0,,-161.9,False,True,True,,False
Maryland,5680,4447.1,4363.7,6972.8,4357.0,,4177.5,-1232.9,-1316.3,1292.8,-1323.0,,-1502.5,False,False,False,,False
Massachusetts,12010,10695.7,9627.8,13495.7,9760.0,,9742.9,-1314.3,-2382.2,1485.7,-2250.0,,-2267.1,False,False,False,,False
Michigan,12690,7772.7,7834.2,8531.0,8482.0,,7327.5,-4917.3,-4855.8,-4159.0,-4208.0,,-5362.5,True,True,True,,False
Minnesota,5166,2654.4,2554.2,4595.9,3158.0,,2854.9,-2511.6,-2611.8,-570.1,-2008.0,,-2311.1,False,True,True,,True
Mississippi,4565,4375.9,3387.0,3554.9,4944.0,,3916.8,-189.1,-1178.0,-1010.1,379.0,,-648.2,False,False,False,,False
Missouri,5500,3142.4,3123.3,4971.3,3250.0,,2490.8,-2328.6,-2347.7,-499.7,-2221.0,,-2980.2,False,True,True,,False
Montana,919,461.9,517.7,445.6,333.0,,303.5,-457.1,-401.3,-473.4,-586.0,,-615.5,True,False,False,,False
Nebraska,1559,552.9,894.4,1707.8,677.0,,514.0,-1006.1,-664.6,148.8,-882.0,,-1045.0,True,True,True,,False
Nevada,2942,2625.7,1931.8,3036.7,2166.0,,2583.4,-316.3,-1010.2,94.7,-776.0,,-358.6,False,True,False,,False
New Hampshire,701,465.7,505.7,511.7,479.0,,486.5,-235.3,-195.3,-189.3,-222.0,,-214.5,True,True,True,,True
New Jersey,18613,16565.9,16552.4,22356.7,16976.0,,16390.8,-2047.1,-2060.6,3743.7,-1637.0,,-2222.2,False,False,True,,False
New Mexico,2316,1209.3,1037.5,1965.7,1319.0,,995.0,-1106.7,-1278.5,-350.3,-997.0,,-1321.0,False,True,True,,False
New York,37286,33973.9,33428.6,42485.3,34222.0,,33487.4,-3312.1,-3857.4,5199.3,-3064.0,,-3798.6,False,False,True,,False
North Carolina,6526,5889.7,4766.0,9907.1,6334.0,,4806.0,-636.3,-1760.0,3381.1,-192.0,,-1720.0,False,False,True,,False
North Dakota,1264,524.6,569.4,592.6,426.0,,211.8,-739.4,-694.6,-671.4,-838.0,,-1052.2,True,True,False,,False
Ohio,12625,7386.4,6158.2,10339.1,6666.0,,6290.9,-5614.6,-6842.8,-2661.9,-6335.0,,-6710.1,False,True,False,,False
Oklahoma,2357,1514.1,1594.7,1815.0,2113.0,,1555.8,-842.9,-762.3,-542.0,-244.0,,-801.2,True,True,True,,True
Oregon,1422,761.6,818.6,1346.0,749.0,,795.8,-660.4,-603.4,-76.0,-673.0,,-626.2,True,True,False,,True
Pennsylvania,14858,9775.3,9296.9,13615.8,9061.0,,8539.7,-5082.7,-5561.1,-1242.2,-5797.0,,-6318.3,False,True,False,,False
Rhode Island,1856,1323.6,1296.5,1803.8,1166.0,,1175.7,-505.4,-532.5,-25.2,-663.0,,-653.3,False,True,False,,False
South Carolina,5124,5069.7,5272.4,6268.1,5002.0,,4688.1,-54.3,148.4,1144.1,-122.0,,-435.9,False,False,False,,False
