,total_deaths_2020-11-15,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
QJHong-Encounter,247585,330041.5,337631,83834.5,90046,-6211.5,-6.9%
PSI-DRAFT,247585,328767.5,337631,82560.5,90046,-7485.5,-8.3%
Columbia_UNC-SurvCon,247585,348855.0,337631,102648.0,90046,12602.0,14.0%
JCB-PRM,247585,323323.6,337631,77116.6,90046,-12929.4,-14.4%
BPagano-RtDriven,247585,320435.2,337631,74228.2,90046,-15817.8,-17.6%
JHU_IDD-CovidSP,247585,317464.7,337631,71257.7,90046,-18788.3,-20.9%
LANL-GrowthRate,247585,315752.5,337631,69545.5,90046,-20500.5,-22.8%
IBF-TimeSeries,247585,308122.0,337631,61915.0,90046,-28131.0,-31.2%
CovidAnalytics-DELPHI,247585,308114.0,337631,61907.0,90046,-28139.0,-31.2%
JHUAPL-Bucky,247585,367809.5,337631,121602.5,90046,31556.5,35.0%
NotreDame-mobility,247585,301995.2,337631,55788.2,90046,-34257.8,-38.0%
UCLA-SuEIR,247585,296081.3,337631,49874.3,90046,-40171.7,-44.6%
IowaStateLW-STEM,247585,293361.0,337631,47154.0,90046,-42892.0,-47.6%
Baseline,247585,291424.1,337631,45217.1,90046,-44828.9,-49.8%
COVIDhub-baseline,247585,291052.3,337631,44845.3,90046,-45200.7,-50.2%
WalmartLabsML-LogForecasting,247585,266983.1,337631,20776.1,90046,-69269.9,-76.9%
USACE-ERDC_SEIR,247585,414718.5,337631,168511.5,90046,78465.5,87.1%
NotreDame-FRED,247585,,337631,,90046,,
