,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4685,4780.4,5005.2,4794.7,4894.0,4792.0,4742.0,4528.0,4581.2,4414.0,4492.7,4578.0,4702.5,4610.6,4527.4,,5101.5,4908.0,4833.2,4755.6,4693.0,4378.4,5072.3,4881.0,4774.4,4654.0,4863.8,4737.8,4759.1,,4503.4,5158.3,4680.0,,4380.4,5326.9,5097.0,4655.5,4648.0,4869.8,,4535.9,4881.9,4666.0,,4762.0,4396.0,4464.9,4153.3,4938.0,95.4,320.2,109.7,209.0,107.0,57.0,-157.0,-103.8,-271.0,-192.3,-107.0,17.5,-74.4,-157.6,,416.5,223.0,148.2,70.6,8.0,-306.6,387.3,196.0,89.4,-31.0,178.8,52.8,74.1,,-181.6,473.3,-5.0,,-304.6,641.9,412.0,-29.5,-37.0,184.8,,-149.1,196.9,-19.0,,77.0,-289.0,-220.1,-531.7,253.0,False,False,False,False,True,False,False,False,False,False,True,True,False,,False,False,False,True,True,False,False,False,True,True,False,True,True,,False,False,True,,False,False,False,True,True,False,,False,False,True,,True,False,False,False,False
Alaska,200,205.9,229.3,205.3,235.0,209.0,206.0,202.0,189.3,164.0,204.6,188.0,176.2,198.3,218.3,,175.1,,176.7,197.4,238.0,220.1,201.2,214.0,214.1,258.0,227.7,225.5,230.1,,165.2,197.6,207.0,,,264.2,204.0,211.5,248.0,206.1,,238.5,241.1,213.0,,200.0,172.0,196.5,162.9,205.0,5.9,29.3,5.3,35.0,9.0,6.0,2.0,-10.7,-36.0,4.6,-12.0,-23.8,-1.7,18.3,,-24.9,,-23.3,-2.6,38.0,20.1,1.2,14.0,14.1,58.0,27.7,25.5,30.1,,-34.8,-2.4,7.0,,,64.2,4.0,11.5,48.0,6.1,,38.5,41.1,13.0,,0.0,-28.0,-3.5,-37.1,5.0,False,True,False,False,False,True,False,False,True,False,False,True,False,,False,,False,True,False,False,True,False,False,False,False,False,False,,False,True,False,,,False,True,False,False,False,,False,False,False,,True,False,True,False,True
Arizona,8424,7852.9,8341.8,7830.3,8055.0,7827.9,7941.0,7874.0,8066.3,7645.0,7915.8,7244.0,7841.4,8209.8,7933.3,,7552.0,7755.0,8191.3,8287.0,7966.0,7941.2,8303.4,8578.0,8166.8,8086.0,7985.3,8061.9,8069.8,,7878.6,8130.2,7786.5,,7949.5,,8223.0,8452.9,8067.0,7843.6,,7857.4,8017.3,8424.0,,8198.0,7983.0,7507.8,7223.5,8107.0,-571.1,-82.2,-593.7,-369.0,-596.1,-483.0,-550.0,-357.7,-779.0,-508.2,-1180.0,-582.6,-214.2,-490.7,,-872.0,-669.0,-232.7,-137.0,-458.0,-482.8,-120.6,154.0,-257.2,-338.0,-438.7,-362.1,-354.2,,-545.4,-293.8,-637.5,,-474.5,,-201.0,28.9,-357.0,-580.4,,-566.6,-406.7,0.0,,-226.0,-441.0,-916.2,-1200.5,-317.0,True,False,True,False,True,True,True,False,True,False,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,,True,True,True,False,,True,True,True,,True,True,False,False,True
Arkansas,3441,3202.9,3069.8,3117.2,3277.0,3133.0,3133.0,3001.0,3130.5,2749.0,3029.5,3218.0,3047.6,3193.2,3137.1,,3458.5,3133.0,3181.2,3176.8,3127.0,2986.1,3292.2,3153.0,3263.3,3164.0,3100.6,3215.9,3221.0,,3107.8,3334.3,2939.0,,3219.1,3212.1,3229.0,3493.7,3189.0,3264.3,,3110.8,3130.1,3370.0,,3206.0,3045.0,2984.2,2887.7,3026.0,-238.1,-371.2,-323.8,-164.0,-308.0,-308.0,-440.0,-310.5,-692.0,-411.5,-223.0,-393.4,-247.8,-303.9,,17.5,-308.0,-259.8,-264.2,-314.0,-454.9,-148.8,-288.0,-177.7,-277.0,-340.4,-225.1,-220.0,,-333.2,-106.7,-502.0,,-221.9,-228.9,-212.0,52.7,-252.0,-176.7,,-330.2,-310.9,-71.0,,-235.0,-396.0,-456.8,-553.3,-415.0,False,False,True,False,False,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,True,False,True,False,False,True,True,,False,True,False,,True,True,True,True,False,True,,False,False,True,,True,False,False,False,False
California,24225,22148.0,23252.0,22278.9,23099.0,22131.7,22702.0,23995.0,23117.2,21947.0,21947.9,21198.0,21731.0,23104.0,22948.1,,23440.4,22448.0,22511.0,23590.8,22538.0,23259.5,23520.0,23607.0,23887.8,22687.0,22412.7,22958.8,22923.9,,21126.3,23028.0,27266.5,,21628.8,23936.2,22857.0,17853.3,22096.0,22290.9,22290.0,21714.8,22485.5,24104.0,,23198.0,23552.0,,20796.2,24024.0,-2066.0,-962.0,-1935.1,-1115.0,-2082.3,-1512.0,-219.0,-1096.8,-2267.0,-2266.1,-3016.0,-2483.0,-1110.0,-1265.9,,-773.6,-1766.0,-1703.0,-623.2,-1676.0,-954.5,-694.0,-607.0,-326.2,-1527.0,-1801.3,-1255.2,-1290.1,,-3087.7,-1186.0,3052.5,,-2585.2,-277.8,-1357.0,-6360.7,-2118.0,-1923.1,-1924.0,-2499.2,-1728.5,-110.0,,-1016.0,-662.0,,-3417.8,-190.0,True,True,True,False,True,True,True,False,False,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,True,True,False,False,True,True,False,True,True,,True,True,,False,True
Colorado,4592,4364.6,4792.3,4575.0,4706.0,4478.9,4342.0,4178.0,4439.1,3577.0,4387.3,4165.0,4351.9,4314.8,4339.1,,4922.5,4574.0,4573.7,4192.8,4380.0,4130.6,4318.1,4179.5,4463.3,4473.0,4665.3,4417.7,4443.3,,4019.6,4657.3,4499.0,,4538.2,4805.1,4079.0,3966.4,3848.0,4542.7,,4537.5,4725.1,4156.0,,4315.0,4366.5,4282.3,3536.3,4161.0,-227.4,200.3,-17.0,114.0,-113.1,-250.0,-414.0,-152.9,-1015.0,-204.7,-427.0,-240.1,-277.2,-252.9,,330.5,-18.0,-18.3,-399.2,-212.0,-461.4,-273.9,-412.5,-128.7,-119.0,73.3,-174.3,-148.7,,-572.4,65.3,-93.0,,-53.8,213.1,-513.0,-625.6,-744.0,-49.3,,-54.5,133.1,-436.0,,-277.0,-225.5,-309.7,-1055.7,-431.0,True,True,True,True,False,False,True,False,True,False,False,False,False,,False,True,True,False,True,False,False,False,True,True,True,True,True,,False,True,True,,True,True,False,False,False,True,,True,True,False,,False,True,False,False,False
Connecticut,5791,5674.6,5982.6,5695.1,5755.0,5701.2,5704.0,5694.0,5682.0,5300.0,5627.8,5408.0,5742.3,5717.4,5788.8,,5692.4,5702.0,5844.5,5846.3,5784.0,5602.2,6000.4,5777.0,5664.0,5695.0,5890.6,5761.7,5785.9,,5437.9,5811.9,5356.0,,5939.1,5690.0,5952.0,5849.7,5482.0,5662.6,,5672.5,5915.0,5820.0,,5664.0,5659.5,5866.3,5240.9,5798.0,-116.4,191.6,-95.9,-36.0,-89.8,-87.0,-97.0,-109.0,-491.0,-163.2,-383.0,-48.7,-73.6,-2.2,,-98.6,-89.0,53.5,55.3,-7.0,-188.8,209.4,-14.0,-127.0,-96.0,99.6,-29.3,-5.1,,-353.1,20.9,-435.0,,148.1,-101.0,161.0,58.7,-309.0,-128.4,,-118.5,124.0,29.0,,-127.0,-131.5,75.3,-550.1,7.0,False,True,True,True,True,True,True,False,False,False,True,True,True,,True,True,True,True,True,False,False,True,False,True,True,True,True,,False,True,False,,False,True,False,True,False,False,,False,False,True,,False,False,True,False,True
Delaware,1017,858.7,910.7,834.7,846.0,839.5,880.0,938.0,874.4,827.0,854.4,859.0,895.9,918.6,891.9,,834.3,864.0,855.7,899.7,893.0,897.5,881.7,888.0,878.9,903.0,851.2,909.6,903.8,,911.4,864.1,862.5,,,806.9,880.0,1022.6,918.0,838.2,,876.4,881.0,922.0,,889.0,848.0,873.3,819.2,878.0,-102.3,-50.3,-126.3,-115.0,-121.5,-81.0,-23.0,-86.6,-134.0,-106.6,-102.0,-65.1,-42.4,-69.1,,-126.7,-97.0,-105.3,-61.3,-68.0,-63.5,-79.3,-73.0,-82.1,-58.0,-109.8,-51.4,-57.2,,-49.6,-96.9,-98.5,,,-154.1,-81.0,61.6,-43.0,-122.8,,-84.6,-80.0,-39.0,,-72.0,-113.0,-87.7,-141.8,-83.0,True,False,False,False,True,True,True,False,False,True,True,True,True,,False,True,False,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,True,True,True,False,,True,True,True,,True,False,True,False,True
District of Columbia,762,745.6,762.9,743.5,760.0,746.0,754.0,753.0,760.0,733.0,743.0,711.0,757.5,770.6,766.7,,735.8,735.0,752.2,756.6,752.0,743.1,764.1,761.0,746.0,756.0,,,,,715.4,761.1,763.0,,,741.5,762.0,774.9,757.0,746.1,,727.1,,755.0,,755.0,748.0,738.0,709.8,754.0,-16.4,0.9,-18.5,-2.0,-16.0,-8.0,-9.0,-2.0,-29.0,-19.0,-51.0,-4.5,8.6,4.7,,-26.2,-27.0,-9.8,-5.4,-10.0,-18.9,2.1,-1.0,-16.0,-6.0,,,,,-46.6,-0.9,1.0,,,-20.5,0.0,12.9,-5.0,-15.9,,-34.9,,-7.0,,-7.0,-14.0,-24.0,-52.2,-8.0,True,False,True,True,True,True,True,False,False,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,,,,,False,True,True,,,False,True,True,True,True,,False,,True,,True,True,False,False,True
Florida,21135,21111.3,21629.7,20992.6,21488.0,21010.7,21380.0,21380.0,21269.8,20345.0,20610.4,20609.0,21042.8,21418.8,20779.6,,21466.6,20870.0,21434.5,21361.5,21708.0,21841.8,21300.2,21613.0,21799.3,21466.0,21620.7,21465.4,21486.5,,21271.6,21500.8,19954.0,,21742.7,20758.6,21423.0,22785.0,21386.0,21070.4,,20732.0,21651.4,21551.0,,21499.0,22502.0,,20145.8,21292.0,-23.7,494.7,-142.4,353.0,-124.3,245.0,245.0,134.8,-790.0,-524.6,-526.0,-92.2,283.8,-355.4,,331.6,-265.0,299.5,226.5,573.0,706.8,165.2,478.0,664.3,331.0,485.7,330.4,351.5,,136.6,365.8,-1181.0,,607.7,-376.4,288.0,1650.0,251.0,-64.6,,-403.0,516.4,416.0,,364.0,1367.0,,-989.2,157.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,,False,False
