,mean_rank
GT-DeepCOVID,14.4
Karlen-pypm,14.5
COVIDhub-ensemble,14.8
MSRA-DeepST,15.3
Microsoft-DeepSTIA,15.9
UMass-MechBayes,16.0
SteveMcConnell-CovidComplete,16.6
LNQ-ens1,16.8
JHUAPL-Bucky,16.8
OliverWyman-Navigator,17.0
JCB-PRM,17.0
epiforecasts-ensemble1,17.6
Caltech-CS156,18.1
USC-SI_kJalpha,18.4
MIT_CritData-GBCF,18.6
DDS-NBDS,19.5
LANL-GrowthRate,19.5
Google_Harvard-CPF,19.7
JHU_CSSE-DECOM,19.8
CEID-Walk,20.1
MOBS-GLEAM_COVID,20.4
COVIDhub-baseline,20.4
UA-EpiCovDA,20.5
UCLA-SuEIR,20.7
CMU-TimeSeries,21.1
UCSD_NEU-DeepGLEAM,21.4
CovidAnalytics-DELPHI,21.5
IowaStateLW-STEM,22.5
CU-select,22.6
TTU-squider,24.5
Wadhwani_AI-BayesOpt,24.5
PSI-DRAFT,25.5
UCSB-ACTS,25.6
UT-Mobility,25.6
BPagano-RtDriven,25.8
IHME-CurveFit,25.9
Covid19Sim-Simulator,26.7
JHU_IDD-CovidSP,27.9
NotreDame-mobility,28.7
RobertWalraven-ESG,29.8
Columbia_UNC-SurvCon,36.5
WalmartLabsML-LogForecasting,38.6
