,total_deaths_2020-11-01,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,232127,335758.0,337631,104763.0,105504,-741.0,-0.7%
Covid19Sim-Simulator,232127,314189.4,337631,83194.4,105504,-22309.6,-21.1%
QJHong-Encounter,232127,302787.5,337631,71792.5,105504,-33711.5,-32.0%
BPagano-RtDriven,232127,301400.2,337631,70405.2,105504,-35098.8,-33.3%
USC-SI_kJalpha,232127,297154.5,337631,66159.5,105504,-39344.5,-37.3%
JCB-PRM,232127,295192.0,337631,64197.0,105504,-41307.0,-39.2%
JHUAPL-Bucky,232127,291929.6,337631,60934.6,105504,-44569.4,-42.2%
IBF-TimeSeries,232127,289562.0,337631,58567.0,105504,-46937.0,-44.5%
Baseline,232127,276267.9,337631,45272.9,105504,-60231.1,-57.1%
COVIDhub-baseline,232127,275773.0,337631,44778.0,105504,-60726.0,-57.6%
IowaStateLW-STEM,232127,275370.0,337631,44375.0,105504,-61129.0,-57.9%
UCLA-SuEIR,232127,273200.0,337631,42205.0,105504,-63299.0,-60.0%
STH-3PU,232127,269449.0,337631,38454.0,105504,-67050.0,-63.6%
WalmartLabsML-LogForecasting,232127,255600.4,337631,24605.4,105504,-80898.6,-76.7%
