,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4685,4039.9,4182.9,4059.2,4179.0,4032.0,4287.0,4032.0,4132.3,4778.0,4685.9,4290.0,4152.4,3973.4,4249.3,,4430.0,4577.3,4500.9,4402.0,4144.6,4449.7,4346.0,4095.3,4482.0,4515.7,4266.4,4287.4,4791.0,4285.0,,4549.9,4853.3,4287.0,4443.6,4410.0,3911.2,,4609.9,4513.6,4191.0,,4501.3,4405.0,4002.5,3868.1,4132.0,-645.1,-502.1,-625.8,-506.0,-653.0,-398.0,-653.0,-552.7,93.0,0.9,-395.0,-532.6,-711.6,-435.7,,-255.0,-107.7,-184.1,-283.0,-540.4,-235.3,-339.0,-589.7,-203.0,-169.3,-418.6,-397.6,106.0,-400.0,,-135.1,168.3,-398.0,-241.4,-275.0,-773.8,,-75.1,-171.4,-494.0,,-183.7,-280.0,-682.5,-816.9,-553.0,True,True,True,False,True,False,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,,True,True,False,False,True
Alaska,200,190.4,220.1,212.6,242.0,197.0,196.0,169.0,176.5,151.0,257.8,181.0,149.0,220.4,279.2,,,198.2,136.7,273.0,195.4,193.8,156.0,179.0,308.0,200.5,238.2,132.0,195.4,167.0,,,103.8,193.0,255.9,287.0,205.3,,233.6,202.1,197.0,,241.3,167.0,132.0,140.2,180.0,-9.6,20.1,12.6,42.0,-3.0,-4.0,-31.0,-23.5,-49.0,57.8,-19.0,-51.0,20.4,79.2,,,-1.8,-63.3,73.0,-4.6,-6.2,-44.0,-21.0,108.0,0.5,38.2,-68.0,-4.6,-33.0,,,-96.2,-7.0,55.9,87.0,5.3,,33.6,2.1,-3.0,,41.3,-33.0,-68.0,-59.8,-20.0,False,False,False,True,True,False,False,False,False,False,False,False,False,,,True,False,False,True,True,False,False,False,True,False,False,True,False,,,False,True,False,False,True,,False,True,True,,False,False,False,False,False
Arizona,8424,7289.7,7664.8,7266.5,7677.0,7292.1,7611.0,7611.0,7801.8,8506.0,8858.3,7022.0,7286.1,7329.6,7898.7,,7412.0,7867.2,8074.5,7678.0,7937.2,8272.3,7141.0,7448.7,7899.0,7492.2,7601.8,7628.1,7753.0,7452.0,,7853.6,7550.8,8202.0,8442.5,7385.0,7190.1,,7902.2,7506.6,8002.0,,8890.0,7850.0,7283.0,6956.4,7373.0,-1134.3,-759.2,-1157.5,-747.0,-1131.9,-813.0,-813.0,-622.2,82.0,434.3,-1402.0,-1137.9,-1094.4,-525.3,,-1012.0,-556.8,-349.5,-746.0,-486.8,-151.7,-1283.0,-975.3,-525.0,-931.8,-822.2,-795.9,-671.0,-972.0,,-570.4,-873.2,-222.0,18.5,-1039.0,-1233.9,,-521.8,-917.4,-422.0,,466.0,-574.0,-1141.0,-1467.6,-1051.0,True,False,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,,True,True,False,False,True
Arkansas,3441,2905.9,2928.4,2855.6,3089.0,2897.1,2969.0,2864.0,3007.7,3100.0,3426.1,3233.0,2852.8,3110.6,3304.4,,3113.0,3136.1,3160.8,3162.0,2909.5,3328.3,2867.0,2941.3,3197.0,2918.2,3063.5,2615.2,3573.0,2885.0,,3549.5,3558.4,2998.0,3541.4,2868.0,2968.6,,3265.5,2940.1,2874.0,,2968.2,2983.0,2755.0,2736.7,2792.0,-535.1,-512.6,-585.4,-352.0,-543.9,-472.0,-577.0,-433.3,-341.0,-14.9,-208.0,-588.2,-330.4,-136.6,,-328.0,-304.9,-280.2,-279.0,-531.5,-112.7,-574.0,-499.7,-244.0,-522.8,-377.5,-825.8,132.0,-556.0,,108.5,117.4,-443.0,100.4,-573.0,-472.4,,-175.5,-500.9,-567.0,,-472.8,-458.0,-686.0,-704.3,-649.0,True,False,True,False,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,False,True,False,,True,True,True,True,False,True,,True,True,False,,True,True,False,False,False
California,24218,20790.3,23128.5,20799.2,22681.0,20892.6,21554.0,22810.0,22142.3,25350.0,22631.4,20794.0,20673.7,21387.9,22284.6,,21340.0,21809.6,23723.1,21899.0,22932.0,23206.0,21020.5,21946.2,22154.0,21143.5,22058.2,20633.3,21775.8,21554.0,,21850.6,23530.8,22026.0,17350.5,21301.0,20896.7,20247.0,21451.1,21169.7,22377.0,,25368.2,22811.0,20851.0,20214.3,20934.0,-3427.7,-1089.5,-3418.8,-1537.0,-3325.4,-2664.0,-1408.0,-2075.7,1132.0,-1586.6,-3424.0,-3544.3,-2830.1,-1933.4,,-2878.0,-2408.4,-494.9,-2319.0,-1286.0,-1012.0,-3197.5,-2271.8,-2064.0,-3074.5,-2159.8,-3584.7,-2442.2,-2664.0,,-2367.4,-687.2,-2192.0,-6867.5,-2917.0,-3321.3,-3971.0,-2766.9,-3048.3,-1841.0,,1150.2,-1407.0,-3367.0,-4003.7,-3284.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,False,True,True,False,True,True,True,,True,True,True,False,True
Colorado,4592,3762.9,4060.2,3752.4,4325.0,3767.3,4085.0,3846.0,4186.6,3937.0,5333.6,4085.0,3801.3,4167.9,4490.8,,4043.0,4540.2,4158.4,4273.0,4050.7,4135.9,3707.0,3938.0,4629.0,4270.3,4124.3,3812.5,4524.3,3738.5,,4561.8,5431.4,4117.0,5384.4,3621.0,3560.2,,4511.7,4280.6,3899.0,,7161.7,4388.0,4298.0,3180.0,3946.0,-829.1,-531.8,-839.6,-267.0,-824.7,-507.0,-746.0,-405.4,-655.0,741.6,-507.0,-790.7,-424.1,-101.2,,-549.0,-51.8,-433.6,-319.0,-541.3,-456.1,-885.0,-654.0,37.0,-321.7,-467.7,-779.5,-67.7,-853.5,,-30.2,839.4,-475.0,792.4,-971.0,-1031.8,,-80.3,-311.4,-693.0,,2569.7,-204.0,-294.0,-1412.0,-646.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,False,,True,False,True,True,False,False,,True,True,True,,False,True,True,False,True
Connecticut,5791,5474.0,5747.4,5515.0,5601.0,5493.7,5607.0,5377.0,5502.5,5308.0,5872.9,5396.0,5373.9,5827.5,5906.9,,5493.0,5616.5,5521.4,5570.0,5504.8,5976.1,5610.0,5385.5,5596.0,5837.3,5605.5,5385.3,5629.6,5056.5,,5778.9,5163.1,5762.0,6115.1,5258.0,5114.5,,5699.6,5861.8,5698.0,,8167.6,5588.0,5431.0,5015.9,5805.0,-317.0,-43.6,-276.0,-190.0,-297.3,-184.0,-414.0,-288.5,-483.0,81.9,-395.0,-417.1,36.5,115.9,,-298.0,-174.5,-269.6,-221.0,-286.2,185.1,-181.0,-405.5,-195.0,46.3,-185.5,-405.7,-161.4,-734.5,,-12.1,-627.9,-29.0,324.1,-533.0,-676.5,,-91.4,70.8,-93.0,,2376.6,-203.0,-360.0,-775.1,14.0,True,True,True,True,True,False,True,False,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,False,True,False,,True,False,True,False,False,False,,True,True,True,,False,True,False,False,True
Delaware,895,854.9,902.5,843.3,851.0,832.6,879.0,897.0,861.2,908.0,928.0,851.0,896.0,918.7,934.7,,850.0,859.4,861.5,873.0,912.6,924.2,878.0,854.6,902.0,848.2,911.5,906.2,891.6,809.0,,,770.8,859.0,814.1,933.0,841.0,,888.8,879.0,918.0,,1209.9,865.0,832.0,802.9,877.0,-40.1,7.5,-51.7,-44.0,-62.4,-16.0,2.0,-33.8,13.0,33.0,-44.0,1.0,23.7,39.7,,-45.0,-35.6,-33.5,-22.0,17.6,29.2,-17.0,-40.4,7.0,-46.8,16.5,11.2,-3.4,-86.0,,,-124.2,-36.0,-80.9,38.0,-54.0,,-6.2,-16.0,23.0,,314.9,-30.0,-63.0,-92.1,-18.0,True,False,False,False,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,False,True,False,True,True,True,False,,,False,True,False,True,False,,True,True,True,,False,True,False,False,True
District of Columbia,762,718.6,724.6,713.3,725.0,710.6,731.0,726.0,741.0,752.0,753.1,699.0,742.6,755.2,779.6,,725.0,730.5,743.7,726.0,752.6,746.2,710.0,712.0,764.0,,,701.1,741.9,735.0,,,721.4,714.0,772.3,766.0,694.9,,777.3,,734.0,,919.9,735.0,717.0,689.1,726.0,-43.4,-37.4,-48.7,-37.0,-51.4,-31.0,-36.0,-21.0,-10.0,-8.9,-63.0,-19.4,-6.8,17.6,,-37.0,-31.5,-18.3,-36.0,-9.4,-15.8,-52.0,-50.0,2.0,,,-60.9,-20.1,-27.0,,,-40.6,-48.0,10.3,4.0,-67.1,,15.3,,-28.0,,157.9,-27.0,-45.0,-72.9,-36.0,True,False,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,False,False,True,,,False,True,True,,,True,False,True,True,False,,True,,True,,False,True,False,False,True
Florida,21135,20463.3,21449.1,20482.4,21003.0,20488.7,20886.0,20985.0,20940.7,20779.0,20778.7,20370.0,20093.1,21225.8,20961.9,,20296.0,20886.2,20772.6,21116.0,22000.2,21089.2,21690.0,21034.6,21279.0,21193.1,21265.3,20839.7,21429.8,20066.0,,21525.4,20726.3,20849.0,22842.7,20723.0,20623.9,,20360.5,21211.7,21206.0,,22045.6,20969.0,20177.5,19722.4,20078.0,-671.7,314.1,-652.6,-132.0,-646.3,-249.0,-150.0,-194.3,-356.0,-356.3,-765.0,-1041.9,90.8,-173.1,,-839.0,-248.8,-362.4,-19.0,865.2,-45.8,555.0,-100.4,144.0,58.1,130.3,-295.3,294.8,-1069.0,,390.4,-408.7,-286.0,1707.7,-412.0,-511.1,,-774.5,76.7,71.0,,910.6,-166.0,-957.5,-1412.6,-1057.0,True,True,True,True,True,True,True,True,True,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,True,,False,True,False,False,False
