,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4685,3814.9,6900.5,3194.5,3234.0,3107.2,,3331.8,-870.1,2215.5,-1490.5,-1451.0,-1577.8,,-1353.2,False,False,False,False,,False
Alaska,200,81.7,62.8,216.3,,181.0,,82.2,-118.3,-137.2,16.3,,-19.0,,-117.8,False,True,,True,,True
Arizona,8424,6334.4,5854.5,7184.8,6442.0,6326.6,,6743.0,-2089.6,-2569.5,-1239.2,-1982.0,-2097.4,,-1681.0,False,True,True,False,,True
Arkansas,3441,3132.4,4329.2,2874.4,2922.0,2524.9,,2509.7,-308.6,888.2,-566.6,-519.0,-916.1,,-931.3,False,False,False,False,,False
California,24225,21269.3,21659.3,21759.6,19507.0,20112.0,,20306.9,-2955.7,-2565.7,-2465.4,-4718.0,-4113.0,,-3918.1,True,True,False,False,,False
Colorado,4592,2601.6,3984.8,2638.3,2338.5,2766.8,,2333.2,-1990.4,-607.2,-1953.7,-2253.5,-1825.2,,-2258.8,True,True,False,True,,False
Connecticut,5791,4714.6,4953.6,4721.3,4643.0,4944.1,,4613.2,-1076.4,-837.4,-1069.7,-1148.0,-846.9,,-1177.8,True,True,False,True,,False
Delaware,895,751.7,781.3,779.6,737.0,751.3,,699.6,-143.3,-113.7,-115.4,-158.0,-143.7,,-195.4,True,True,False,False,,False
District of Columbia,762,702.1,716.5,687.2,657.0,716.4,,655.5,-59.9,-45.5,-74.8,-105.0,-45.6,,-106.5,True,False,False,True,,False
Florida,21135,22888.0,20945.1,20898.8,19493.0,18975.1,,19086.2,1753.0,-189.9,-236.2,-1642.0,-2159.9,,-2048.8,True,True,True,False,,False
Georgia,10685,10173.7,9716.2,9180.3,8926.0,8613.6,,9547.7,-511.3,-968.8,-1504.7,-1759.0,-2071.4,,-1137.3,False,False,False,False,,False
Hawaii,285,310.1,553.7,282.2,,306.5,,239.6,25.1,268.7,-2.8,,21.5,,-45.4,False,True,,True,,False
Idaho,1354,778.4,1459.2,876.9,721.0,815.5,,750.1,-575.6,105.2,-477.1,-633.0,-538.5,,-603.9,True,True,False,True,,False
Illinois,17224,11292.9,12503.8,11290.1,10770.0,11501.3,,10627.5,-5931.1,-4720.2,-5933.9,-6454.0,-5722.7,,-6596.5,True,False,False,True,,False
Indiana,7801,5037.6,5895.3,5070.1,4577.0,5153.9,,4417.1,-2763.4,-1905.7,-2730.9,-3224.0,-2647.1,,-3383.9,True,True,False,True,,False
Iowa,3743,2276.3,2880.9,2259.5,1992.0,2085.0,,2076.9,-1466.7,-862.1,-1483.5,-1751.0,-1658.0,,-1666.1,True,False,False,False,,False
Kansas,2503,1686.0,4287.5,1312.6,1341.0,1476.3,,1138.1,-817.0,1784.5,-1190.4,-1162.0,-1026.7,,-1364.9,False,False,False,False,,False
Kentucky,2534,1718.9,2022.9,2026.1,1844.0,2114.1,,2068.3,-815.1,-511.1,-507.9,-690.0,-419.9,,-465.7,True,True,True,True,,True
Louisiana,7272,6501.9,6234.3,6435.5,6394.0,6334.6,,7280.3,-770.1,-1037.7,-836.5,-878.0,-937.4,,8.3,False,False,False,False,,True
Maine,319,153.9,218.0,160.7,181.0,167.3,,150.7,-165.1,-101.0,-158.3,-138.0,-151.7,,-168.3,True,True,True,True,,False
Maryland,5680,4444.1,4355.3,4369.9,4223.0,4436.5,13927.0,4220.0,-1235.9,-1324.7,-1310.1,-1457.0,-1243.5,8247.0,-1460.0,False,False,False,False,False,False
Massachusetts,12010,10624.6,10094.7,12034.7,10213.0,10811.8,,9941.5,-1385.4,-1915.3,24.7,-1797.0,-1198.2,,-2068.5,False,True,False,True,,False
Michigan,12690,8250.4,9104.5,8248.3,7906.0,8894.7,,7662.3,-4439.6,-3585.5,-4441.7,-4784.0,-3795.3,,-5027.7,True,False,False,True,,False
Minnesota,5166,2856.3,3426.5,3192.1,2985.0,3090.6,,2917.4,-2309.7,-1739.5,-1973.9,-2181.0,-2075.4,,-2248.6,True,True,True,True,,True
Mississippi,4565,4056.4,3909.2,3968.9,4210.0,3942.4,,3962.7,-508.6,-655.8,-596.1,-355.0,-622.6,,-602.3,False,False,True,False,,False
Missouri,5470,5008.0,7451.4,4055.1,3440.0,3565.7,,2938.4,-478.0,1965.4,-1430.9,-2046.0,-1920.3,,-2547.6,False,False,False,False,,False
