,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4685,4349.4,2832.1,3672.0,,-335.6,-1852.9,-1013.0,,False,False,
Alaska,200,65.7,223.6,,,-134.3,23.6,,,True,,
Arizona,8424,11219.1,4576.2,8368.0,,2795.1,-3847.8,-56.0,,False,True,
Arkansas,3441,1636.1,1472.6,1777.0,,-1804.9,-1968.4,-1664.0,,False,True,
California,24225,27573.3,23544.8,24254.0,,3348.3,-680.2,29.0,,True,True,
Colorado,4592,2612.6,2426.0,2226.0,,-1979.4,-2166.0,-2366.0,,False,False,
Connecticut,5791,4679.3,4580.7,4538.0,,-1111.7,-1210.3,-1253.0,,False,False,
Delaware,895,630.7,694.2,653.0,,-264.3,-200.8,-242.0,,True,True,
District of Columbia,762,710.1,693.4,656.0,,-51.9,-68.6,-106.0,,False,False,
Florida,21135,33325.1,13719.3,20529.0,,12190.1,-7415.7,-606.0,,True,True,
Georgia,10685,14187.1,7867.9,7946.0,,3502.1,-2817.1,-2739.0,,True,True,
Hawaii,285,209.7,1145.3,,,-75.3,860.3,,,False,,
Idaho,1354,872.4,670.0,521.0,,-481.6,-684.0,-833.0,,False,False,
Illinois,17224,10029.3,10531.1,8900.0,,-7194.7,-6692.9,-8324.0,,True,False,
Indiana,7801,4867.9,5128.8,4212.0,,-2933.1,-2672.2,-3589.0,,True,False,
Iowa,3743,1804.7,1696.4,1775.0,,-1938.3,-2046.6,-1968.0,,False,False,
Kansas,2503,896.3,889.6,713.0,,-1606.7,-1613.4,-1790.0,,False,False,
Kentucky,2534,1507.7,,1141.0,,-1026.3,,-1393.0,,,False,
Louisiana,7272,9108.1,,8016.0,,1836.1,,744.0,,,True,
Maine,319,164.7,,145.0,,-154.3,,-174.0,,,False,
Maryland,5680,4657.3,,3987.0,,-1022.7,,-1693.0,,,False,
Massachusetts,12010,10780.3,,9014.0,,-1229.7,,-2996.0,,,False,
Michigan,12690,7968.6,,7435.0,,-4721.4,,-5255.0,,,False,
Minnesota,5166,2770.3,,2460.0,,-2395.7,,-2706.0,,,False,
Mississippi,4565,5629.1,,4856.0,,1064.1,,291.0,,,True,
Missouri,5470,2307.0,,1985.0,,-3163.0,,-3485.0,,,False,
Montana,919,214.0,,287.0,,-705.0,,-632.0,,,True,
Nebraska,1559,662.7,,620.0,,-896.3,,-939.0,,,False,
Nevada,2942,3240.6,,2524.0,,298.6,,-418.0,,,False,
New Hampshire,701,498.4,,432.0,,-202.6,,-269.0,,,False,
New Jersey,18613,16628.6,,16250.0,,-1984.4,,-2363.0,,,False,
New Mexico,2316,1260.9,,1065.0,,-1055.1,,-1251.0,,,False,
New York,37286,34084.6,,33250.0,,-3225.4,,-4060.0,,,False,
North Carolina,6526,5269.9,,5104.0,,-1256.1,,-1422.0,,,False,
North Dakota,1264,370.1,,295.0,,-893.9,,-969.0,,,False,
Ohio,8476,6786.6,,5818.0,,-1689.4,,-2658.0,,,False,
Oklahoma,2357,1754.7,,1404.0,,-602.3,,-953.0,,,False,
Oregon,1422,991.4,,738.0,,-430.6,,-684.0,,,False,
Pennsylvania,14858,10130.7,,8028.0,,-4727.3,,-6830.0,,,False,
Rhode Island,1704,1153.0,,1088.0,,-545.0,,-610.0,,,False,
South Carolina,5124,6757.0,,3915.0,,1633.0,,-1209.0,,,True,
South Dakota,1446,285.0,,333.0,,-1161.0,,-1113.0,,,True,
Tennessee,6443,4062.6,,3514.0,,-2380.4,,-2929.0,,,False,
Texas,27075,33760.0,,35687.0,23322.0,7052.0,,8979.0,-3386.0,,False,True
Utah,1212,872.1,,751.0,,-339.9,,-461.0,,,False,
Vermont,121,58.0,,58.0,,-63.0,,-63.0,,,False,
Virginia,4840,3418.1,,3046.0,,-1421.9,,-1794.0,,,False,
Washington,3184,3534.7,,2487.0,,371.7,,-676.0,,,False,
West Virginia,1253,556.0,,358.0,,-697.0,,-895.0,,,False,
Wisconsin,5029,1812.1,,1575.0,,-3156.9,,-3394.0,,,False,
Wyoming,373,67.7,,35.0,,-305.3,,-338.0,,,False,
US,332075,304201.7,221632.9,249940.0,269937.0,-27443.3,-110012.1,-81705.0,-61708.0,False,False,False
