,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4685,3465.3,3833.9,3299.0,,-1219.7,-851.1,-1386.0,,True,False,
Alaska,200,73.7,172.8,,,-126.3,-27.2,,,True,,
Arizona,8424,6822.6,6904.9,7396.0,,-1601.4,-1519.1,-1028.0,,True,True,
Arkansas,3441,2273.6,2451.5,3000.0,,-1167.4,-989.5,-441.0,,True,True,
California,24218,23990.6,18042.4,22748.0,,-227.4,-6175.6,-1470.0,,False,False,
Colorado,4592,2225.7,2347.7,2454.0,,-2366.3,-2244.3,-2138.0,,True,True,
Connecticut,5791,4658.3,4592.1,4672.0,,-1132.7,-1198.9,-1119.0,,False,True,
Delaware,895,704.1,786.7,672.0,,-190.9,-108.3,-223.0,,True,False,
District of Columbia,762,690.3,665.3,665.0,,-71.7,-96.7,-97.0,,False,False,
Florida,21135,23884.6,18031.2,19486.0,,2749.6,-3103.8,-1649.0,,False,True,
Georgia,10685,10730.7,8868.0,9586.0,,45.7,-1817.0,-1099.0,,False,False,
Hawaii,285,307.0,204.6,,,22.0,-80.4,,,False,,
Idaho,1354,860.7,809.4,792.0,,-493.3,-544.6,-562.0,,False,False,
Illinois,17224,10784.4,10033.9,10362.0,,-6439.6,-7190.1,-6862.0,,False,False,
Indiana,7801,4537.4,4403.3,5060.0,,-3263.6,-3397.7,-2741.0,,False,True,
Iowa,3743,2007.4,2001.2,2284.0,,-1735.6,-1741.8,-1459.0,,False,True,
Kansas,2503,1226.3,1048.9,740.0,,-1276.7,-1454.1,-1763.0,,False,False,
Kentucky,2534,2010.9,2063.5,2191.0,,-523.1,-470.5,-343.0,,True,True,
Louisiana,7272,7344.7,6007.3,6874.0,,72.7,-1264.7,-398.0,,False,False,
Maine,319,165.7,159.5,257.0,,-153.3,-159.5,-62.0,,False,True,
Maryland,5680,4417.4,4683.4,4159.0,,-1262.6,-996.6,-1521.0,,True,False,
Massachusetts,12010,10472.9,9620.9,9806.0,,-1537.1,-2389.1,-2204.0,,False,False,
Michigan,12690,8471.0,8391.0,8044.0,,-4219.0,-4299.0,-4646.0,,False,False,
Minnesota,5166,2892.1,2666.7,3115.0,,-2273.9,-2499.3,-2051.0,,False,True,
Mississippi,4565,4375.9,3476.2,5600.0,,-189.1,-1088.8,1035.0,,False,False,
Missouri,5470,2414.4,3581.8,2585.0,,-3055.6,-1888.2,-2885.0,,True,True,
Montana,919,402.4,414.4,685.0,,-516.6,-504.6,-234.0,,True,True,
Nebraska,1559,879.7,933.6,1071.0,,-679.3,-625.4,-488.0,,True,True,
Nevada,2942,2388.0,1922.3,2282.0,,-554.0,-1019.7,-660.0,,False,False,
New Hampshire,701,480.6,504.2,532.0,,-220.4,-196.8,-169.0,,True,True,
New Jersey,18613,16655.0,16436.4,16872.0,,-1958.0,-2176.6,-1741.0,,False,True,
New Mexico,2316,1120.1,1083.4,1316.0,,-1195.9,-1232.6,-1000.0,,False,True,
New York,37286,33557.9,33498.9,34133.0,,-3728.1,-3787.1,-3153.0,,False,True,
North Carolina,6526,5458.9,4941.4,6297.0,,-1067.1,-1584.6,-229.0,,False,True,
North Dakota,1264,346.3,680.2,451.0,,-917.7,-583.8,-813.0,,True,True,
Ohio,8476,6732.7,6182.8,7683.0,,-1743.3,-2293.2,-793.0,,False,True,
Oklahoma,2357,1677.6,1698.7,2150.0,,-679.4,-658.3,-207.0,,True,True,
Oregon,1422,925.0,777.0,935.0,,-497.0,-645.0,-487.0,,False,True,
Pennsylvania,14858,9002.7,9518.0,9089.0,,-5855.3,-5340.0,-5769.0,,True,True,
Rhode Island,1704,1308.7,1207.9,1154.0,,-395.3,-496.1,-550.0,,False,False,
South Carolina,5124,5693.7,5239.6,4863.0,,569.7,115.6,-261.0,,True,True,
South Dakota,1446,347.4,433.5,549.0,,-1098.6,-1012.5,-897.0,,True,True,
Tennessee,6443,5242.6,3767.9,4720.0,,-1200.4,-2675.1,-1723.0,,False,False,
Texas,26916,25562.7,18591.4,24550.0,27682.0,-1252.3,-8223.6,-2265.0,867.0,False,False,True
Utah,1212,596.4,1005.8,1010.0,,-615.6,-206.2,-202.0,,True,True,
Vermont,121,58.0,64.8,98.0,,-63.0,-56.2,-23.0,,True,True,
Virginia,4840,3407.4,4113.3,4371.0,,-1432.6,-726.7,-469.0,,True,True,
Washington,3184,2555.6,2520.2,2383.0,,-636.4,-671.8,-809.0,,False,False,
West Virginia,1253,534.4,1578.5,939.0,,-718.6,325.5,-314.0,,True,True,
Wisconsin,5029,1834.0,2770.5,2108.0,,-3137.0,-2200.5,-2863.0,,True,True,
Wyoming,373,42.0,76.6,230.0,,-331.0,-296.4,-143.0,,True,True,
US,331909,270288.1,234661.6,269386.0,262866.0,-61467.9,-97094.4,-62370.0,-68890.0,False,False,False
