,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4685,4010.3,5299.6,3386.8,4414.5,3209.0,,3274.7,-674.7,614.6,-1298.2,-270.5,-1476.0,,-1410.3,True,False,True,False,,False
Alaska,200,136.0,838.1,191.8,114.7,,,89.2,-64.0,638.1,-8.2,-85.3,,,-110.8,False,True,False,,,False
Arizona,8424,6497.3,8353.3,6455.1,7075.6,6197.0,,6496.6,-1926.7,-70.7,-1968.9,-1348.4,-2227.0,,-1927.4,True,False,True,False,,False
Arkansas,3441,3034.7,3090.8,2631.3,3286.0,3182.0,,2463.4,-406.3,-350.2,-809.7,-155.0,-259.0,,-977.6,True,False,True,True,,False
California,24225,20921.9,23676.5,20314.5,23779.7,19215.0,,20117.1,-3303.1,-548.5,-3910.5,-445.3,-5010.0,,-4107.9,True,False,True,False,,False
Colorado,4592,2797.0,3534.9,2813.8,4408.0,2493.0,,2284.7,-1795.0,-1057.1,-1778.2,-184.0,-2099.0,,-2307.3,True,True,True,False,,False
Connecticut,5791,4660.3,4639.9,4748.3,4828.0,4653.0,,4603.4,-1130.7,-1151.1,-1042.7,-963.0,-1138.0,,-1187.6,False,True,True,False,,False
Delaware,1017,773.4,744.7,780.0,892.3,721.0,,715.9,-220.6,-249.3,-214.0,-101.7,-273.0,,-278.1,False,True,True,False,,False
District of Columbia,762,680.4,704.4,689.2,807.7,656.0,,657.0,-81.6,-57.6,-72.8,45.7,-106.0,,-105.0,True,True,True,False,,False
Florida,21135,21910.9,26047.5,20399.6,24789.8,18917.0,,19967.9,775.9,4912.5,-735.4,3654.8,-2218.0,,-1167.1,False,True,False,False,,False
Georgia,10685,9826.3,10982.9,8909.3,9998.2,8984.0,,9401.1,-858.7,297.9,-1775.7,-686.8,-1701.0,,-1283.9,True,False,True,False,,False
Hawaii,285,364.4,412.7,347.0,463.8,,,233.7,79.4,127.7,62.0,178.8,,,-51.3,False,True,False,,,True
Idaho,1354,735.0,736.4,876.2,1212.7,739.0,,737.4,-619.0,-617.6,-477.8,-141.3,-615.0,,-616.6,True,True,True,True,,True
