,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4685,3813.7,3547.6,3775.6,11329.0,4423.9,,3613.0,3896.7,4125.0,,,3586.6,3810.0,3370.8,-871.3,-1137.4,-909.4,6644.0,-261.1,,-1072.0,-788.3,-560.0,,,-1098.4,-875.0,-1314.2,False,False,False,True,,False,True,True,,,False,False,False
Alaska,200,200.9,89.7,194.0,348.0,222.5,,,157.7,182.7,,,126.2,144.0,103.7,0.9,-110.3,-6.0,148.0,22.5,,,-42.3,-17.3,,,-73.8,-56.0,-96.3,False,False,False,False,,,False,False,,,False,False,False
Arizona,8424,6804.0,6618.7,6868.8,7723.0,6828.9,,6346.0,6809.4,6468.6,,,6985.7,7908.0,6503.4,-1620.0,-1805.3,-1555.2,-701.0,-1595.1,,-2078.0,-1614.6,-1955.4,,,-1438.3,-516.0,-1920.6,False,True,True,True,,False,True,False,,,True,True,False
Arkansas,3441,3105.1,2681.5,2948.5,3955.0,3187.0,,3032.0,3351.4,2952.1,,,2655.0,2972.0,2322.4,-335.9,-759.5,-492.5,514.0,-254.0,,-409.0,-89.6,-488.9,,,-786.0,-469.0,-1118.6,False,False,False,True,,False,True,False,,,False,False,False
California,24218,20130.3,23697.5,20184.1,24296.0,21405.9,,19824.0,21089.5,20577.3,,,19775.7,22033.0,19717.9,-4087.7,-520.5,-4033.9,78.0,-2812.1,,-4394.0,-3128.5,-3640.7,,,-4442.3,-2185.0,-4500.1,True,True,True,True,,False,True,True,,,False,True,False
Colorado,4592,2798.7,2493.7,2826.7,7943.0,3630.4,,2733.0,3057.1,3419.2,,,2684.7,3148.0,2463.6,-1793.3,-2098.3,-1765.3,3351.0,-961.6,,-1859.0,-1534.9,-1172.8,,,-1907.3,-1444.0,-2128.4,False,True,False,True,,False,True,True,,,False,True,False
Connecticut,5791,4922.4,5310.4,5018.6,8238.0,5344.8,,4799.0,5122.2,5244.6,,,4764.2,5083.0,4640.8,-868.6,-480.6,-772.4,2447.0,-446.2,,-992.0,-668.8,-546.4,,,-1026.8,-708.0,-1150.2,True,True,False,True,,False,True,True,,,False,True,False
Delaware,895,937.9,892.0,935.7,884.0,813.6,,792.0,911.8,763.4,,,729.5,932.0,765.9,42.9,-3.0,40.7,-11.0,-81.4,,-103.0,16.8,-131.6,,,-165.5,37.0,-129.1,True,True,True,False,,False,True,False,,,False,True,False
District of Columbia,762,677.4,647.9,689.0,679.0,703.9,,665.0,669.9,690.7,,,658.4,691.0,662.5,-84.6,-114.1,-73.0,-83.0,-58.1,,-97.0,-92.1,-71.3,,,-103.6,-71.0,-99.5,False,True,True,True,,False,False,True,,,False,True,False
Florida,21135,19617.6,19882.0,19509.0,33827.0,22965.0,,19621.0,22793.0,21170.5,,,18540.1,20756.0,18944.9,-1517.4,-1253.0,-1626.0,12692.0,1830.0,,-1514.0,1658.0,35.5,,,-2594.9,-379.0,-2190.1,True,False,False,False,,True,False,True,,,False,True,False
Georgia,10685,9332.4,9735.4,9346.3,13119.0,10098.8,,9564.0,9640.1,9446.6,,,9180.2,9970.0,8778.6,-1352.6,-949.6,-1338.7,2434.0,-586.2,,-1121.0,-1044.9,-1238.4,,,-1504.8,-715.0,-1906.4,True,True,False,True,,True,True,True,,,False,True,False
Hawaii,285,274.0,757.9,277.2,,383.0,,,435.8,362.5,,,240.4,245.0,263.8,-11.0,472.9,-7.8,,98.0,,,150.8,77.5,,,-44.6,-40.0,-21.2,False,True,,False,,,False,False,,,False,False,False
Idaho,1354,1077.9,1924.3,1085.0,1196.0,1110.4,,1011.0,1210.8,1063.3,,,972.4,895.0,749.2,-276.1,570.3,-269.0,-158.0,-243.6,,-343.0,-143.2,-290.7,,,-381.6,-459.0,-604.8,False,True,True,True,,False,True,False,,,False,False,False
