,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4685,4472.1,4512.5,4610.0,4202.8,4347.0,,4501.6,4796.0,4853.9,4452.4,4198.2,4603.2,4502.0,,3467.7,4553.0,,4300.2,,4600.0,3807.9,-212.9,-172.5,-75.0,-482.2,-338.0,,-183.4,111.0,168.9,-232.6,-486.8,-81.8,-183.0,,-1217.3,-132.0,,-384.8,,-85.0,-877.1,True,True,False,False,,True,True,True,False,False,True,True,,False,True,,False,,True,False
Alaska,200,127.3,122.8,176.0,273.3,177.0,,168.9,,134.7,184.5,219.1,182.9,150.0,,140.1,148.0,,177.9,,227.8,119.7,-72.7,-77.2,-24.0,73.3,-23.0,,-31.1,,-65.3,-15.5,19.1,-17.1,-50.0,,-59.9,-52.0,,-22.1,,27.8,-80.3,False,True,False,True,,True,,True,True,True,True,True,,True,True,,True,,True,False
Arizona,8424,7250.9,7241.3,10034.0,8705.4,6929.0,,8136.9,7364.0,8103.4,7829.9,7810.0,8790.9,7194.5,,7010.0,10581.0,,7083.2,,9096.7,6840.3,-1173.1,-1182.7,1610.0,281.4,-1495.0,,-287.1,-1060.0,-320.6,-594.1,-614.0,366.9,-1229.5,,-1414.0,2157.0,,-1340.8,,672.7,-1583.7,False,False,True,False,,True,True,True,True,True,True,False,,False,False,,False,,True,False
Arkansas,3441,3202.1,3227.0,4095.0,3367.2,3185.0,,2764.0,3255.0,3469.6,3281.4,2907.4,3750.2,3100.0,,2637.6,3376.0,,3518.9,,2979.9,2675.9,-238.9,-214.0,654.0,-73.8,-256.0,,-677.0,-186.0,28.6,-159.6,-533.6,309.2,-341.0,,-803.4,-65.0,,77.9,,-461.1,-765.1,True,False,True,False,,False,True,True,True,False,False,False,,False,True,,True,,False,False
California,24218,20979.7,20764.7,25561.0,21635.1,20564.0,,21584.6,21166.0,21618.9,25749.5,23350.3,21848.2,21592.5,,20302.6,30412.0,,21013.0,20104.0,25663.0,20042.2,-3238.3,-3453.3,1343.0,-2582.9,-3654.0,,-2633.4,-3052.0,-2599.1,1531.5,-867.7,-2369.8,-2625.5,,-3915.4,6194.0,,-3205.0,-4114.0,1445.0,-4175.8,False,True,True,False,,True,True,True,True,True,True,True,,False,False,,True,False,True,False
Colorado,4592,4068.9,4097.1,6206.0,4893.9,4540.0,,4308.8,4200.0,4538.4,4049.1,4199.9,5978.6,4903.0,,3834.3,4031.0,,4169.9,,7688.9,3028.5,-523.1,-494.9,1614.0,301.9,-52.0,,-283.2,-392.0,-53.6,-542.9,-392.1,1386.6,311.0,,-757.7,-561.0,,-422.1,,3096.9,-1563.5,True,False,True,True,,True,True,True,False,True,False,True,,False,False,,True,,False,False
Connecticut,5791,5270.0,5289.1,6080.0,5969.2,5553.0,,5573.1,5530.0,5647.4,5626.2,5716.7,5974.2,5651.0,,5159.6,4843.0,,5333.6,,8483.2,4889.8,-521.0,-501.9,289.0,178.2,-238.0,,-217.9,-261.0,-143.6,-164.8,-74.3,183.2,-140.0,,-631.4,-948.0,,-457.4,,2692.2,-901.2,True,True,True,True,,True,True,True,True,True,True,True,,False,False,,True,,False,False
Delaware,895,806.3,802.2,1171.0,959.7,815.0,,877.3,856.0,894.0,966.0,905.2,981.9,835.0,,928.8,902.0,,794.0,,1280.5,786.9,-88.7,-92.8,276.0,64.7,-80.0,,-17.7,-39.0,-1.0,71.0,10.2,86.9,-60.0,,33.8,7.0,,-101.0,,385.5,-108.1,False,False,True,True,,True,True,True,True,True,True,True,,True,True,,False,,False,False
District of Columbia,762,718.6,730.3,818.0,734.8,693.0,,730.4,691.0,727.3,739.2,745.5,770.6,735.0,,697.6,690.0,,730.1,,912.9,681.3,-43.4,-31.7,56.0,-27.2,-69.0,,-31.6,-71.0,-34.7,-22.8,-16.5,8.6,-27.0,,-64.4,-72.0,,-31.9,,150.9,-80.7,True,False,True,False,,True,False,True,True,True,True,True,,False,False,,True,,False,False
Florida,21135,20288.4,20136.5,20888.0,20293.6,20333.0,,20657.3,20674.0,20938.5,22038.3,22630.8,21131.2,20958.0,,20279.4,20487.0,,20341.2,,22290.5,19459.3,-846.6,-998.5,-247.0,-841.4,-802.0,,-477.7,-461.0,-196.5,903.3,1495.8,-3.8,-177.0,,-855.6,-648.0,,-793.8,,1155.5,-1675.7,False,True,True,True,,True,True,True,False,False,True,True,,False,True,,True,,False,False
