,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Kansas,2503,2571.6,2567.7,2623.8,2614.3,2597.0,2610.0,2608.0,2665.0,2526.9,2626.0,2417.2,2577.0,2535.7,2554.3,2458.3,2593.8,,2796.1,2713.0,2641.3,2522.4,2648.0,2457.0,2600.8,2531.0,2531.4,2610.0,2652.3,2660.4,2607.0,2609.0,,,2571.7,2629.0,2366.9,2498.0,2521.3,,2549.2,2671.3,2638.2,2558.0,2619.5,2612.0,2551.0,2687.8,2326.3,2569.8,68.6,64.7,120.8,111.3,94.0,107.0,105.0,162.0,23.9,123.0,-85.8,74.0,32.7,51.3,-44.7,90.8,,293.1,210.0,138.3,19.4,145.0,-46.0,97.8,28.0,28.4,107.0,149.3,157.4,104.0,106.0,,,68.7,126.0,-136.1,-5.0,18.3,,46.2,168.3,135.2,55.0,116.5,109.0,48.0,184.8,-176.7,66.8,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,,False,False,False,True,False,True,False,True,True,False,False,False,False,False,,,False,False,False,True,True,,True,False,False,True,False,False,True,False,False,True
Kentucky,2534,2559.9,2501.6,2545.5,2560.7,2547.0,2550.0,2550.0,2501.0,2608.9,2525.0,2415.7,2537.0,2589.3,2525.5,2575.6,2545.0,,2526.7,2573.0,2555.5,2445.7,2590.0,2712.3,2550.6,2541.0,2574.4,2655.0,2532.2,2562.3,2581.0,2565.0,,,2517.0,2520.0,2941.2,2551.0,2565.6,,2570.1,2543.3,2615.7,2549.0,2531.6,2555.0,2576.0,2529.2,2446.6,2571.2,25.9,-32.4,11.5,26.7,13.0,16.0,16.0,-33.0,74.9,-9.0,-118.3,3.0,55.3,-8.5,41.6,11.0,,-7.3,39.0,21.5,-88.3,56.0,178.3,16.6,7.0,40.4,121.0,-1.8,28.3,47.0,31.0,,,-17.0,-14.0,407.2,17.0,31.6,,36.1,9.3,81.7,15.0,-2.4,21.0,42.0,-4.8,-87.4,37.2,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,,True,False,True,False,False,False,True,True,False,False,True,False,False,False,,,True,True,False,True,False,,False,True,False,True,True,True,False,True,False,False
Louisiana,7272,7234.0,7353.2,7286.5,7220.7,7223.0,7221.0,7226.0,7214.0,7223.5,7230.0,7087.6,7219.0,7258.0,7248.3,7242.9,7258.3,,7252.2,7277.0,7239.3,7250.9,7260.0,7290.4,7219.1,7226.0,7237.9,7243.0,7183.0,7264.9,7216.7,7169.0,,7169.2,7196.0,7252.0,7876.8,7258.0,7218.3,,7179.9,7189.0,7235.6,7242.0,7195.6,7217.0,7241.5,7372.0,7097.0,7263.8,-38.0,81.2,14.5,-51.3,-49.0,-51.0,-46.0,-58.0,-48.5,-42.0,-184.4,-53.0,-14.0,-23.7,-29.1,-13.7,,-19.8,5.0,-32.7,-21.1,-12.0,18.4,-52.9,-46.0,-34.1,-29.0,-89.0,-7.1,-55.3,-103.0,,-102.8,-76.0,-20.0,604.8,-14.0,-53.7,,-92.1,-83.0,-36.4,-30.0,-76.4,-55.0,-30.5,100.0,-175.0,-8.2,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,,True,True,True,True,True,True,False,False,True,True,False,True,False,False,,False,False,True,False,True,False,,False,False,True,True,False,False,True,False,False,True
Maine,319,322.0,317.2,317.1,327.8,323.0,327.0,329.0,343.0,327.7,339.0,319.7,330.0,328.4,324.2,334.5,328.4,,316.9,323.0,339.6,337.2,326.0,392.5,332.5,333.0,323.1,352.0,339.8,331.3,333.4,339.0,,,318.8,347.0,314.9,315.0,325.0,,320.1,351.6,335.1,324.0,317.8,335.0,323.0,318.3,298.4,326.1,3.0,-1.8,-1.9,8.8,4.0,8.0,10.0,24.0,8.7,20.0,0.7,11.0,9.4,5.2,15.5,9.4,,-2.1,4.0,20.6,18.2,7.0,73.5,13.5,14.0,4.1,33.0,20.8,12.3,14.4,20.0,,,-0.2,28.0,-4.1,-4.0,6.0,,1.1,32.6,16.1,5.0,-1.2,16.0,4.0,-0.7,-20.6,7.1,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False,,True,False,False,False,True,False,False,True,False,False
Maryland,5680,5731.7,5735.7,5755.9,5721.6,5706.0,5724.0,5714.0,5763.0,5694.9,5749.0,5547.5,5670.0,5827.5,5707.3,5822.1,5699.2,,5683.2,5714.0,5754.1,5653.3,5716.0,5677.1,5729.8,5716.0,5740.1,5747.0,5693.0,5767.3,5747.6,5782.0,,5644.1,5712.5,5735.0,5433.0,5680.0,5707.2,,5656.8,5702.7,5681.0,5704.0,5794.4,5746.0,5835.5,5718.5,5426.3,5771.6,51.7,55.7,75.9,41.6,26.0,44.0,34.0,83.0,14.9,69.0,-132.5,-10.0,147.5,27.3,142.1,19.2,,3.2,34.0,74.1,-26.7,36.0,-2.9,49.8,36.0,60.1,67.0,13.0,87.3,67.6,102.0,,-35.9,32.5,55.0,-247.0,0.0,27.2,,-23.2,22.7,1.0,24.0,114.4,66.0,155.5,38.5,-253.7,91.6,False,False,True,True,True,True,False,True,False,False,True,False,True,False,True,,True,True,False,True,True,True,True,True,False,False,True,False,False,False,,True,True,False,False,True,True,,True,True,True,True,False,False,False,True,False,False
Massachusetts,12010,12032.4,12023.9,12084.6,12016.0,12014.0,12007.0,12082.0,12118.0,12023.9,12150.0,11811.5,12079.0,12148.3,12081.7,12028.2,12143.8,,12276.6,12115.0,12098.2,12383.5,12011.0,12212.7,12141.5,12007.0,12075.9,12103.0,12073.7,12119.0,12038.3,11899.5,,11961.7,12029.5,12058.0,12705.2,12030.0,11980.5,,12015.9,12084.6,12010.6,12065.0,12006.9,12119.0,12134.0,12111.2,11746.3,11972.1,22.4,13.9,74.6,6.0,4.0,-3.0,72.0,108.0,13.9,140.0,-198.5,69.0,138.3,71.7,18.2,133.8,,266.6,105.0,88.2,373.5,1.0,202.7,131.5,-3.0,65.9,93.0,63.7,109.0,28.3,-110.5,,-48.3,19.5,48.0,695.2,20.0,-29.5,,5.9,74.6,0.6,55.0,-3.1,109.0,124.0,101.2,-263.7,-37.9,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,True,False,False,True,False,,True,False,True,False,True,False,False,False,False,False
Michigan,12690,12827.4,12853.2,12877.4,12972.4,12962.0,12953.0,12874.0,12874.0,12836.5,12866.0,12387.5,12760.0,13095.0,12880.6,13019.4,12777.9,,12941.5,13004.0,13007.5,12298.4,12984.0,12666.9,12846.6,12846.0,12800.3,12945.0,12958.4,12974.9,12824.4,12913.0,,12735.9,12796.4,12700.0,12069.4,12521.0,12874.4,,12658.9,12971.4,12792.5,12694.0,13007.2,12978.0,12746.0,13078.8,12133.1,12738.1,137.4,163.2,187.4,282.4,272.0,263.0,184.0,184.0,146.5,176.0,-302.5,70.0,405.0,190.6,329.4,87.9,,251.5,314.0,317.5,-391.6,294.0,-23.1,156.6,156.0,110.3,255.0,268.4,284.9,134.4,223.0,,45.9,106.4,10.0,-620.6,-169.0,184.4,,-31.1,281.4,102.5,4.0,317.2,288.0,56.0,388.8,-556.9,48.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,True,False,False,False,True,False,,True,True,True,False,False,False,,True,False,True,True,False,False,True,False,False,True
Minnesota,5166,5257.0,5330.0,5304.1,5269.9,5270.0,5260.0,5256.0,5384.0,5208.6,5193.0,4984.1,5268.0,5288.7,5174.9,5271.2,5123.1,,5297.5,5329.0,5240.0,4905.4,5294.0,5246.3,5172.0,5218.0,5243.7,5327.0,5261.5,5299.0,5169.4,5352.0,,5559.0,5248.1,5107.0,4689.5,5224.0,5239.7,,5198.4,5264.0,5203.9,5198.0,5316.1,5255.0,5354.0,5347.0,4925.8,5295.6,91.0,164.0,138.1,103.9,104.0,94.0,90.0,218.0,42.6,27.0,-181.9,102.0,122.7,8.9,105.2,-42.9,,131.5,163.0,74.0,-260.6,128.0,80.3,6.0,52.0,77.7,161.0,95.5,133.0,3.4,186.0,,393.0,82.1,-59.0,-476.5,58.0,73.7,,32.4,98.0,37.9,32.0,150.1,89.0,188.0,181.0,-240.2,129.6,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,,False,False,True,False,False,True,True,True,True,False,False,False,True,False,,False,True,True,False,True,True,,True,False,True,True,False,True,False,False,False,False
Mississippi,4565,4589.0,4623.5,4661.7,4602.8,4621.0,4600.0,4628.0,4663.0,4637.4,4691.0,4445.2,4615.0,4653.1,4635.9,4584.6,4657.5,,4655.7,4648.0,4648.3,4736.4,4631.0,4584.8,4621.9,4690.0,4614.4,4626.0,4614.6,4659.7,4618.3,4598.0,,4583.8,4600.2,4658.0,4576.4,4599.0,4586.1,,4582.7,4624.5,4600.1,4597.0,4584.2,4665.0,4624.0,4750.3,4474.1,4627.1,24.0,58.5,96.7,37.8,56.0,35.0,63.0,98.0,72.4,126.0,-119.8,50.0,88.1,70.9,19.6,92.5,,90.7,83.0,83.3,171.4,66.0,19.8,56.9,125.0,49.4,61.0,49.6,94.7,53.3,33.0,,18.8,35.2,93.0,11.4,34.0,21.1,,17.7,59.5,35.1,32.0,19.2,100.0,59.0,185.3,-90.9,62.1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,True,False,True,,True,False,False,False,True,False,False,False,False,False
Missouri,5470,5476.3,5381.6,5463.5,5516.0,5482.0,5494.0,5427.0,5618.0,5380.4,5438.0,5141.4,5412.0,5408.5,5374.6,5609.4,5415.5,,5264.5,5525.0,5442.1,4916.1,5470.0,5163.9,5414.2,5425.0,5448.6,5462.0,5440.2,5503.0,5528.9,5542.0,,5340.1,5333.6,5389.0,5409.6,5320.0,5199.9,,5292.8,5476.4,5442.3,5355.0,5449.3,5445.0,5521.5,,4895.1,4669.6,6.3,-88.4,-6.5,46.0,12.0,24.0,-43.0,148.0,-89.6,-32.0,-328.6,-58.0,-61.5,-95.4,139.4,-54.5,,-205.5,55.0,-27.9,-553.9,0.0,-306.1,-55.8,-45.0,-21.4,-8.0,-29.8,33.0,58.9,72.0,,-129.9,-136.4,-81.0,-60.4,-150.0,-270.1,,-177.2,6.4,-27.7,-115.0,-20.7,-25.0,51.5,,-574.9,-800.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Montana,919,905.3,926.2,911.5,908.7,914.0,912.0,912.0,908.0,914.4,912.0,871.9,911.0,908.6,910.4,914.0,903.3,,920.1,966.0,908.8,890.7,930.0,968.1,916.4,911.0,913.9,960.0,924.6,924.0,904.6,928.0,,,900.6,916.0,914.9,907.0,911.6,,921.3,935.9,927.8,914.0,926.3,921.0,905.0,923.1,906.0,917.9,-13.7,7.2,-7.5,-10.3,-5.0,-7.0,-7.0,-11.0,-4.6,-7.0,-47.1,-8.0,-10.4,-8.6,-5.0,-15.7,,1.1,47.0,-10.2,-28.3,11.0,49.1,-2.6,-8.0,-5.1,41.0,5.6,5.0,-14.4,9.0,,,-18.4,-3.0,-4.1,-12.0,-7.4,,2.3,16.9,8.8,-5.0,7.3,2.0,-14.0,4.1,-13.0,-1.1,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,,True,False,True,False,True,False,True,True,True,False,True,True,False,True,,,False,True,True,True,True,,True,False,True,True,True,True,False,True,True,True
Nebraska,1559,1582.9,1596.8,1579.5,1585.1,1596.0,1585.0,1613.0,1645.0,1585.8,1599.0,1634.0,1605.0,1682.1,1596.2,1548.4,1613.5,,1720.8,1639.0,1630.3,1571.2,1637.0,1645.7,1605.8,1584.0,1595.8,1687.0,1614.5,1615.4,1558.2,1650.0,,,1522.0,1590.0,1462.4,1567.0,1509.8,,1607.2,1621.4,1607.2,1571.0,1621.8,1586.0,1645.0,1748.2,1533.4,1613.4,23.9,37.8,20.5,26.1,37.0,26.0,54.0,86.0,26.8,40.0,75.0,46.0,123.1,37.2,-10.6,54.5,,161.8,80.0,71.3,12.2,78.0,86.7,46.8,25.0,36.8,128.0,55.5,56.4,-0.8,91.0,,,-37.0,31.0,-96.6,8.0,-49.2,,48.2,62.4,48.2,12.0,62.8,27.0,86.0,189.2,-25.6,54.4,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,False
Nevada,2942,2984.7,2926.0,3020.8,2975.1,2969.0,2978.0,2984.0,3086.0,2976.8,3001.0,2852.5,2932.0,3049.9,2984.0,3018.7,2992.0,,2970.2,2989.0,3045.8,2920.2,3043.0,2992.8,3006.3,2983.0,2998.2,3024.0,2972.1,3029.5,2976.6,3058.0,,2935.8,2988.1,2994.0,3079.4,2971.0,2967.6,,2971.3,2982.5,2976.4,2965.0,3000.0,3000.0,3050.0,,2817.0,2994.5,42.7,-16.0,78.8,33.1,27.0,36.0,42.0,144.0,34.8,59.0,-89.5,-10.0,107.9,42.0,76.7,50.0,,28.2,47.0,103.8,-21.8,101.0,50.8,64.3,41.0,56.2,82.0,30.1,87.5,34.6,116.0,,-6.2,46.1,52.0,137.4,29.0,25.6,,29.3,40.5,34.4,23.0,58.0,58.0,108.0,,-125.0,52.5,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,,True,False,False,True,False,False,False,True,False,False,True,False,True,False,,True,False,False,False,True,True,,True,True,True,True,False,False,False,,False,False
New Hampshire,701,701.4,724.5,708.0,699.9,699.0,700.0,709.0,689.0,702.5,718.0,669.5,691.0,709.1,708.7,712.3,712.9,,726.9,719.0,709.5,732.9,709.0,769.7,720.6,696.0,701.1,719.0,697.3,714.7,707.1,694.0,,,710.1,712.0,792.3,705.0,664.9,,700.0,709.0,711.3,701.0,697.9,715.0,720.5,709.5,657.3,705.4,0.4,23.5,7.0,-1.1,-2.0,-1.0,8.0,-12.0,1.5,17.0,-31.5,-10.0,8.1,7.7,11.3,11.9,,25.9,18.0,8.5,31.9,8.0,68.7,19.6,-5.0,0.1,18.0,-3.7,13.7,6.1,-7.0,,,9.1,11.0,91.3,4.0,-36.1,,-1.0,8.0,10.3,0.0,-3.1,14.0,19.5,8.5,-43.7,4.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False
New Jersey,18613,18573.7,18507.1,18725.8,18605.5,18633.0,18614.0,18633.0,18815.0,18610.0,18563.0,18366.2,18431.0,18767.0,18703.2,18618.8,18747.2,,18583.0,18719.0,18654.8,18587.9,18701.0,18791.7,18635.5,18659.0,18621.6,18736.0,18580.3,18681.4,18627.6,18561.0,,18487.9,18605.6,18649.0,18395.3,18544.0,18581.7,,18556.2,18593.8,18610.4,18514.0,18436.1,18640.0,18805.0,18743.1,18251.7,18779.5,-39.3,-105.9,112.8,-7.5,20.0,1.0,20.0,202.0,-3.0,-50.0,-246.8,-182.0,154.0,90.2,5.8,134.2,,-30.0,106.0,41.8,-25.1,88.0,178.7,22.5,46.0,8.6,123.0,-32.7,68.4,14.6,-52.0,,-125.1,-7.4,36.0,-217.7,-69.0,-31.3,,-56.8,-19.2,-2.6,-99.0,-176.9,27.0,192.0,130.1,-361.3,166.5,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,,True,False,False,True,False,False,True,False,True,False,True,False,True,False,,False,True,True,False,False,True,,False,True,True,False,False,True,False,False,False,False
New Mexico,2316,2354.4,2314.3,2391.1,2402.7,2383.0,2397.0,2365.0,2405.0,2358.4,2347.0,2211.3,2374.0,2379.1,2422.8,2471.4,2362.4,,2316.0,2419.0,2372.5,2225.6,2392.0,2310.4,2352.6,2329.0,2345.9,2347.0,2357.8,2376.9,2377.7,2457.0,,,2353.7,2344.0,2350.7,2322.0,2395.6,,2243.2,2368.2,2347.1,2340.0,2355.5,2359.0,2360.0,2361.6,2228.1,2339.6,38.4,-1.7,75.1,86.7,67.0,81.0,49.0,89.0,42.4,31.0,-104.7,58.0,63.1,106.8,155.4,46.4,,0.0,103.0,56.5,-90.4,76.0,-5.6,36.6,13.0,29.9,31.0,41.8,60.9,61.7,141.0,,,37.7,28.0,34.7,6.0,79.6,,-72.8,52.2,31.1,24.0,39.5,43.0,44.0,45.6,-87.9,23.6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,True,False,False,False,False,True,True,True,True,True,False,False,False,False,,,True,True,True,True,False,,False,False,True,True,False,False,False,False,False,True
New York,37286,37126.1,37492.2,37478.1,37123.8,37079.0,37132.0,37132.0,37121.0,37183.7,37050.0,36486.3,36935.0,37165.6,37093.8,37364.1,37085.3,,36973.2,37082.0,37131.8,37077.8,37217.0,37469.6,37231.5,37322.0,37250.6,37206.0,37235.9,37238.6,37168.0,36336.0,,36778.4,37017.6,37490.0,37324.1,37180.0,37211.1,,37002.5,37262.2,37185.3,37112.0,37454.1,37195.0,37339.0,37075.8,36219.2,37093.5,-159.9,206.2,192.1,-162.2,-207.0,-154.0,-154.0,-165.0,-102.3,-236.0,-799.7,-351.0,-120.4,-192.2,78.1,-200.7,,-312.8,-204.0,-154.2,-208.2,-69.0,183.6,-54.5,36.0,-35.4,-80.0,-50.1,-47.4,-118.0,-950.0,,-507.6,-268.4,204.0,38.1,-106.0,-74.9,,-283.5,-23.8,-100.7,-174.0,168.1,-91.0,53.0,-210.2,-1066.8,-192.5,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,,False,False,True,False,True,False,True,True,True,True,True,True,True,False,,False,False,False,True,True,True,,False,True,True,False,False,True,True,False,False,False
North Carolina,6526,6567.7,6482.1,6585.1,6569.4,6566.0,6572.0,6591.0,6492.0,6562.4,6614.0,6189.6,6579.0,6658.4,6580.9,6652.2,6621.5,,6564.9,6549.0,6608.3,6601.3,6595.0,6841.5,6590.8,6614.0,6618.9,6635.0,6609.4,6619.3,6609.8,6532.0,,6436.1,6493.0,6629.0,6872.3,6576.0,6593.2,,6551.7,6623.2,6626.8,6578.0,6556.2,6654.0,6597.0,6449.4,6344.9,6604.3,41.7,-43.9,59.1,43.4,40.0,46.0,65.0,-34.0,36.4,88.0,-336.4,53.0,132.4,54.9,126.2,95.5,,38.9,23.0,82.3,75.3,69.0,315.5,64.8,88.0,92.9,109.0,83.4,93.3,83.8,6.0,,-89.9,-33.0,103.0,346.3,50.0,67.2,,25.7,97.2,100.8,52.0,30.2,128.0,71.0,-76.6,-181.1,78.3,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False,False,,True,False,False,False,True,False,False,False,False,False
North Dakota,1264,1298.7,1306.9,1332.5,1313.8,1329.0,1310.0,1300.0,1266.0,1291.2,1306.0,1231.7,1298.0,1296.0,1305.0,1283.3,1291.5,,1337.8,1379.0,1300.8,1244.5,1345.0,1303.1,1298.7,1278.0,1291.1,1336.0,1317.2,1325.0,1281.5,1314.0,,,1300.1,1295.0,1162.8,1284.0,1277.0,,1297.1,1328.0,1284.6,1285.0,1330.5,1289.0,1290.0,1389.0,1294.1,1296.7,34.7,42.9,68.5,49.8,65.0,46.0,36.0,2.0,27.2,42.0,-32.3,34.0,32.0,41.0,19.3,27.5,,73.8,115.0,36.8,-19.5,81.0,39.1,34.7,14.0,27.1,72.0,53.2,61.0,17.5,50.0,,,36.1,31.0,-101.2,20.0,13.0,,33.1,64.0,20.6,21.0,66.5,25.0,26.0,125.0,30.1,32.7,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,,False,False,False,True,False,False,True,True,True,False,False,False,True,False,,,False,True,False,True,True,,True,False,True,True,False,True,True,False,True,True
Ohio,8476,8522.7,8522.3,8551.8,8570.2,8583.0,8585.0,8608.0,8802.0,8625.1,8668.0,8436.4,8613.0,8789.6,8478.4,8698.3,8592.1,,8568.3,8908.0,8759.1,8459.6,8685.0,9058.4,8630.3,8527.0,8595.4,8877.0,8688.2,8673.7,8527.0,8713.0,,8607.4,8412.2,8604.0,9118.5,8393.0,8583.1,,8827.2,8687.3,8629.3,8556.0,8621.4,8618.0,8573.0,8655.4,8201.5,8565.6,46.7,46.3,75.8,94.2,107.0,109.0,132.0,326.0,149.1,192.0,-39.6,137.0,313.6,2.4,222.3,116.1,,92.3,432.0,283.1,-16.4,209.0,582.4,154.3,51.0,119.4,401.0,212.2,197.7,51.0,237.0,,131.4,-63.8,128.0,642.5,-83.0,107.1,,351.2,211.3,153.3,80.0,145.4,142.0,97.0,179.4,-274.5,89.6,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Oklahoma,2357,2338.9,2316.6,2357.3,2344.4,2346.0,2336.0,2354.0,2408.0,2384.1,2351.0,2230.0,2352.0,2384.9,2328.7,2305.6,2345.5,,2343.7,2408.0,2359.3,2327.6,2407.0,2505.4,2360.3,2341.0,2384.1,2448.0,2318.2,2374.8,2349.8,2373.0,,,2323.3,2354.0,2388.8,2354.0,2330.9,,2376.8,2329.4,2398.8,2359.0,2357.0,2353.0,2362.0,2374.7,2261.3,2362.6,-18.1,-40.4,0.3,-12.6,-11.0,-21.0,-3.0,51.0,27.1,-6.0,-127.0,-5.0,27.9,-28.3,-51.4,-11.5,,-13.3,51.0,2.3,-29.4,50.0,148.4,3.3,-16.0,27.1,91.0,-38.8,17.8,-7.2,16.0,,,-33.7,-3.0,31.8,-3.0,-26.1,,19.8,-27.6,41.8,2.0,0.0,-4.0,5.0,17.7,-95.7,5.6,False,True,True,True,False,True,False,False,True,False,True,False,False,False,True,,True,False,True,False,False,False,True,True,False,False,False,True,True,True,,,False,True,False,True,False,,False,False,False,True,True,True,True,True,False,True
Oregon,1422,1500.4,1470.7,1510.9,1521.1,1498.0,1530.0,1506.0,1530.0,1499.7,1467.0,1394.8,1477.0,1472.5,1510.1,1568.4,1496.5,,1448.6,1527.0,1531.3,1431.2,1513.0,1555.8,1506.7,1467.0,1493.0,1535.0,1497.7,1512.5,1519.8,1546.0,,,1482.1,1494.0,1423.7,1457.0,1538.6,,1457.3,1508.1,1514.9,1459.0,1545.3,1514.0,1492.0,1494.8,1389.3,1471.0,78.4,48.7,88.9,99.1,76.0,108.0,84.0,108.0,77.7,45.0,-27.2,55.0,50.5,88.1,146.4,74.5,,26.6,105.0,109.3,9.2,91.0,133.8,84.7,45.0,71.0,113.0,75.7,90.5,97.8,124.0,,,60.1,72.0,1.7,35.0,116.6,,35.3,86.1,92.9,37.0,123.3,92.0,70.0,72.8,-32.7,49.0,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,,True,False,False,True,False,False,False,True,True,False,True,False,False,False,,,True,True,True,True,False,,True,False,False,True,False,False,True,True,True,True
