,mean_rank
UMass-MechBayes,12.2
UA-EpiCovDA,14.5
Caltech-CS156,16.2
CMU-TimeSeries,16.9
UCSB-ACTS,17.1
CovidAnalytics-DELPHI,17.2
UCLA-SuEIR,17.4
LNQ-ens1,17.6
COVIDhub-baseline,17.7
GT-DeepCOVID,18.0
UChicagoCHATTOPADHYAY-UnIT,18.2
CEID-Walk,18.7
AIpert-pwllnod,18.8
COVIDhub-ensemble,18.9
RobertWalraven-ESG,19.0
LANL-GrowthRate,19.3
OliverWyman-Navigator,19.5
SteveMcConnell-CovidComplete,19.8
Google_Harvard-CPF,20.3
epiforecasts-ensemble1,21.3
Karlen-pypm,21.4
MOBS-GLEAM_COVID,21.7
USC-SI_kJalpha,22.3
BPagano-RtDriven,22.7
UMich-RidgeTfReg,23.0
UT-Mobility,23.9
DDS-NBDS,24.3
JHU_CSSE-DECOM,24.3
Columbia_UNC-SurvCon,24.8
UCSD_NEU-DeepGLEAM,24.9
JCB-PRM,24.9
Geneva-DetGrowth,25.4
JHUAPL-Bucky,26.2
PSI-DRAFT,26.4
CU-select,26.6
IHME-CurveFit,26.8
Microsoft-DeepSTIA,26.9
MIT_CritData-GBCF,27.2
IowaStateLW-STEM,28.8
JHU_IDD-CovidSP,28.8
TTU-squider,30.8
Wadhwani_AI-BayesOpt,32.0
Covid19Sim-Simulator,32.1
WalmartLabsML-LogForecasting,34.9
