,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51,174.0,71.0,290.5,0.0,18.5,243.5,1890.0
GT-DeepCOVID,50,177.6,73.6,313.8,1.5,29.0,184.1,1856.4
LNQ-ens1,51,177.6,102.9,260.0,3.6,23.0,204.5,1627.8
epiforecasts-ensemble1,50,182.2,94.0,290.2,1.0,30.0,242.5,1877.0
COVIDhub-ensemble,51,187.7,71.0,341.2,2.0,17.5,237.0,1812.0
Karlen-pypm,51,189.9,83.2,300.8,0.1,15.6,241.6,1797.0
MSRA-DeepST,50,190.6,74.2,274.3,1.3,22.1,305.9,1336.0
Microsoft-DeepSTIA,50,194.4,77.3,280.8,3.8,25.7,261.0,1348.8
Caltech-CS156,51,198.4,101.0,299.7,2.0,51.6,256.6,1762.5
USC-SI_kJalpha,51,214.2,94.0,309.5,0.0,33.0,278.0,1815.0
SteveMcConnell-CovidComplete,51,214.5,93.0,349.1,0.0,29.5,205.5,1786.0
MIT_CritData-GBCF,51,216.2,96.0,331.2,2.0,34.0,267.0,1536.0
LANL-GrowthRate,51,218.7,160.0,268.1,1.0,37.0,284.5,1427.5
JCB-PRM,51,219.1,94.9,356.8,0.3,26.0,240.4,1703.0
JHU_CSSE-DECOM,51,229.8,104.0,326.2,6.0,51.0,232.0,1676.0
MOBS-GLEAM_COVID,50,230.1,99.6,347.9,4.1,46.0,275.3,1801.3
JHUAPL-Bucky,51,233.3,58.7,363.8,2.6,32.9,296.6,2028.9
UCLA-SuEIR,51,234.8,122.8,373.7,2.7,53.8,229.1,1923.1
UCSD_NEU-DeepGLEAM,50,237.1,121.4,338.6,1.2,49.9,292.4,1728.5
OliverWyman-Navigator,51,239.1,92.3,389.4,0.5,29.5,291.0,1941.3
CMU-TimeSeries,51,240.4,127.0,300.7,2.0,41.5,317.5,1542.0
Baseline,51,241.4,115.6,426.6,2.7,29.3,236.2,2066.0
CEID-Walk,51,243.0,95.9,408.8,4.5,41.1,249.9,1935.1
COVIDhub-baseline,51,247.4,107.0,417.8,2.0,45.5,251.7,2082.3
IowaStateLW-STEM,49,252.7,161.0,380.3,4.0,44.8,267.5,1942.0
UA-EpiCovDA,51,264.7,124.0,439.1,1.0,43.0,285.5,2244.0
CU-select,51,267.9,155.0,336.2,0.0,51.0,343.0,1806.0
DDS-NBDS,51,270.2,77.7,491.0,2.8,25.9,235.3,2483.0
Google_Harvard-CPF,51,275.4,107.7,403.0,1.7,39.3,337.6,2205.2
BPagano-RtDriven,51,278.8,133.4,287.8,0.9,85.1,367.9,1118.0
CovidAnalytics-DELPHI,51,299.1,126.0,500.8,0.0,31.0,387.5,3016.0
IHME-CurveFit,51,299.8,177.2,376.8,0.7,76.2,402.2,2367.4
Wadhwani_AI-BayesOpt,45,314.1,194.6,392.2,1.9,46.8,363.1,1604.3
UCSB-ACTS,51,320.2,176.5,490.7,3.4,83.9,306.7,2499.2
UT-Mobility,51,323.4,172.0,484.6,7.0,80.2,369.5,2716.5
Covid19Sim-Simulator,51,327.2,175.9,438.1,3.1,95.4,392.4,2266.1
JHU_IDD-CovidSP,51,385.9,237.5,411.7,0.4,72.4,527.4,1659.3
PSI-DRAFT,51,421.2,135.0,677.4,1.0,57.0,442.8,3052.5
TTU-squider,51,447.1,160.8,924.6,6.2,31.6,505.4,6360.7
NotreDame-mobility,51,465.0,219.6,666.1,4.3,53.7,497.7,3087.7
RobertWalraven-ESG,50,490.4,271.6,632.8,2.5,87.2,555.3,2965.5
Columbia_UNC-SurvCon,51,623.8,361.0,681.8,16.0,161.5,794.5,2671.0
WalmartLabsML-LogForecasting,51,790.8,481.9,867.9,5.7,207.5,1022.4,3417.8
