,count,mean,median,std,min,25%,75%,max
BPagano-RtDriven,51,1733570.1,376671.0,3506670.5,368.3,80096.9,1270560.0,18127959.9
IHME-CurveFit,51,1832935.7,270415.6,4866808.1,5.1,22745.3,815192.7,28617392.0
Covid19Sim-Simulator,51,2304195.4,272847.3,6041178.3,54.4,59704.5,1335523.8,34163627.0
Baseline,51,3515389.2,411613.9,7635504.8,542.2,133479.1,1832217.3,40358793.9
IowaStateLW-STEM,49,4131991.9,529984.0,8337017.6,3969.0,185420.5,2398062.5,37847104.0
UCLA-SuEIR,51,5039992.0,949099.5,9933008.8,265.6,204905.7,3888095.6,44077209.2
